"path","current_secid","title","decision","target_type","target_secid","structure_family","confidence","notes"
"control/fedramp.gov/3pao-obligations-and-performance-standards/","secid:control/fedramp.gov/3pao-obligations-and-performance-standards","3PAO Obligations and Performance Standards","reclassify-reference","reference","secid:reference/fedramp.gov/3pao-obligations-and-performance-standards","","high","FedRAMP performance-standards guidance for 3PAOs; no per-control structure"
"control/fedramp.gov/3pao-readiness-assessment-report-guide/","secid:control/fedramp.gov/3pao-readiness-assessment-report-guide","3PAO Readiness Assessment Report Guide","reclassify-reference","reference","secid:reference/fedramp.gov/3pao-readiness-assessment-report-guide","","high","Guidance doc for completing RAR; prose not controls"
"control/fedramp.gov/agency-authorization-playbook/","secid:control/fedramp.gov/agency-authorization-playbook","Agency Authorization Playbook","reclassify-reference","reference","secid:reference/fedramp.gov/agency-authorization-playbook","","high","Playbook for agency-led FedRAMP path; prose guidance"
"control/fedramp.gov/agency-package-request-form/","secid:control/fedramp.gov/agency-package-request-form","Agency Package Request Form","reclassify-reference","reference","secid:reference/fedramp.gov/agency-package-request-form","","high","Form template; no controls"
"control/fedramp.gov/csp-a-fedramp-authorization-boundary-guidance/","secid:control/fedramp.gov/csp-a-fedramp-authorization-boundary-guidance","CSP Authorization Boundary Guidance","reclassify-reference","reference","secid:reference/fedramp.gov/csp-a-fedramp-authorization-boundary-guidance","","high","Guidance prose on authorization boundary"
"control/fedramp.gov/csp-annual-assessment-guidance/","secid:control/fedramp.gov/csp-annual-assessment-guidance","CSP Annual Assessment Guidance","reclassify-reference","reference","secid:reference/fedramp.gov/csp-annual-assessment-guidance","","high","Annual assessment guidance; prose"
"control/fedramp.gov/csp-authorization-playbook/","secid:control/fedramp.gov/csp-authorization-playbook","CSP Authorization Playbook","reclassify-reference","reference","secid:reference/fedramp.gov/csp-authorization-playbook","","high","CSP playbook; prose"
"control/fedramp.gov/csp-automated-vulnerability-risk-adjustment-framework/","secid:control/fedramp.gov/csp-automated-vulnerability-risk-adjustment-framework","CSP Automated Vulnerability Risk Adjustment Framework","reclassify-reference","reference","secid:reference/fedramp.gov/csp-automated-vulnerability-risk-adjustment-framework","","high","Framework doc; prose guidance not controls"
"control/fedramp.gov/csp-continuous-monitoring-performance-management-guide/","secid:control/fedramp.gov/csp-continuous-monitoring-performance-management-guide","CSP Continuous Monitoring Performance Management Guide","reclassify-reference","reference","secid:reference/fedramp.gov/csp-continuous-monitoring-performance-management-guide","","high","ConMon guide; prose"
"control/fedramp.gov/csp-continuous-monitoring-strategy-guide/","secid:control/fedramp.gov/csp-continuous-monitoring-strategy-guide","CSP Continuous Monitoring Strategy Guide","reclassify-reference","reference","secid:reference/fedramp.gov/csp-continuous-monitoring-strategy-guide","","high","ConMon strategy guide; prose"
"control/fedramp.gov/csp-incident-communications-procedures/","secid:control/fedramp.gov/csp-incident-communications-procedures","CSP Incident Communications Procedures","reclassify-reference","reference","secid:reference/fedramp.gov/csp-incident-communications-procedures","","high","Procedural guidance; prose"
"control/fedramp.gov/csp-jab-p-ato-roles-and-responsibilites/","secid:control/fedramp.gov/csp-jab-p-ato-roles-and-responsibilites","CSP JAB P-ATO Roles and Responsibilities","reclassify-reference","reference","secid:reference/fedramp.gov/csp-jab-p-ato-roles-and-responsibilites","","high","Roles/responsibilities doc; prose"
"control/fedramp.gov/csp-penetration-test-guidance/","secid:control/fedramp.gov/csp-penetration-test-guidance","CSP Penetration Test Guidance","reclassify-reference","reference","secid:reference/fedramp.gov/csp-penetration-test-guidance","","high","Pen test guidance; prose"
"control/fedramp.gov/csp-poam-template-completion-guide/","secid:control/fedramp.gov/csp-poam-template-completion-guide","CSP POAM Template Completion Guide","reclassify-reference","reference","secid:reference/fedramp.gov/csp-poam-template-completion-guide","","high","Template completion guide; prose"
"control/fedramp.gov/csp-significant-change-policies-and-procedures/","secid:control/fedramp.gov/csp-significant-change-policies-and-procedures","CSP Significant Change Policies and Procedures","reclassify-reference","reference","secid:reference/fedramp.gov/csp-significant-change-policies-and-procedures","","high","Policy/procedure doc; prose"
