term,definition,source_anchor,notes
critical service or activity,"A service or activity whose disruption would result in a high or very high degree of injury to the health, safety, security or economic well-being of Canadians or to the effective functioning of the Government of Canada.",app-b#critical-service-or-activity,"Source: Policy on Government Security, Appendix B"
cyber security,"Cyber security refers to the security of the transmission of electronic data and information across cyberspace. It covers the technology, processes, practices, and response and mitigation measures designed to protect electronic information, data and information infrastructure from mischief, unauthorized use or disruption in cyberspace. Cyber security complements IT security. Cyber security operationalizes the IT security controls set out in subsection B.2.3 of Appendix B of the Directive on Security Management.",app-b#cyber-security,"Source: Guideline on Service and Digital, subsection 4.6.1"
cyber security event,"Any event, act, omission or situation that may be detrimental to government security, including threats, vulnerabilities and incidents. Examples of cyber security events: - disclosure of a new vulnerability; - intelligence that a threat actor may be planning malicious cyber activities against a GC information system; - attempts to breach the network perimeter; - suspicious or targeted emails with attachments/links that were not detected by existing security controls; - suspicious or unauthorized network activity that represents a deviation from baseline",app-b#cyber-security-event,"Source: Government of Canada Cyber Security Event Management Plan (GC CSEMP), subsection 1.5"
cyber security incident,"Any event (or collection of events), act, omission or situation that has resulted in a compromise. Examples of cyber security incidents include: - data breaches or compromise/corruption of information; - credential stuffing attacks; - phishing campaigns; - intentional or accidental introduction of malware to a network; - denial-of-service attacks; - web or online presence defacement or compromise (including unauthorized use of GC social media accounts); - successful ransomware attempts",app-b#cyber-security-incident,"Source: Government of Canada Cyber Security Event Management Plan (GC CSEMP), subsection 1.5"
cyber threat,"An activity intended to compromise the security of an information system by altering the confidentiality, integrity, or availability of a system or the information it contains.",app-b#cyber-threat,"Source: Government of Canada Cyber Security Event Management Plan (GC CSEMP), subsection 1.5"
information technology,"Any equipment or system that is used in the acquisition, storage, manipulation, management, movement, control, display, switching, interchange, transmission, or reception of information or data. It includes all matters concerned with the design, development, installation and implementation of information systems and applications.",app-b#information-technology,"Source: Policy on Service and Digital, Appendix A"
insider threat,"A malicious threat to an organization that comes from people within the organization, such as employees, former employees, contractors or business associates, who have inside information concerning the organization’s security practices, data and computer systems.",app-b#insider-threat,"Source: National Cyber Security Strategy, Workbook Glossary"
internal enterprise services,A service provided by a Government of Canada department to other Government of Canada departments intended on a government-wide basis.,app-b#internal-enterprise-services,"Source: Policy on Service and Digital, Appendix A"
IT security,"IT security is the discipline of applying security controls, security solutions, tools and techniques to protect IT assets against threats from compromises throughout their lifecycle. IT security focuses on the security of both electronic data assets and physical IT assets. In other words, it covers, for example, the security of files that are stored on devices, the security of the systems used to store them and the security of the devices themselves.",app-b#it-security,"Source: Guideline on Service and Digital, subsection 4.6.1"
vulnerability,"Weakness in an information system, system security procedures, internal controls, or implementation that could be exploited or triggered by a threat source.",app-b#vulnerability,"Source: Government of Canada Cyber Security Event Management Plan (GC CSEMP), subsection 1.5"
zero-day exploit,An attack directed against a zero-day vulnerability.,app-b#zero-day-exploit,"Source: Government of Canada Cyber Security Event Management Plan (GC CSEMP), subsection 1.5"
zero-day vulnerability,"A software vulnerability that is not yet known by the vendor, and therefore has not been mitigated.",app-b#zero-day-vulnerability,"Source: Government of Canada Cyber Security Event Management Plan (GC CSEMP), subsection 1.5"
