normalized_term,source_count,source_secid,source_name,term,definition,source_anchor
encryption,11,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,encryption,"1. (I) Cryptographic transformation of data (called ""plain text"")
into a different form (called ""cipher text"") that conceals the
data's original meaning and prevents the original form from being
used. The corresponding reverse process is ""decryption"", a
transformation that restores encrypted data to its original form.
(See: cryptography.)

2. (O) ""The cryptographic transformation of data to produce
ciphertext."" [I7498-2]

Usage: For this concept, IDOCs SHOULD use the verb ""to encrypt""
(and related variations: encryption, decrypt, and decryption).
However, because of cultural biases involving human burial, some
international documents (particularly ISO and CCITT standards)
avoid ""to encrypt"" and instead use the verb ""to encipher"" (and
related variations: encipherment, decipher, decipherment).

Tutorial: Usually, the plaintext input to an encryption operation
is clear text. But in some cases, the plain text may be cipher
text that was output from another encryption operation. (See:
superencryption.)

Encryption and decryption involve a mathematical algorithm for
transforming data. Besides the data to be transformed, the
algorithm has one or more inputs that are control parameters: (a)
a key that varies the transformation and, in some cases, (b) an IV
that establishes the starting state of the algorithm.",rfc4949-section-4-encryption
encryption,11,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),encryption,The process of transforming plaintext into ciphertext.,https://niccs.cisa.gov/resources/glossary#letter-e
encryption,11,secid:reference/wa.gov/data-breach-glossary,Washington State AG Data Breach Glossary,Encryption,"The process of converting data into a coded form that can only be read by using the correct information to decode the data, called the decryption key .",https://www.atg.wa.gov/glossary-data-breach-terms#encryption
encryption,11,secid:reference/wikimedia.org/security-team-definitions,Wikimedia Security Team Definitions,Encryption,The process of transforming readable data (plaintext) into a form that is unreadable (cipher text) by all except the authorized person(s) possessing the correct key to decrypt the data.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Encryption
encryption,11,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,encryption,Protection of information by making it unreadable by everyone except those with the key to decrypt it.,https://www.ncsc.gov.uk/section/advice-guidance/glossary
encryption,11,secid:reference/ca.gov/sam-5300-definitions,California SAM 5300 Technical Definitions (CDT),Encryption,Conversion of plaintext to ciphertext through the use of a FIPS validated cryptographic algorithm. [FIPS 140-2],https://www.cdt.ca.gov/security/technical-definitions/#E
encryption,11,secid:reference/texas.gov/cybersecurity-terminology,Texas DIR Cybersecurity Terminology,Encryption,Conversion of plaintext to ciphertext through the use of a cryptographic algorithm.,https://dir.texas.gov/resource-library-item/cybersecurity-terminology#encryption
encryption,11,secid:reference/cyber.gc.ca/glossary,Canadian Centre for Cyber Security Glossary,Encryption,Converting information from one form to another to hide its content and prevent unauthorized access.,https://www.cyber.gc.ca/en/glossary#encryption
encryption,11,secid:reference/ny.gov/its-glossary,NY State ITS Glossary,Encryption,"A cryptographic operation that is used to enhance security and protect the State’s electronic data (""data"") by transforming readable information (""plaintext"") into unintelligible information (""ciphertext"").",https://its.ny.gov/glossary#encryption
encryption,11,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,encryption,The process of transforming plaintext into ciphertext for the purpose of security or privacy.,https://csrc.nist.gov/glossary/term/encryption
