term,definition,source_anchor,notes
Access,"To interact with a system entity in order to manipulate, use, gain knowledge of, and/or obtain a representation of some or all of a system entity’s resources. [RFC2828]",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,references: RFC2828
Access Control,Protection of resources against unauthorized access; a process by which use of resources is regulated according to a security policy and is permitted by only authorized system entities according to that policy. [RFC2828],https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,references: RFC2828
Access Control Information,"Any information used for access control purposes, including contextual information [X.812]. Contextual information might include source IP address, encryption strength, the type of operation being requested, time of day, etc. Portions of access control information may be specific to a request itself, some may be associated with the connection via which a request is transmitted, and others (for example, time of day) may be ""environmental"". [RFC2829]",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,"references: RFC2829, X.812"
Access Rights,"A description of the type of authorized interactions a subject can have with a resource. Examples include read, write, execute, add, modify, and delete. [Taxonomy]",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,references: Taxonomy
Account,Typically a formal business agreement for providing regular dealings and services between a principal and business service providers.,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Account Linkage,A method of relating accounts at two different providers that represent the same principal so that the providers can communicate about the principal. Account linkage can be established through the sharing of attributes or through identity federation.,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Active Role,"A role that a system entity has donned when performing some operation, for example accessing a resource.",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Administrative Domain,"An environment or context that is defined by some combination of one or more administrative policies, Internet Domain Name registrations, civil legal entities (for example, individuals, corporations, or other formally organized entities), plus a collection of hosts, network devices and the interconnecting networks (and possibly other traits), plus (often various) network services and applications running upon them. An administrative domain may contain or define one or more security domains. An administrative domain may encompass a single site or multiple sites. The traits defining an administrative domain may, and in many cases will, evolve over time. Administrative domains may interact and enter into agreements for providing and/or consuming services across administrative domain boundaries.",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Administrator,"A person who installs or maintains a system (for example, a SAML-based security system) or who uses it to manage system entities, users, and/or content (as opposed to application purposes; see also End User). An administrator is typically affiliated with a particular administrative domain and may be affiliated with more than one administrative domain.",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
"Affiliation, Affiliation Group",A set of system entities that share a single namespace (in the federated sense) of identifiers for principals.,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Anonymity,"The quality or state of being anonymous, which is the condition of having a name or identity that is unknown or concealed. [RFC2828]",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,references: RFC2828
Artifact,See SAML Artifact.,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Assertion,"A piece of data produced by a SAML authority regarding either an act of authentication performed on a subject, attribute information about the subject, or authorization data applying to the subject with respect to a specified resource.",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Asserting Party,"Formally, the administrative domain that hosts one or more SAML authorities. Informally, an instance of a SAML authority.",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Attribute,"A distinct characteristic of an object (in SAML, of a subject). An object’s attributes are said to describe it. Attributes are often specified in terms of physical traits, such as size, shape, weight, and color, etc., for real-world objects. Objects in cyberspace might have attributes describing size, type of encoding, network address, and so on. Attributes are often represented as pairs of ""attribute name"" and ""attribute value(s)"", e.g. ""foo"" has the value 'bar', ""count"" has the value 1, ""gizmo"" has the values ""frob"" and ""2"", etc. Often, these are referred to as ""attribute value pairs"". Note that Identifiers are essentially ""distinguished attributes"". See also Identifier and XML attribute.",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Attribute Authority,A system entity that produces attribute assertions. [SAMLAgree],https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,references: SAMLAgree
Attribute Assertion,An assertion that conveys information about attributes of a subject.,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Authentication,"To confirm a system entity’s asserted principal identity with a specified, or understood, level of confidence. [CyberTrust] [SAMLAgree]",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,"references: CyberTrust, SAMLAgree"
Authentication Assertion,An assertion that conveys information about a successful act of authentication that took place for a subject.,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Authentication Authority,A system entity that produces authentication assertions. [SAMLAgree],https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,references: SAMLAgree
Authorization,"The process of determining, by evaluating applicable access control information, whether a subject is allowed to have the specified types of access to a particular resource. Usually, authorization is in the context of authentication. Once a subject is authenticated, it may be authorized to perform different types of access. [Taxonomy]",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,references: Taxonomy
Authorization Decision,"The result of an act of authorization. The result may be negative, that is, it may indicate that the subject is not allowed any access to the resource.",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Authorization Decision Assertion,An assertion that conveys information about an authorization decision.,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Back Channel,Back channel refers to direct communications between two system entities without “redirecting” messages through another system entity such as an HTTP client (e.g. A user agent). See also front channel.,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
"Binding, Protocol Binding","Generically, a specification of the mapping of some given protocol's messages, and perhaps message exchange patterns, onto another protocol, in a concrete fashion. For example, the mapping of the SAML <AuthnRequest> message onto HTTP is one example of a binding. The mapping of that same SAML message onto SOAP is another binding. In the SAML context, each binding is given a name in the pattern “SAML xxx binding”.",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Credentials,Data that is transferred to establish a claimed principal identity. [X.800] [SAMLAgree],https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,"references: SAMLAgree, X.800"
End User,"A natural person who makes use of resources for application purposes (as opposed to system management purposes; see Administrator, User).",https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Federated Identity,A principal's identity is said to be federated between a set of Providers when there is an agreement between the providers on a set of identifiers and/or attributes to use to refer to the Principal,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
Federate,To link or bind two or more entities together [Merriam].,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,references: Merriam
Federation,This term is used in two senses in SAML:,https://docs.oasis-open.org/security/saml/v2.0/saml-glossary-2.0-os.pdf,
