term,definition,source_anchor,notes
Access control,"Certifying that only authorized access is given to assets (both physical and electronic). For physical assets, access control may be required for a facility or restricted area (e.g. screening visitors and materials at entry points, escorting visitors). For IT assets, access controls may be required for networks, systems, and information (e.g. restricting users on specific systems, limiting account privileges).",https://www.cyber.gc.ca/en/glossary#access-control,
Accountable COMSEC material,COMSEC material requiring control and accountability within the National COMSEC Material Control System (NCMCS) as directed by its Accounting Legend Code (ALC). Control and accountability is required because transfer or disclosure of this material could be detrimental to Canada's national interest. Also known as ACM.,https://www.cyber.gc.ca/en/glossary#accountable-comsec-material,
Administrative privileges,"The permissions that allow a user to perform certain functions on a system or network, such as installing software and changing configuration settings.",https://www.cyber.gc.ca/en/glossary#administrative-privileges,
Allow list,"An access control list that identifies who or what is allowed access, in order to provide protection from harm.",https://www.cyber.gc.ca/en/glossary#allow-list,
Anti-virus software,"Software that defends against viruses, Trojans, worms, and spyware. Anti-virus software uses a scanner to identify programs that may be malicious. Scanners can detect known viruses, previously unknown viruses, and suspicious files.",https://www.cyber.gc.ca/en/glossary#anti-virus-software,
Artificial intelligence,"A subfield of computer science that develops intelligent computer programs to behave in a way that would be considered intelligent if observed in a human (e.g. solve problems, learn from experience, understand language, interpret visual scenes).",https://www.cyber.gc.ca/en/glossary#artificial-intelligence,
Asymmetric key,"Two related keys (a public key and a private key) that perform complementary operations, such as encrypt and decrypt or generate signatures.",https://www.cyber.gc.ca/en/glossary#asymmetric-key,
Authentication,A process or measure used to verify a users identity.,https://www.cyber.gc.ca/en/glossary#authentication,
Authorization,"Access privileges granted to a user, program, or process.",https://www.cyber.gc.ca/en/glossary#authorization,
Availability,"The ability for the right people to access the right information or systems when needed. Availability is applied to information assets, software, and hardware (infrastructure and its components). Implied in its definition is that availability includes the protection of assets from unauthorized access and compromise.",https://www.cyber.gc.ca/en/glossary#availability,
Backdoor,"An undocumented, private, or less-detectable way of gaining remote access to a computer, bypassing authentication measures, and obtaining access to plaintext.",https://www.cyber.gc.ca/en/glossary#backdoor,
Baseline security controls,The minimum mandatory protective mechanisms outlined by Treasury Board of Canada Secretariat (TBS) policy instruments to be used in interdepartmental IT security functions and information systems.,https://www.cyber.gc.ca/en/glossary#baseline-security-controls,
Beaconing,"A common technique in which a threat actor uses malware to connect infrastructure to another system or network, bypassing firewall restrictions on incoming traffic.",https://www.cyber.gc.ca/en/glossary#beaconing,
Blockchain,"A blockchain is a write-only database, dispersed over a network of interconnected computers, that uses cryptography to create a tamper-proof public record of transactions. Because blockchain technology is transparent, secure and decentralized, a central actor cannot alter the public record.",https://www.cyber.gc.ca/en/glossary#blockchain,
Boundary interface,A network-layer interface between two zone interface points (ZIPs).,https://www.cyber.gc.ca/en/glossary#boundary-interface,
Browser-based exploitation,A misuse of legitimate browser components to execute malicious code. Simply visiting a website with hidden malicious code can result in exploitation.,https://www.cyber.gc.ca/en/glossary#browser-based-exploitation,
Ciphertext,A cryptography term for encrypted information.,https://www.cyber.gc.ca/en/glossary#ciphertext,
Classified information,"A Government of Canada label for specific types of sensitive data that, if compromised, could cause harm to the national interest (e.g. national defence, relationships with other countries, economic interests).",https://www.cyber.gc.ca/en/glossary#classified-information,
Clearing,"Applying logical techniques to sanitize data in all user-addressable storage locations to protect against simple ways of recovering data. This is done by overwriting data with a new value, or if overwriting is not supported, by using a menu option to reset the device to factory settings.",https://www.cyber.gc.ca/en/glossary#clearing,
Cloud computing,"The use of remote servers hosted on the Internet. Cloud computing allows users to access a shared pool of computing resources (such as networks, servers, applications, or services) on demand and from anywhere. Users access these resources via a computer network instead of storing and maintaining all resources on their local computer.",https://www.cyber.gc.ca/en/glossary#cloud-computing,
Code injection,"Introducing malicious code into a computer program by taking advantage of a flaw in the program, or in the way it interprets data input by users.",https://www.cyber.gc.ca/en/glossary#code-injection,
Compromise,"The intentional or unintentional disclosure of information, which adversely impacts its confidentiality, integrity, or availability.",https://www.cyber.gc.ca/en/glossary#compromise,
Compromising emanations,"Unintentional signals that, if intercepted and analyzed, would disclose the information emanating from any information processing system or equipment.",https://www.cyber.gc.ca/en/glossary#compromising-emanations,
COMSEC,"Communications security (COMSEC) is the discipline of preventing unauthorized access to telecommunications information in readable form, while still delivering the information to the intended recipients. COMSEC is comprised of multiple disciplines such as Cryptographic security, EMSEC (Emission security), Transmission security, and Physical security.",https://www.cyber.gc.ca/en/glossary#comsec,
COMSEC account custodian,"The person responsible for the receipt, storage, access, distribution, accounting, disposal, and destruction of all COMSEC material charged to the COMSEC account. The custodian is appointed by the organization's COMSEC authority.",https://www.cyber.gc.ca/en/glossary#comsec-account-custodian,
COMSEC incident,"An occurrence that threatens, or potentially threatens, the security of classified or protected Government of Canada information as it is being stored, processed, transmitted, or received.",https://www.cyber.gc.ca/en/glossary#comsec-incident,
COMSEC material,"An item designed to secure or authenticate telecommunications information (e.g. cryptographic keys, equipment, modules, devices, documents, hardware, firmware, or software that includes or describes cryptographic logic and other items that perform COMSEC functions).",https://www.cyber.gc.ca/en/glossary#comsec-material,
Confidentiality,The ability to protect sensitive information from being accessed by unauthorized people.,https://www.cyber.gc.ca/en/glossary#confidentiality,
Controlled cryptographic item,"An unclassified secure telecommunications or information system, or any associated cryptographic component, governed by a set of control requirements in the National COMSEC Material Control System (NCMCS). The type of item is labelled in the NCMCS as a ""controlled cryptographic item"" or ""CCI"".",https://www.cyber.gc.ca/en/glossary#controlled-cryptographic-item,
Critical infrastructure,"Processes, systems, facilities, technologies, networks, assets, and services essential to the health, safety, security, or economic well-being of Canadians and the effective functioning of government. Critical infrastructure can be stand-alone or interconnected and interdependent within and across provinces, territories, and national borders. Disruptions of critical infrastructure could result in catastrophic loss of life, adverse economic effects, and significant harm to public confidence.",https://www.cyber.gc.ca/en/glossary#critical-infrastructure,
Cryptographic key,"A numerical value used in cryptographic processes, such as encryption, decryption, signature generation, and signature verification.",https://www.cyber.gc.ca/en/glossary#cryptographic-key,
Cryptographic material,"All material, including documents, devices, and equipment, that contains cryptographic information and is essential to encrypting, decrypting, or authenticating communications.",https://www.cyber.gc.ca/en/glossary#cryptographic-material,
Cryptography,"The study of techniques used to make plain information unreadable, as well as to convert it back to a readable form.",https://www.cyber.gc.ca/en/glossary#cryptography,
Cyber attack,"The use of electronic means to interrupt, manipulate, destroy, or gain unauthorized access to a computer system, network, or device.",https://www.cyber.gc.ca/en/glossary#cyber-attack,
Cyber incident,"Any unauthorized attempt, whether successful or not, to gain access to, modify, destroy, delete, or render unavailable any computer network or system resource.",https://www.cyber.gc.ca/en/glossary#cyber-incident,
Cyber security,"The protection of digital information, as well as the integrity of the infrastructure housing and transmitting digital information. More specifically, cyber security includes the body of technologies, processes, practices and response and mitigation measures designed to protect networks, computers, programs and data from attack, damage or unauthorized access so as to ensure confidentiality, integrity and availability.",https://www.cyber.gc.ca/en/glossary#cyber-security,
Cyber threat,"A threat actor, using the internet, who takes advantage of a known vulnerability in a product for the purposes of exploiting a network and the information the network carries.",https://www.cyber.gc.ca/en/glossary#cyber-threat,
DDOS,See Distributed denial-of-service attack .,https://www.cyber.gc.ca/en/glossary#ddos,
Declassify,"An administrative process to remove classification markings, security designations, and handling conditions when information is no longer considered to be sensitive.",https://www.cyber.gc.ca/en/glossary#declassify,
Defence-in-depth,"An IT security concept (also known as the castle approach) in which multiple layers of security are used to protect the integrity of information. These layers can include anti-virus and anti-spyware software, firewalls, hierarchical passwords, intrusion detection, and biometric identification.",https://www.cyber.gc.ca/en/glossary#defence-in-depth,
Demilitarized zone,"Also refered to as a perimeter network, the (Demilitarized Zone) DMZ is a less-secure portion of a network, which is located between any two policy-enforcing components of the network (e.g. between the internet and internal networks). An organization uses a DMZ to host its own internet services without risking unauthorized access to its private network.",https://www.cyber.gc.ca/en/glossary#demilitarized-zone,
Denial-of-Service attack,"Any activity that makes a service unavailable for use by legitimate users, or that delays system operations and functions.",https://www.cyber.gc.ca/en/glossary#denial-of-service-attack,
Deny list,"An access control list used to deny specific items (e.g. applications, email addresses, domain names, IP addresses) known to be harmful.",https://www.cyber.gc.ca/en/glossary#deny-list,
Departmental security control profile,A set of security controls that establishes an organization's minimum mandatory IT security requirements.,https://www.cyber.gc.ca/en/glossary#departmental-security-control-profile,
Departmental security officer,The individual responsible for a department’s or organization’s security program.,https://www.cyber.gc.ca/en/glossary#departmental-security-officer,
Departmental security requirement,Any security requirements prescribed by senior officials of a department that applies generally to its information systems.,https://www.cyber.gc.ca/en/glossary#departmental-security-requirement,
Detection,The monitoring and analyzing of system events in order to identify unauthorized attempts to access system resources.,https://www.cyber.gc.ca/en/glossary#detection,
Digital signature,"A cryptologic mechanism used to validate an item's (e.g. document, software) authenticity and integrity.",https://www.cyber.gc.ca/en/glossary#digital-signature,
Distributed Denial-of-Service attack,An attack in which multiple compromised systems are used to attack a single target. The flood of incoming messages to the target system forces it to shut down and denies service to legitimate users.,https://www.cyber.gc.ca/en/glossary#distributed-denial-of-service-attack,
DMZ,See demilitarized zone .,https://www.cyber.gc.ca/en/glossary#dmz,
DOS,See denial-of-service attack .,https://www.cyber.gc.ca/en/glossary#dos,
Edge interface,"A network-layer service interface point that attaches an end system, internal boundary system, or zone interface point to a zone internetwork.",https://www.cyber.gc.ca/en/glossary#edge-interface,
Emission security,The measures taken to reduce the risk of unauthorized interception of unintentional emissions from information technology equipment that processes classified data.,https://www.cyber.gc.ca/en/glossary#emission-security,
EMSEC,See emission security .,https://www.cyber.gc.ca/en/glossary#emsec,
Encryption,Converting information from one form to another to hide its content and prevent unauthorized access.,https://www.cyber.gc.ca/en/glossary#encryption,
End-system,"A network connected computer that, for a communication, is the end source or destination of a communication.",https://www.cyber.gc.ca/en/glossary#end-system,
End-to-end encryption,"A confidentiality service provided by encrypting data at the source end-system, with corresponding decryption occurring only at the destination end-system.",https://www.cyber.gc.ca/en/glossary#end-to-end-encryption,
End-user systems,"End systems for human use, such as a desktop with a personal computer (display, keyboard, mouse, and operating system).",https://www.cyber.gc.ca/en/glossary#end-user-systems,
Equipment emanation,An electric field radiation that comes from the equipment as a result of processing or generating information.,https://www.cyber.gc.ca/en/glossary#equipment-emanation,
Exfiltration,The unauthorized removal of data or files from a system by an intruder.,https://www.cyber.gc.ca/en/glossary#exfiltration,
Firewall,A security barrier placed between two networks that controls the amount and kinds of traffic that may pass between the two. This protects local system resources from being accessed from the outside.,https://www.cyber.gc.ca/en/glossary#firewall,
Gateway,"An intermediate system that is the interface between two computer networks. A gateway can be a server, firewall, router, or other device that enables data to flow through a network.",https://www.cyber.gc.ca/en/glossary#gateway,
Guard,"A gateway that is placed between two networks, computers, or other information systems that operate at different security levels. The guard mediates all information transfers between the two levels so that no sensitive information from the higher security level is disclosed to the lower level. It also protects the integrity of data on the higher level.",https://www.cyber.gc.ca/en/glossary#guard,
Hacker,Someone who uses computers and the internet to access computers and servers without permission.,https://www.cyber.gc.ca/en/glossary#hacker,
Injury,The damage to the national interests and non-national interests that business activities serve resulting from the compromise of IT assets.,https://www.cyber.gc.ca/en/glossary#injury,
Injury level,"The severity of an injury, which is defined in five levels: very low, low, medium, high, very high.",https://www.cyber.gc.ca/en/glossary#injury-level,
Integrity,"The ability to protect information from being modified or deleted unintentionally or when it’s not supposed to be. Integrity helps determine that information is what it claims to be. Integrity also applies to business processes, software application logic, hardware, and personnel.",https://www.cyber.gc.ca/en/glossary#integrity,
Intellectual property,"Legal rights that result from intellectual activity in the industrial, scientific, literary, and artistic fields. Examples of types of intellectual property include an author's copyright, trademark, and patents.",https://www.cyber.gc.ca/en/glossary#intellectual-property,
