term,definition,sources,source_anchor
802.1x,"An IEEE standard for local and metropolitan area networks–Port-Based Network Access Control. IEEE 802 LANs are deployed in networks that convey or provide access to critical data, that support mission critical applications, or that charge for service. Port-based network access control regulates access to the network, guarding against transmission and reception by unidentified or unauthorized parties, and consequent network disruption, theft of service, or data loss.",https://1.ieee802.org/security/802-1x/ | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#802-1x
ACLs,Access Control Lists (ACLs) indicate the permissions that subjects are granted regarding accessing or changing the objects within a system.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#acls
AI Hallucination,"AI hallucinations are incorrect or misleading results that AI models generate. These errors can be caused by a variety of factors, including insufficient training data, incorrect assumptions made by the model, or biases in the data used to train the model.",https://cloud.google.com/discover/what-are-ai-hallucinations,https://cloudsecurityalliance.org/cloud-security-glossary#ai-hallucination
AI Risk Management Framework,"The framework has an aim of improving the governance and trustworthiness around the usage of AI systems and models. The framework itself provides guidance around identifying risks associated with AI systems and recommends a four-step approach to govern, map, measure, and manage the risks throughout the AI lifecycle.",https://www.nist.gov/itl/ai-risk-management-framework,https://cloudsecurityalliance.org/cloud-security-glossary#ai-risk-management-framework
AI as a Service (AIaaS),"A model where third-party providers offer AI capabilities and services over the Internet on a subscription basis. Organizations can access pre-trained AI models, APIs, and tools to integrate AI functionality into their applications and workflows.",https://www.zendesk.com/blog/ai-as-a-service/,https://cloudsecurityalliance.org/cloud-security-glossary#ai-as-a-service-aiaas
AWS API Access Key,"The credentials pair of an AWS user, different to username/password credentials as they are intended for programmatic use with AWS API.",Top Threats to Cloud Computing: Egregious Eleven Deep Dive : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#aws-api-access-key
AWS EC2,"The amazon web services server workloads (elastic compute) service, mostly used for virtual machines run by customers on AWS infrastructure.",Top Threats to Cloud Computing: Egregious Eleven Deep Dive : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#aws-ec2
Abstraction,"Abstraction in computing refers to the process of hiding the complex implementation details of a system or component, exposing only the necessary and relevant aspects to the user. This allows users to interact with the system at a higher level without needing to understand the intricate workings beneath. In cloud computing, abstraction typically involves creating virtualized environments where physical resources are managed and allocated dynamically, simplifying the user interaction with underlying hardware and infrastructure.",https://www.cs.cornell.edu/courses/cs211/2006sp/Lectures/L08-Abstraction/08_abstraction.html,https://cloudsecurityalliance.org/cloud-security-glossary#abstraction
Accepting Host (AH),"The SDP policy enforcement points (PEPs) that control access to any resource (or service) to which an identity might need to connect, and to which the responsible enterprise needs to hide and control access. AHs can be located on-premises, in a private cloud, public cloud, etc. A trusted node within an SDP. The accepting host (AH) accepts the communication from the initiating host (IH) after the SDP controller authenticates and authorizes the connection. The SDP controller instructs the accepting SDP hosts to accept communication from the initiating host by leveraging policies required for two-way encrypted communications such as mutual TLS.",https://cloudsecurityalliance.org/artifacts/software-defined-perimeter-zero-trust-specification-v2/ | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#accepting-host-ah
Accepting Host Controller Path,The channel used for communication between each accepting host (AH) and the controller.,https://downloads.cloudsecurityalliance.org/initiatives/sdp/SDP_Specification_1.0.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#accepting-host-controller-path
Accepting Host Session,The period of time that a particular accepting host (AH) is connected to a controller.,https://downloads.cloudsecurityalliance.org/initiatives/sdp/SDP_Specification_1.0.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#accepting-host-session
Accepting Host Session ID,"A 256-bit randomized arbitrary number used once (NONCE), managed by the SDP controller and used to refer to a particular accepting host (AH) session.",https://downloads.cloudsecurityalliance.org/initiatives/sdp/SDP_Specification_1.0.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#accepting-host-session-id
Access,"To make contact with one or more discrete functions of an online, digital service.",https://csrc.nist.gov/glossary/term/access,https://cloudsecurityalliance.org/cloud-security-glossary#access
Access control,"Restricting access to a resource, based on the permissions granted to the entity.",https://www.microsoft.com/en-us/security/business/security-101/what-is-access-control,https://cloudsecurityalliance.org/cloud-security-glossary#access-control
Access Policy (SDP Policy),"For every connection established, SDP must fundamentally determine which users (and/or devices) are permitted to access which resources (e.g. services, gateways), and under which circumstances (e.g. from certain locations). SDPs provide policy decision points and policy enforcement points for connections. A cloud service provider (CSP), who elects to protect its resources behind a SDP, must develop a balanced “registered user access control policy”, as an undue restricted policy is likely to result in the denial of access/service. Expected access control policy’s performance attributes should become a part of the service level agreement (SLA).",https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#access-policy-sdp-policy
Acknowledgement (ACK),Confirmation that the destination has received the micropacket without errors.,https://www.iso.org/obp/ui#iso:std:iso-iec:11518:-10:ed-1:v1:en:term:3.1.1,https://cloudsecurityalliance.org/cloud-security-glossary#acknowledgement-ack
Active Directory (AD),A Microsoft directory service for the management of identities in Windows domain networks.,https://csrc.nist.gov/glossary/term/active_directory,https://cloudsecurityalliance.org/cloud-security-glossary#active-directory-ad
Active Directory Federation Services (ADFS),"ADFS provides simplified, secured identity federation, and Web Single Sign- On (SSO) capabilities.",https://learn.microsoft.com/en-us/windows-server/identity/ad-fs/ deployment/how-to-connect-fed-azure-adfs,https://cloudsecurityalliance.org/cloud-security-glossary#active-directory-federation-services-adfs
Active Directory Services,"Active Directory Service serves as a central location for network administration and security. The AD is responsible for authenticating and authorizing all users and computers within a Windows domain network, assigning and enforcing security policies within all computers in a network, and installing or updating software on network computers.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#active-directory-services
Activity reporting,"With respect to compliance and assurance processes, this is an artifact that summarize user activities, access patterns, and system interactions. Activity reports can help identify unauthorized access, track user actions, and ensure that operational practices align with compliance requirements.",https://www.isaca.org/resources/isaca-journal/issues/2019/volume-4/effective-user-access-reviews,https://cloudsecurityalliance.org/cloud-security-glossary#activity-reporting
Actuators,"An actuator is a component of a machine that is responsible for moving and controlling a mechanism or system, for example by opening a valve. In simple terms, it is a “mover”. An actuator requires a control signal and a source of energy. The control signal for an actuator is relatively low energy and may be electric voltage or current, pneumatic or hydraulic pressure, or even human power. Its main energy source may be an electric current, hydraulic fluid pressure, or pneumatic pressure. When it receives a control signal, an actuator responds by converting the signal’s energy into mechanical motion.","An actuator is a mechanism by which a control system acts upon an environment. The control system can be simple (a fixed mechanical or electronic system), software-based (e.g. a printer driver, robot control system), a human, or any other input. | https://en.wikipedia.org/wiki/Actuator",https://cloudsecurityalliance.org/cloud-security-glossary#actuators
Adaptive Authentication,"Risk-based or adaptive authentication systems evaluate a host of user, system, and environmental attributes; other such signals; and behavioral profiles to make an authentication decision. IP address, geolocation, time of day, transaction type, mouse movements, keystroke, and variances from typical usage norms are some of the signals used in these systems. These solutions do not currently count as a valid authenticator in and of themselves, as this information does not necessarily constitute a “secret”, and most solutions leverage proprietary ways of making an authentication decision.",https://pages.nist.gov/800-63-FAQ/,https://cloudsecurityalliance.org/cloud-security-glossary#adaptive-authentication
Adaptive Multi-Factor Authentication (MFA),"Adaptive MFA, otherwise known as risk-based MFA, provides users with authentication factors that adapt each time a user logs in depending on the calculated risk level of the user based on contextual information. Some examples of contextual information include: • The number of consecutive login failures • The physical location (geolocation) of the user requesting access • The type of device • The day of the week and the time of the day • The IP address",https://www.manageengine.com/products/self-service-password/ adaptive-multi-factor-authentication.html,https://cloudsecurityalliance.org/cloud-security-glossary#adaptive-multi-factor-authentication-mfa
Address Space Layout Randomization (ASLR),Address space layout randomization (ASLR) is a technique that randomizes the location of executables in memory space.,https://www.sciencedirect.com/topics/computer-science/address-space-layout-randomization,https://cloudsecurityalliance.org/cloud-security-glossary#address-space-layout-randomization-aslr
Advanced Cloud Security Practitioner (ACSP),"This is an advanced, hands-on, cloud security class that expands on the basics of the CCSK Plus hands-on training. This course delves deep into practical cloud security and applied DevSecOps for enterprise-scale cloud deployments.",https://knowledge.cloudsecurityalliance.org/advanced-cloud-security-practitioner-2021,https://cloudsecurityalliance.org/cloud-security-glossary#advanced-cloud-security-practitioner-acsp
Advanced Message Queuing Protocol (AMQP),"The Advanced Message Queuing Protocol is an open internet protocol for business messaging. AMQP is comprised of several layers. The lowest level defines an efficient, binary, peer-to-peer protocol for transporting messages between two processes over a network. Above this, the messaging layer defines an abstract message format, with concrete standard encoding. Every compliant AMQP process MUST be able to send and receive messages in this standard encoding.",https://www.iso.org/obp/ui#iso:std:iso-iec:19464:ed-1:v1:en,https://cloudsecurityalliance.org/cloud-security-glossary#advanced-message-queuing-protocol-amqp
Advanced Persistent Threats (APT),"Advanced persistent threats (APTs) is a broad term used to describe attack campaigns in which an intruder establishes an illicit, long-term presence on a network to mine highly sensitive data. These teams can include nationstates as well as organized criminal gangs.",https://cloudsecurityalliance.org/blog/2022/12/04/top-threat-10-to-cloud-computing-organized-crime-hackers-and-apt/,https://cloudsecurityalliance.org/cloud-security-glossary#advanced-persistent-threats-apt
Advanced maturity stage,"With respect to zero trust maturity stages, at the Advanced maturity stage, organizations have significantly progressed in implementing Zero Trust practices and technologies across multiple domains.",https://www.cisa.gov/resources-tools/resources/zero-trust-maturity-model,https://cloudsecurityalliance.org/cloud-security-glossary#advanced-maturity-stage
