"id","name","summary","incident_date","incident_date_granularity","case_study_type","target","actor","n_procedure_steps","n_references"
"AML.CS0000","Evasion of Deep Learning Detector for Malware C&C Traffic","The Palo Alto Networks Security AI research team tested a deep learning model for malware command and control (C&C) traffic detection in HTTP traffic.
Based on the publicly available [paper by Le et al.](https://arxiv.org/abs/1802.03162), we built a model that was trained on a similar dataset as our production model and had similar performance.
Then we crafted adversarial samples, queried the model, and adjusted the adversarial sample accordingly until the model was evaded.","2020-01-01","YEAR","exercise","Palo Alto Networks malware detection system","Palo Alto Networks AI Research Team","6","1"
"AML.CS0001","Botnet Domain Generation Algorithm (DGA) Detection Evasion","The Palo Alto Networks Security AI research team was able to bypass a Convolutional Neural Network based botnet Domain Generation Algorithm (DGA) detector using a generic domain name mutation technique.
It is a generic domain mutation technique which can evade most ML-based DGA detection modules.
The generic mutation technique evades most ML-based DGA detection modules DGA and can be used to test the effectiveness and robustness of all DGA detection methods developed by security companies in the industry before they is deployed to the production environment.","2020-01-01","YEAR","exercise","Palo Alto Networks ML-based DGA detection module","Palo Alto Networks AI Research Team","6","2"
"AML.CS0002","VirusTotal Poisoning","McAfee Advanced Threat Research noticed an increase in reports of a certain ransomware family that was out of the ordinary. Case investigation revealed that many samples of that particular ransomware family were submitted through a popular virus-sharing platform within a short amount of time. Further investigation revealed that based on string similarity the samples were all equivalent, and based on code similarity they were between 98 and 74 percent similar. Interestingly enough, the compile time was the same for all the samples. After more digging, researchers discovered that someone used 'metame' a metamorphic code manipulating tool to manipulate the original file towards mutant variants. The variants would not always be executable, but are still classified as the same ransomware family.","2020-01-01","YEAR","incident","VirusTotal","Unknown","4","0"
"AML.CS0003","Bypassing Cylance's AI Malware Detection","Researchers at Skylight were able to create a universal bypass string that evades detection by Cylance's AI Malware detector when appended to a malicious file.","2019-09-07","DATE","exercise","CylancePROTECT, Cylance Smart Antivirus","Skylight Cyber","6","2"
"AML.CS0004","Camera Hijack Attack on Facial Recognition System","This type of camera hijack attack can evade the traditional live facial recognition authentication model and enable access to privileged systems and victim impersonation.

Two individuals in China used this attack to gain access to the local government's tax system. They created a fake shell company and sent invoices via tax system to supposed clients. The individuals started this scheme in 2018 and were able to fraudulently collect $77 million.","2020-01-01","YEAR","incident","Shanghai government tax office's facial recognition service","Two individuals","8","1"
"AML.CS0005","Attack on Machine Translation Services","Machine translation services (such as Google Translate, Bing Translator, and Systran Translate) provide public-facing UIs and APIs.
A research group at UC Berkeley utilized these public endpoints to create a replicated model with near-production state-of-the-art translation quality.
Beyond demonstrating that IP can be functionally stolen from a black-box system, they used the replicated model to successfully transfer adversarial examples to the real production services.
These adversarial inputs successfully cause targeted word flips, vulgar outputs, and dropped sentences on Google Translate and Systran Translate websites.","2020-04-30","DATE","exercise","Google Translate, Bing Translator, Systran Translate","Berkeley Artificial Intelligence Research","9","3"
"AML.CS0006","ClearviewAI Misconfiguration","Clearview AI makes a facial recognition tool that searches publicly available photos for matches.  This tool has been used for investigative purposes by law enforcement agencies and other parties.

Clearview AI's source code repository, though password protected, was misconfigured to allow an arbitrary user to register an account.
This allowed an external researcher to gain access to a private code repository that contained Clearview AI production credentials, keys to cloud storage buckets containing 70K video samples, and copies of its applications and Slack tokens.
With access to training data, a bad actor has the ability to cause an arbitrary misclassification in the deployed model.
These kinds of attacks illustrate that any attempt to secure ML system should be on top of ""traditional"" good cybersecurity hygiene such as locking down the system with least privileges, multi-factor authentication and monitoring and auditing.","2020-04-16","MONTH","incident","Clearview AI facial recognition tool","Researchers at spiderSilk","4","3"
"AML.CS0007","GPT-2 Model Replication","OpenAI built GPT-2, a language model capable of generating high quality text samples. Over concerns that GPT-2 could be used for malicious purposes such as impersonating others, or generating misleading news articles, fake social media content, or spam, OpenAI adopted a tiered release schedule. They initially released a smaller, less powerful version of GPT-2 along with a technical description of the approach, but held back the full trained model.

Before the full model was released by OpenAI, researchers at Brown University successfully replicated the model using information released by OpenAI and open source ML artifacts. This demonstrates that a bad actor with sufficient technical skill and compute resources could have replicated GPT-2 and used it for harmful goals before the AI Security community is prepared.
","2019-08-22","DATE","exercise","OpenAI GPT-2","Researchers at Brown University","5","2"
"AML.CS0008","ProofPoint Evasion","Proof Pudding (CVE-2019-20634) is a code repository that describes how ML researchers evaded ProofPoint's email protection system by first building a copy-cat email protection ML model, and using the insights to bypass the live system. More specifically, the insights allowed researchers to craft malicious emails that received preferable scores, going undetected by the system. Each word in an email is scored numerically based on multiple variables and if the overall score of the email is too low, ProofPoint will output an error, labeling it as SPAM.","2019-09-09","DATE","exercise","ProofPoint Email Protection System","Researchers at Silent Break Security","5","4"
"AML.CS0009","Tay Poisoning","Microsoft created Tay, a Twitter chatbot designed to engage and entertain users.
While previous chatbots used pre-programmed scripts
to respond to prompts, Tay's machine learning capabilities allowed it to be
directly influenced by its conversations.

A coordinated attack encouraged malicious users to tweet abusive and offensive language at Tay,
which eventually led to Tay generating similarly inflammatory content towards other users.

Microsoft decommissioned Tay within 24 hours of its launch and issued a public apology
with lessons learned from the bot's failure.","2016-03-23","DATE","incident","Microsoft's Tay AI Chatbot","4chan Users","4","4"
"AML.CS0010","Microsoft Azure Service Disruption","The Microsoft AI Red Team performed a red team exercise on an internal Azure service with the intention of disrupting its service. This operation had a combination of traditional ATT&CK enterprise techniques such as finding valid account, and exfiltrating data -- all interleaved with adversarial ML specific steps such as offline and online evasion examples.","2020-01-01","YEAR","exercise","Internal Microsoft Azure Service","Microsoft AI Red Team","8","0"
"AML.CS0011","Microsoft Edge AI Evasion","The Azure Red Team performed a red team exercise on a new Microsoft product designed for running AI workloads at the edge. This exercise was meant to use an automated system to continuously manipulate a target image to cause the ML model to produce misclassifications.
","2020-02-01","MONTH","exercise","New Microsoft AI Product","Azure Red Team","5","0"
"AML.CS0012","Face Identification System Evasion via Physical Countermeasures","MITRE's AI Red Team demonstrated a physical-domain evasion attack on a commercial face identification service with the intention of inducing a targeted misclassification.
This operation had a combination of traditional MITRE ATT&CK techniques such as finding valid accounts and executing code via an API - all interleaved with adversarial ML specific attacks.","2020-01-01","DATE","exercise","Commercial Face Identification Service","MITRE AI Red Team","10","0"
"AML.CS0013","Backdoor Attack on Deep Learning Models in Mobile Apps","Deep learning models are increasingly used in mobile applications as critical components.
Researchers from Microsoft Research demonstrated that many deep learning models deployed in mobile apps are vulnerable to backdoor attacks via ""neural payload injection.""
They conducted an empirical study on real-world mobile deep learning apps collected from Google Play. They identified 54 apps that were vulnerable to attack, including popular security and safety critical applications used for cash recognition, parental control, face authentication, and financial services.","2021-01-18","DATE","exercise","ML-based Android Apps","Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu","10","1"
"AML.CS0014","Confusing Antimalware Neural Networks","Cloud storage and computations have become popular platforms for deploying ML malware detectors.
In such cases, the features for models are built on users' systems and then sent to cybersecurity company servers.
The Kaspersky ML research team explored this gray-box scenario and showed that feature knowledge is enough for an adversarial attack on ML models.

They attacked one of Kaspersky's antimalware ML models without white-box access to it and successfully evaded detection for most of the adversarially modified malware files.","2021-06-23","DATE","exercise","Kaspersky's Antimalware ML Model","Kaspersky ML Research Team","9","1"
"AML.CS0015","Compromised PyTorch Dependency Chain","Linux packages for PyTorch's pre-release version, called Pytorch-nightly, were compromised from December 25 to 30, 2022 by a malicious binary uploaded to the Python Package Index (PyPI) code repository.  The malicious binary had the same name as a PyTorch dependency and the PyPI package manager (pip) installed this malicious package instead of the legitimate one.

This supply chain attack, also known as ""dependency confusion,"" exposed sensitive information of Linux machines with the affected pip-installed versions of PyTorch-nightly. On December 30, 2022, PyTorch announced the incident and initial steps towards mitigation, including the rename and removal of `torchtriton` dependencies.","2022-12-25","DATE","incident","PyTorch","Unknown","3","2"
