"id","name","description","techniques","ml_lifecycle","category","created_date","modified_date"
"AML.M0000","Limit Public Release of Information","Limit the public release of technical information about the AI stack used in an organization's products or services. Technical knowledge of how AI is used can be leveraged by adversaries to perform targeting and tailor attacks to the target system. Additionally, consider limiting the release of organizational information - including physical locations, researcher names, and department structures - from which technical details such as AI techniques, model architectures, or datasets may be inferred.","{'id': 'AML.T0000', 'use': 'Limit the connection between publicly disclosed approaches and the data, models, and algorithms used in production.\n'}; {'id': 'AML.T0003', 'use': 'Restrict release of technical information on ML-enabled products and organizational information on the teams supporting ML-enabled products.\n'}; {'id': 'AML.T0002', 'use': 'Limit the release of sensitive information in the metadata of deployed systems and publicly available applications.\n'}; {'id': 'AML.T0004', 'use': 'Limit the release of sensitive information in the metadata of deployed systems and publicly available applications.\n'}; {'id': 'AML.T0005', 'use': ""Limiting release of technical information about a model and training data can reduce an adversary's ability to create an accurate proxy model.""}; {'id': 'AML.T0005.000', 'use': ""Limiting release of technical information about a model and training data can reduce an adversary's ability to create an accurate proxy model.""}; {'id': 'AML.T0005.002', 'use': ""Limiting release of technical information about a model and training data can reduce an adversary's ability to create an accurate proxy model.""}","Business and Data Understanding","Policy","2023-04-12","2025-12-23"
"AML.M0001","Limit Model Artifact Release","Limit public release of technical project details including data, algorithms, model architectures, and model checkpoints that are used in production, or that are representative of those used in production.
","{'id': 'AML.T0002.000', 'use': ""Limiting the release of datasets can reduce an adversary's ability to target production models trained on the same or similar data.\n""}; {'id': 'AML.T0002.001', 'use': ""Limiting the release of model architectures and checkpoints can reduce an adversary's ability to target those models.\n""}; {'id': 'AML.T0020', 'use': 'Published datasets can be a target for poisoning attacks.\n'}; {'id': 'AML.T0005', 'use': ""Limiting the release of model artifacts can reduce an adversary's ability to create an accurate proxy model.""}; {'id': 'AML.T0035', 'use': ""Limiting the release of artifacts can reduce an adversary's ability to collect model artifacts""}; {'id': 'AML.T0005.000', 'use': ""Limiting the release of model artifacts can reduce an adversary's ability to create an accurate proxy model.""}","Business and Data Understanding; Deployment","Policy","2023-04-12","2025-12-23"
"AML.M0002","Passive AI Output Obfuscation","Decreasing the fidelity of model outputs provided to the end user can reduce an adversary's ability to extract information about the model and optimize attacks for the model.","{'id': 'AML.T0013', 'use': 'Suggested approaches:\n  - Restrict the number of results shown\n  - Limit specificity of output class ontology\n  - Use randomized smoothing techniques\n  - Reduce the precision of numerical outputs\n'}; {'id': 'AML.T0014', 'use': 'Suggested approaches:\n  - Restrict the number of results shown\n  - Limit specificity of output class ontology\n  - Use randomized smoothing techniques\n  - Reduce the precision of numerical outputs\n'}; {'id': 'AML.T0043.001', 'use': 'Suggested approaches:\n  - Restrict the number of results shown\n  - Limit specificity of output class ontology\n  - Use randomized smoothing techniques\n  - Reduce the precision of numerical outputs\n'}; {'id': 'AML.T0024.000', 'use': 'Suggested approaches:\n  - Restrict the number of results shown\n  - Limit specificity of output class ontology\n  - Use randomized smoothing techniques\n  - Reduce the precision of numerical outputs\n'}; {'id': 'AML.T0024.001', 'use': 'Suggested approaches:\n  - Restrict the number of results shown\n  - Limit specificity of output class ontology\n  - Use randomized smoothing techniques\n  - Reduce the precision of numerical outputs\n'}; {'id': 'AML.T0024.002', 'use': 'Suggested approaches:\n  - Restrict the number of results shown\n  - Limit specificity of output class ontology\n  - Use randomized smoothing techniques\n  - Reduce the precision of numerical outputs\n'}; {'id': 'AML.T0043', 'use': ""Obfuscating model outputs reduces an adversary's ability to generate effective adversarial data.""}; {'id': 'AML.T0043.001', 'use': ""Obfuscating model outputs reduces an adversary's ability to create effective adversarial inputs.""}; {'id': 'AML.T0005', 'use': ""Obfuscating model outputs can reduce an adversary's ability to produce an accurate proxy model.""}; {'id': 'AML.T0042', 'use': ""Obfuscating model outputs reduces an adversary's ability to verify the efficacy of an attack.""}; {'id': 'AML.T0005.001', 'use': ""Obfuscating model outputs restricts an adversary's ability to create an accurate proxy model by querying a model and observing its outputs.""}; {'id': 'AML.T0063', 'use': 'Obfuscating model outputs can prevent adversaries from collecting sensitive information about the model outputs.'}","Deployment; ML Model Evaluation","Technical - ML","2023-04-12","2025-12-23"
"AML.M0003","Model Hardening","Use techniques to make AI models robust to adversarial inputs such as adversarial training or network distillation.","{'id': 'AML.T0015', 'use': 'Hardened models are more difficult to evade.\n'}; {'id': 'AML.T0031', 'use': 'Hardened models are less susceptible to integrity attacks.\n'}; {'id': 'AML.T0043', 'use': 'Hardened models are more robust to adversarial inputs.'}; {'id': 'AML.T0043.001', 'use': 'Hardened models are more robust to adversarial inputs.'}; {'id': 'AML.T0043.002', 'use': 'Hardened models are more robust to adversarial inputs.'}; {'id': 'AML.T0043.003', 'use': 'Hardened models are more robust to adversarial inputs.'}; {'id': 'AML.T0043.000', 'use': 'Hardened models are more robust to adversarial inputs.'}; {'id': 'AML.T0043.004', 'use': 'Hardened models are more robust to adversarial inputs.'}","Data Preparation; ML Model Engineering","Technical - ML","2023-04-12","2025-12-23"
"AML.M0004","Restrict Number of AI Model Queries","Limit the total number and rate of queries a user can perform.
","{'id': 'AML.T0034', 'use': ""Limit the number of queries users can perform in a given interval to hinder an attacker's ability to send computationally expensive inputs\n""}; {'id': 'AML.T0013', 'use': ""Limit the amount of information an attacker can learn about a model's ontology through API queries.\n""}; {'id': 'AML.T0014', 'use': ""Limit the amount of information an attacker can learn about a model's ontology through API queries.\n""}; {'id': 'AML.T0024', 'use': 'Limit the volume of API queries in a given period of time to regulate the amount and fidelity of potentially sensitive information an attacker can learn.\n'}; {'id': 'AML.T0024.000', 'use': 'Limit the volume of API queries in a given period of time to regulate the amount and fidelity of potentially sensitive information an attacker can learn.\n'}; {'id': 'AML.T0024.001', 'use': 'Limit the volume of API queries in a given period of time to regulate the amount and fidelity of potentially sensitive information an attacker can learn.\n'}; {'id': 'AML.T0024.002', 'use': 'Limit the volume of API queries in a given period of time to regulate the amount and fidelity of potentially sensitive information an attacker can learn.\n'}; {'id': 'AML.T0043.001', 'use': 'Limit the number of queries users can perform in a given interval to shrink the attack surface for black-box attacks.\n'}; {'id': 'AML.T0029', 'use': 'Limit the number of queries users can perform in a given interval to prevent a denial of service.\n'}; {'id': 'AML.T0046', 'use': 'Limit the number of queries users can perform in a given interval to protect the system from chaff data spam.\n'}; {'id': 'AML.T0043', 'use': ""Restricting the number of model queries can reduce an adversary's ability to refine and evaluate adversarial queries.""}; {'id': 'AML.T0043.001', 'use': ""Restricting the number of queries to the model limits or slows an adversary's ability to perform black-box optimization attacks.""}; {'id': 'AML.T0043.003', 'use': ""Restricting the number of model queries can reduce an adversary's ability to refine manually crafted adversarial inputs.""}; {'id': 'AML.T0005', 'use': ""Restricting the number of queries to the model decreases an adversary's ability to replicate an accurate proxy model.""}; {'id': 'AML.T0005.001', 'use': ""Restricting the number of queries to the model decreases an adversary's ability to replicate an accurate proxy model.""}; {'id': 'AML.T0042', 'use': ""Restricting the number of queries to the model decreases an adversary's ability to verify the efficacy of an attack.""}; {'id': 'AML.T0062', 'use': ""Restricting number of model queries limits or slows an adversary's ability to identify possible hallucinations.""}","Business and Data Understanding; Deployment; Monitoring and Maintenance","Technical - Cyber","2023-04-12","2025-12-23"
"AML.M0005","Control Access to AI Models and Data at Rest","Establish access controls on internal model registries and limit internal access to production models. Limit access to training data only to approved users.
","{'id': 'AML.T0010.002', 'use': 'Access controls can prevent tampering with ML artifacts and prevent unauthorized copying.\n'}; {'id': 'AML.T0020', 'use': 'Access controls can prevent tampering with ML artifacts and prevent unauthorized copying.\n'}; {'id': 'AML.T0018.000', 'use': 'Access controls can prevent tampering with ML artifacts and prevent unauthorized copying.\n'}; {'id': 'AML.T0018.001', 'use': 'Access controls can prevent tampering with ML artifacts and prevent unauthorized copying.\n'}; {'id': 'AML.T0010.003', 'use': 'Access controls can prevent tampering with ML artifacts and prevent unauthorized copying.\n'}; {'id': 'AML.T0025', 'use': 'Access controls can prevent exfiltration.\n'}; {'id': 'AML.T0048.004', 'use': 'Access controls can prevent theft of intellectual property.\n'}; {'id': 'AML.T0018', 'use': 'Access controls can prevent tampering with AI artifacts and prevent unauthorized modification.'}; {'id': 'AML.T0043.000', 'use': 'Access controls can reduce unnecessary access to AI models and prevent an adversary from achieving white-box access.'}; {'id': 'AML.T0007', 'use': ""Access controls can limit an adversary's ability to identify AI models, datasets, and other artifacts on a system.""}; {'id': 'AML.T0044', 'use': 'Access controls on models and data at rest can help prevent full model access.'}; {'id': 'AML.T0035', 'use': 'Access controls can prevent or limit the collection of AI artifacts on the victim system.'}; {'id': 'AML.T0042', 'use': ""Access controls on models at rest can prevent an adversary's ability to verify attack efficacy.""}","Business and Data Understanding; Data Preparation; ML Model Evaluation; ML Model Engineering","Policy","2023-04-12","2025-12-23"
"AML.M0006","Use Ensemble Methods","Use an ensemble of models for inference to increase robustness to adversarial inputs. Some attacks may effectively evade one model or model family but be ineffective against others.
","{'id': 'AML.T0031', 'use': 'Using multiple different models increases robustness to attack.\n'}; {'id': 'AML.T0010.001', 'use': 'Using multiple different models ensures minimal performance loss if security flaw is found in tool for one model or family.\n'}; {'id': 'AML.T0010.003', 'use': 'Using multiple different models ensures minimal performance loss if security flaw is found in tool for one model or family.\n'}; {'id': 'AML.T0015', 'use': 'Using multiple different models increases robustness to attack.\n'}; {'id': 'AML.T0014', 'use': 'Use multiple different models to fool adversaries of which type of model is used and how the model used.\n'}; {'id': 'AML.T0043.000', 'use': 'Using an ensemble of models increases the difficulty of crafting effective adversarial data and improves overall robustness.'}; {'id': 'AML.T0043.001', 'use': 'Using an ensemble of models increases the difficulty of crafting effective adversarial data and improves overall robustness.'}; {'id': 'AML.T0043.002', 'use': 'Using an ensemble of models increases the difficulty of crafting effective adversarial data and improves overall robustness.'}; {'id': 'AML.T0043.004', 'use': 'Using an ensemble of models increases the difficulty of crafting effective adversarial data and improves overall robustness.'}; {'id': 'AML.T0043.003', 'use': 'Using an ensemble of models increases the difficulty of crafting effective adversarial data and improves overall robustness.'}; {'id': 'AML.T0043', 'use': 'Using an ensemble of models increases the difficulty of crafting effective adversarial data and improves overall robustness.'}","ML Model Engineering","Technical - ML","2023-04-12","2025-12-23"
"AML.M0007","Sanitize Training Data","Detect and remove or remediate poisoned training data.  Training data should be sanitized prior to model training and recurrently for an active learning model.

Implement a filter to limit ingested training data.  Establish a content policy that would remove unwanted content such as certain explicit or offensive language from being used.
","{'id': 'AML.T0010.002', 'use': 'Detect and remove or remediate poisoned data to avoid adversarial model drift or backdoor attacks.\n'}; {'id': 'AML.T0020', 'use': 'Detect modification of data and labels which may cause adversarial model drift or backdoor attacks.\n'}; {'id': 'AML.T0018.000', 'use': 'Prevent attackers from leveraging poisoned datasets to launch backdoor attacks against a model.\n'}; {'id': 'AML.T0059', 'use': 'Remediating poisoned data can re-establish dataset integrity.'}","Business and Data Understanding; Data Preparation; Monitoring and Maintenance","Technical - ML","2023-04-12","2025-12-23"
"AML.M0008","Validate AI Model","Validate that AI models perform as intended by testing for backdoor triggers, potential for data leakage, or adversarial influence.
Monitor AI model for concept drift and training data drift, which may indicate data tampering and poisoning.","{'id': 'AML.T0010.003', 'use': 'Ensure that acquired models do not respond to potential backdoor triggers or adversarial influence.'}; {'id': 'AML.T0018.000', 'use': 'Ensure that trained models do not respond to potential backdoor triggers or adversarial influence.'}; {'id': 'AML.T0018.001', 'use': 'Ensure that acquired models do not respond to potential backdoor triggers or adversarial influence.'}; {'id': 'AML.T0018', 'use': 'Validating an AI model against a wide range of adversarial inputs can help increase confidence that the model has not been manipulated.'}; {'id': 'AML.T0043.004', 'use': 'Validating that an AI model does not respond to backdoor triggers can help increase confidence that the model has not been poisoned.'}; {'id': 'AML.T0020', 'use': 'Robust evaluation of an AI model can help increase confidence that the model has not been poisoned.'}; {'id': 'AML.T0057', 'use': 'Robust evaluation of an AI model can be used to detect privacy concerns, data leakage, and potential for revealing sensitive information.'}; {'id': 'AML.T0043', 'use': 'Validating an AI model against adversarial data can ensure the model is performing as intended and is robust to adversarial inputs.'}","ML Model Evaluation; Monitoring and Maintenance","Technical - ML","2023-04-12","2025-12-23"
"AML.M0009","Use Multi-Modal Sensors","Incorporate multiple sensors to integrate varying perspectives and modalities to avoid a single point of failure susceptible to physical attacks.
","{'id': 'AML.T0041', 'use': 'Using a variety of sensors can make it more difficult for an attacker with physical access to compromise and produce malicious results.\n'}; {'id': 'AML.T0015', 'use': 'Using a variety of sensors can make it more difficult for an attacker to compromise and produce malicious results.\n'}; {'id': 'AML.T0088', 'use': 'Using a variety of sensors, such as IR depth cameras, can aid in detecting deepfakes.'}","Business and Data Understanding; Data Preparation; ML Model Engineering","Technical - Cyber","2023-04-12","2025-12-23"
