"requirement_id","top_level_requirement","section_id","requirement_text","testing_procedures","guidance"
"1.1","1","1.1","Establish and implement firewall and

router configuration standards that include the following:","Inspect the firewall and router configuration standards and
1.1 other documentation specified below and verify that standards are complete and implemented as follows:","Firewalls and routers are key components of the architecture that controls entry to and exit from the network. These devices are software or hardware devices that block unwanted access and manage authorized access into and out of the network."
"1.1.1","1","1.1","A formal process for approving and testing all network connections and changes to the firewall and router configurations","1.1.1.a Examine documented procedures to verify there is a formal process for testing and approval of all: • Network connections and • Changes to firewall and router configurations","A documented and implemented process for approving and testing all connections and changes to the firewalls and routers will help prevent security problems caused by misconfiguration of the network, router, or firewall."
"1.1.2","1","1.1","Current network diagram that identifies all connections between the cardholder data environment and other networks, including any wireless","Examine diagram(s) and observe network
1.1.2.a configurations to verify that a current network diagram exists and that it documents all connections to cardholder data, including any wireless networks.","Network diagrams describe how networks are configured, and identify the location of all network devices."
"1.1.3","1","1.1","Current diagram that shows all cardholder data flows across systems and networks","Examine data-flow diagram and interview personnel to
1.1.3 verify the diagram: • Shows all cardholder data flows across systems and networks. • Is kept current and updated as needed upon changes to the environment.","Cardholder data-flow diagrams identify the location of all cardholder data that is stored, processed, or transmitted within the network.
Network and cardholder data-flow diagrams help an organization to understand and keep track of the scope of their environment, by showing how cardholder data flows across networks and between individual systems and devices."
"1.1.4","1","1.1","Requirements for a firewall at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone","1.1.4.a Examine the firewall configuration standards and verify that they include requirements for a firewall at each Internet connection and between any DMZ and the internal network zone.","Using a firewall on every Internet connection coming into (and out of) the network, and between any DMZ and the internal network, allows the organization to monitor and control access and minimizes the chances of a malicious individual obtaining access to the internal network via an unprotected connection."
"1.1.5","1","1.1","Description of groups, roles, and

responsibilities for management of network components","1.1.5.a
Verify that firewall and router configuration standards include a description of groups, roles, and responsibilities for management of network components.","This description of roles and assignment of responsibilities ensures that personnel are aware of who is responsible for the security of all"
"1.1.6","1","1.1","Documentation of business justification and approval for use of all services, protocols, and ports allowed,","1.1.6.a Verify that firewall and router configuration standards include a documented list of all services, protocols and ports, including business justification and approval for each.","Compromises often happen due to unused or insecure service and ports, since these often have known vulnerabilities and many organizations"
"1.1.7","1","1.1","Requirement to review firewall and router rule sets at least every six months","1.1.7.a Verify that firewall and router configuration standards require review of firewall and router rule sets at least every six months.","This review gives the organization an opportunity at least every six months to clean up any unneeded, outdated, or incorrect rules, and"
"1.2","1","1.2","Build firewall and router configurations that restrict connections between untrusted networks and any system components in the cardholder data environment.","1.2
Examine firewall and router configurations and perform the following to verify that connections are restricted between untrusted networks and system components in the cardholder data environment:","It is essential to install network protection between the internal, trusted network and any untrusted network that is external and/or out of the entity's ability to control or manage. Failure to implement this measure correctly results in the entity being"
"1.2.1","1","1.2","Restrict inbound and outbound traffic to that which is necessary for the cardholder data environment, and","Examine firewall and router configuration standards to
1.2.1.a verify that they identify inbound and outbound traffic necessary for the cardholder data environment.","Examination of all inbound and outbound connections allows for inspection and restriction of traffic based on the source and/or destination"
