term,definition,source_anchor,notes
AITM,Adversary-in-the-Middle. Formerly MITM.,https://cwe.mitre.org/documents/glossary/#AITM,
Activation Point,"a vulnerability theory term for the location in code at which an attacker's ""payload"" can be executed, i.e., when the attacker has caused the code to violate the intended security policy. For example, in SQL injection, the code reads an input from a parameter (interaction point); incorrectly checks the input for dangerous characters (crossover point); inserts the input into a dynamically generated query string; then sends the query string to the database server (trigger point); then the query is processed by the server (activation point). See the Vulnerability Theory paper for more details.",https://cwe.mitre.org/documents/glossary/#Activation%20Point,
Actor,"a vulnerability theory term that describes an entity that interacts with a product or with other entities, such as a User, Service, Monitor (e.g. IDS), Intermediary, and others.",https://cwe.mitre.org/documents/glossary/#Actor,
Adversary-in-the-Middle,"an adversary who is able to eavesdrop, intercept, and/or possibly modify the communications between two parties by having access to an intermediary system through which communication must flow between the two parties, e.g., a router in between a client and server. Formerly Man-in-the-Middle / MITM.",https://cwe.mitre.org/documents/glossary/#Adversary-in-the-Middle,
Allowlist,"a list or group of characters, strings, patterns, or other elements that is used to identify whether certain data should be allowed or accepted; treated as safe; included; or processed without modification.",https://cwe.mitre.org/documents/glossary/#Allowlist,
Attack Pattern,"the common approach and attributes related to the exploitation of a weakness in a software, firmware, hardware, or service component.",https://cwe.mitre.org/documents/glossary/#Attack%20Pattern,
Attacker,an actor who attempts to gain access to behaviors or resources that are outside of the product's intended control sphere for that actor.,https://cwe.mitre.org/documents/glossary/#Attacker,
Authentication,"the process of verifying that an actor has a specific real-world identity, typically by checking for information that the product assumes can only be produced by that actor. This is different than authorization, because authentication focuses on verifying the identity of the actor, not what resources the actor can access.",https://cwe.mitre.org/documents/glossary/#Authentication,
Authorization,"the process of determining whether an actor with a given identity is allowed to have access to a resource, then granting access to that resource, as defined by the implicit and explicit security policies for the system. This is different than authentication, because authorization focuses on whether a given actor can access a given resource, not in proving what the real-world identity of the actor is.",https://cwe.mitre.org/documents/glossary/#Authorization,
Base Weakness,"a weakness that is described in an abstract fashion, but with sufficient details to infer specific methods for detection and prevention. More general than a Variant weakness, but more specific than a Class Weakness. Base level weaknesses typically describe issues in terms of 2 or 3 of the following dimensions: behavior, property, technology, language, and resource. For example the base weakness ""Use of Externally-Controlled Format String"" (CWE-134) describes an issue (inappropriate action) with a behavior (Use of) taken against a specific resource (Format String) with a given property (Externally Controlled). Another example is ""Improper Limitation of a Pathname to a Restricted Directory"" (CWE-22) which describes an issue (Improper Limitation) with a behavior (control of a Pathname) taken against a resource (Directory) with a given property (Restricted).",https://cwe.mitre.org/documents/glossary/#Base%20Weakness,
Behavior,"an action that the product takes, typically as implemented in code or as represented by an algorithm. This could also refer to actions by other actors that are not the system.",https://cwe.mitre.org/documents/glossary/#Behavior,
Business Logic,"A frequently-used term whose use is discouraged in CWE. This term is generally used to describe issues that require domain-specific knowledge or ""business rules"" to determine if they are weaknesses or vulnerabilities, instead of legitimate behavior. Such issues might not be easily detectable via automatic code analysis, because the associated operations do not produce clear errors or undefined behavior at the code level.",https://cwe.mitre.org/documents/glossary/#Business%20Logic,
CRUD,"acronym for ""Create, Read, Update, Delete,"" a model for persistent storage of data that is similar to the resource model in vulnerability theory.",https://cwe.mitre.org/documents/glossary/#CRUD,
Callable,"an abstract term for a function, method, procedure, etc. that can be explicitly invoked by its name. also known as ""Callable Element"" (adapted from CISQ).",https://cwe.mitre.org/documents/glossary/#Callable,
Canonicalization,"a behavior that converts or reduces an input/output to a single fixed form that cannot be converted or reduced any further. In cases in which the input/output is used as an identifier, canonicalization refers to the act of converting that identifier. For example, when the current working directory is ""/users/cwe,"" the filename ""../xyz"" can be canonicalized to ""/users/xyz"".",https://cwe.mitre.org/documents/glossary/#Canonicalization,
Canonicalize,to perform Canonicalization.,https://cwe.mitre.org/documents/glossary/#Canonicalize,
Category,"a CWE entry that contains a set of other entries that share a common characteristic. A category is not a weakness, but rather a structural item that helps users find weaknesses that share the stated common characteristic.",https://cwe.mitre.org/documents/glossary/#Category,
Chain,"a Compound Element that is a sequence of two or more separate weaknesses that can be closely linked together. One weakness, X, can directly create the conditions that are necessary to cause another weakness, Y, to enter a vulnerable condition. When this happens, CWE refers to X as ""primary"" to Y, and Y is ""resultant"" from X. For example, in the named chain CWE-691, an integer overflow (CWE-190) can lead to a buffer overflow (CWE-120) if an integer overflow occurs while calculating the amount of memory to allocate. In this case, the integer overflow would be primary to the buffer overflow. Chains can involve more than two weaknesses, and in some cases, they might have a tree-like structure.",https://cwe.mitre.org/documents/glossary/#Chain,
Check,"in the vulnerability theory model of error handling, to examine a resource, its properties, or the system state to determine if they align with the expectations of the product.",https://cwe.mitre.org/documents/glossary/#Check,
Class Weakness,"a weakness that is described in a very abstract fashion, typically independent of any specific language or technology. More specific than a Pillar Weakness, but more general than a Base Weakness. Class level weaknesses typically describe issues in terms of 1 or 2 of the following dimensions: behavior, property, and resource. For example the class weakness ""Uncontrolled Resource Consumption"" (CWE-400) describes an issue (Uncontrolled) with a behavior (Consumption) associated with any type of resource. Another example is ""Insecure Storage of Sensitive Information"" (CWE-922) which describes an issue (Insecure) with a behavior (Storage) taken against a general type of resource (Sensitive Information).",https://cwe.mitre.org/documents/glossary/#Class%20Weakness,
Cleanse,"Use of this term is discouraged in names and descriptions for CWE weaknesses, since it has too many different meanings in the industry and may cause mapping errors. It is not precise enough for CWE's purpose. This decision was made in CWE 1.9.",https://cwe.mitre.org/documents/glossary/#Cleanse,
Cleansing,"This term is discouraged for use in CWE. See ""Cleanse"".",https://cwe.mitre.org/documents/glossary/#Cleansing,
Cleartext,"any information that is unencrypted, although it might be in an encoded form that is not easily human-readable, such as base64 encoding. Some people use the ""plaintext"" term to mean the same thing, but ""plaintext"" has a more precise meaning within cryptography.",https://cwe.mitre.org/documents/glossary/#Cleartext,
