"term","definition","source_anchor","notes"
"100-continue","A method that gives a client the ability to see whether a server can accept a request before actually sending it. For large PUT requests, this method can save both time and bandwidth charges.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#hundredcontinue",""
"AAD","See [additional authenticated data](#additional_authenticated_data).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#AAD_abbrev",""
"access control list (ACL)","A document that defines who can access a particular [bucket](#bucket) or object. Each [bucket](#bucket) and object in [Amazon S3](#amazons3) has an ACL. This document defines what each type of user can do, such as write and read permissions.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#ACL",""
"access identifiers","See [credentials](#accesscredentials).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#access_identifiers",""
"access key","The combination of an [access key ID](#accesskeyID) (for example, `AKIAIOSFODNN7EXAMPLE`) and a [secret access key](#SecretAccessKey) (for example, `wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY`). You use access keys to sign API requests that you make to AWS.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#access_key",""
"access key ID","A unique identifier that's associated with a [secret access key](#SecretAccessKey); the access key ID and secret access key are used together to sign programmatic AWS requests cryptographically.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#accesskeyID",""
"access key rotation","A method to increase security by changing the AWS access key ID. You can use this method to retire an old key at your discretion.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#keyrotate",""
"access policy language","A language for writing documents (specifically, [*policies*](#policy)) that specify who can access a particular AWS [resource](#resource) and under what conditions.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#accesslang",""
"account","A formal relationship with AWS that's associated with all of the following: + The owner email address and password + The control of resources created under its umbrella + Payment for the AWS activity related to those resources The AWS account has permission to do anything and everything with all the AWS account resources. This is in contrast to a [user](#AWSUser), which is an entity contained within the account.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#account",""
"account activity","A webpage showing your month-to-date AWS usage and costs. The account activity page is located at [https://aws.amazon.com/account-activity/](https://aws.amazon.com/account-activity/).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#accountactivity",""
"AWS Account Management","AWS Account Management is a tool that you can use to update the contact information for each of your AWS accounts. See also [https://aws.amazon.com/organizations](https://aws.amazon.com/organizations/).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#aws-account-management",""
"ACL","See [access control list (ACL)](#ACL).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#ACL_abbrev",""
"ACM","AWS Certificate Manager is a web service for provisioning, managing, and deploying Secure Sockets Layer/[Transport Layer Security](#transportlayersecurity) (SSL/TLS) certificates for use with AWS services. See also [https://aws.amazon.com/certificate-manager/](https://aws.amazon.com/certificate-manager/).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#acm",""
"action","An API function. Also called *operation* or *call*. The activity the [principal](#principal) has permission to perform. The action is B in the statement ""A has permission to do B to C where D applies."" For example, Jane sends a request to [Amazon SQS](#AmazonSimpleQueueService) with `Action=ReceiveMessage`. [CloudWatch](#AmazonCW): The response initiated by the change in an alarm's state (for example, from `OK` to `ALARM`). The state change might be caused by a metric reaching the alarm threshold, or by a `SetAlarmState` request. Each alarm can have one or more actions assigned to each state. Actions are performed once each time the alarm changes to a state that has an action assigned. Example actions include an [Amazon SNS](#SNS) notification, running an [Amazon EC2 Auto Scaling](#AutoScaling) [policy](#policy), and an [ Amazon EC2 instance](#ec2instance) stop/terminate action.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#action",""
"active trusted key groups","A list that shows each of the [trusted key groups](#trusted_key_groups), and the IDs of the public keys in each key group, that are active for a distribution in Amazon CloudFront. CloudFront can use the public keys in these key groups to verify the signatures of [CloudFront signed URLs and signed cookies](https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/PrivateContent.html).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#active_trusted_key_groups",""
"active trusted signers","See [active trusted key groups](#active_trusted_key_groups).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#trustedsigner",""
"active-active","A class of high availability strategies in which a workload exists simultaneously in multiple Regions, uses multiple primary resources, and serves traffic from all of the Regions to which it's deployed. Sometimes referred to as active/active. See also [read local/write global](#readlocalwriteglobal)[read local/write local](#readlocalwritelocal)[global consistency](#globalconsistency).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#activeactive",""
"active-passive","A class of disaster recovery strategies that involve a primary Region and a standby Region in a [back up and restore](#backupand), [hot standby](#hotstandby), [pilot light](#pilotlight), or [warm standby](#warmstandby) configuration. Sometimes referred to as active/passive.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#activepassive",""
"additional authenticated data","Information that's checked for integrity but not encrypted, such as headers or other contextual metadata.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#additional_authenticated_data",""
"administrative suspension","[Amazon EC2 Auto Scaling](#AutoScaling) might suspend processes for [Auto Scaling group](#AutoScalingGroup) that repeatedly fail to launch instances. Auto Scaling groups that most commonly experience administrative suspension have zero running instances, have been trying to launch instances for more than 24 hours, and have not succeeded in that time.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#admin_suspension",""
"alarm","An item that watches a single metric over a specified time period and starts an [Amazon SNS](#SNS) [topic](#topic) or an [Amazon EC2 Auto Scaling](#AutoScaling) [policy](#policy). These actions are started if the value of the metric crosses a threshold value over a predetermined number of time periods.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#alarm",""
"allow","One of two possible outcomes (the other is [deny](#deny)) when an [IAM](#IAM) access [policy](#policy) is evaluated. When a user makes a request to AWS, AWS evaluates the request based on all permissions that apply to the user and then returns either allow or deny.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#allow",""
"Amazon Machine Image (AMI)","An Amazon Machine Image (AMI) is an encrypted machine image stored in [Amazon EBS](#EBS) or [Amazon S3](#amazons3). AMIs function similarly to a template of a computer's root drive. They contain the operating system and can also include software and layers of your application, such as database servers, middleware, and web servers.","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#AmazonMachineImage",""
"Amazon Web Services (AWS)","An infrastructure web services platform in the cloud for companies of all sizes. See also [https://aws.amazon.com/what-is-cloud-computing/](https://aws.amazon.com/what-is-cloud-computing/).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#amazonwebservices",""
"AMI","See [Amazon Machine Image (AMI)](#AmazonMachineImage).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#AMI_abbrev",""
"Amplify","AWS Amplify is a complete solution that frontend web and mobile developers can use to build and deploy secure, scalable full-stack applications powered by AWS. Amplify provides two services: [Amplify Hosting](#AmplifyHosting) and [Amplify Studio](#AmplifyStudio). See also [https://aws.amazon.com/amplify/](https://aws.amazon.com/amplify/).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#Amplify",""
"Amplify Android","Amplify Android is a collection of open-source client libraries that provides interfaces for specific use cases across many AWS services. Amplify Android is the recommended way to build native Android applications powered by AWS. See also [https://aws.amazon.com/amplify/](https://aws.amazon.com/amplify/).","https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#AmplifyAndroid",""
