term,definition,source_anchor,notes
Containment,"Restrict communication of suspect systems, accounts or networks during an incident, in order to prevent the propagation of a compromise.",https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Containment,section: General
Decryption,Decryption is the process of transforming ciphertext (information unreadable to anyone without the key) into plaintext (information readable to anyone). This is completed by using the key along with the encryption algorithm in reverse.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Decryption,section: General
Encryption,The process of transforming readable data (plaintext) into a form that is unreadable (cipher text) by all except the authorized person(s) possessing the correct key to decrypt the data.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Encryption,section: General
Guideline,"A document in support of policies, standards, and procedures containing general advice on the secure and responsible use of resources. Adherence is not required or enforced, but is strongly recommended.",https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Guideline,section: General
ID or User ID,"A unique identifier assigned to a user, account or non-person entity.",https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#ID_or_User_ID,section: General
Incident or IT Security Incident,"A violation of the confidentiality, integrity, and/or availability of a company information resource. Disclosure, degradation, loss, and denial of data or the computing platform are the typical consequences of an incident.",https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Incident_or_IT_Security_Incident,section: General
Incident Response,"Processes and procedures used to scope, contain and remediate an IT Security Incident and comply with any applicable legal obligations.",https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Incident_Response,section: General
Log,A record of events that occur on a specific system. This or file can be configured within the system to capture more or less data.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Log,section: General
Penetration Test,The process of attempting to gain access to resources without knowledge of the software or access to the source code. The penetration test focuses on gaining access to critical assets or information.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Penetration_Test,section: General
Policy,"A document which includes a concise set of requirements, rules or criteria, which influence and determine decisions and actions intended to manage key risks, usually describing ""what"" the requirements are, ""why"" they are required, and by ""whom"" they are to be implemented.",https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Policy,section: General
Procedure,"A written set of steps to execute a policy through specific, prescribed actions; this is the ""how"" that a person or asset can be in compliance. Procedures are more detailed than a policy. They identify the method and state in a series of steps exactly how to accomplish an intended objective or requirement.",https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Procedure,section: General
Remediation,Restoration of a compromised asset or service to normal operating capacity following an incident.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Remediation,section: General
Standard,"A mandatory action, explicit rules, requirements and/or configuration settings that are designed to support a policy area while ensuring acceptable levels of compliance. A standard will define accepted specifications for hardware, software, and/or behavior.",https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Standard,section: General
Requestor,An individual or group within the Wikimedia community who creates a task within Phabricator for a Security Service,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Requestor,section: Project Management
Phabricator,Bug/Task tracking software used by Wikimedia Foundation and community,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Phabricator,section: Project Management > Tooling
Vulnerability,A weakness in a system that can be exploited by a threat.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Vulnerability,section: Vulnerability Management
Vulnerability Assessment,A test of a software system with an emphasis on identifying areas of that system that are vulnerable to a computer attack.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Vulnerability_Assessment,section: Vulnerability Management
Risk,The likelihood and impact of a threat exploiting a vulnerability.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Risk,section: Risk Management
Risk-Based Approach,The process for ensuring that important business decisions and behaviors remain within the overall risk appetite and acceptable risk tolerances.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Risk_Based_Approach,section: Risk Management
Threat,Anything that can lead to damage or loss.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Threat,section: Risk Management
Vulnerability,A weakness or gap that can allow a threat to cause damage or loss.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Vulnerability,section: Risk Management
Gap of Grief,The distance in understanding and prioritization between the technical and business focused elements of an organization. This is often used when describing the need for translating security risks (esp technical) into business terms.https://www.youtube.com/watch?v=dl4y0Cfe9Lo 1,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Gap_of_Grief,section: Risk Management
