"term","definition","source_anchor","notes"
"Artifact","( SLSA-2023 ) An immutable blob of data; primarily refers to software , but SLSA can be used for any artifact. E.g. a file, a git commit, a directory of files (serialized in some way), a container image, a firmware image.","https://security.metacpan.org/docs/glossary.html#artifact","Note Component and Artifact seem to some times have overlapping meaning. Recommended: Use the term Artifact specifically when referring to files, and Component in other situations. (CPANSec-2024) || See also: Component || (Ref: SLSA-2023 , CPANSec-2024 )"
"Author (SBOM Role)","(NTIA-2021) An entity that creates an SBOM. author and supplier will often be different. In the case of SBOMs, the author creates the SBOM. The supplier is the provider of the software included in the SBOM.","https://security.metacpan.org/docs/glossary.html#author-sbom-role","See also: Author in the Supply-chain SBOM Roles document. || (Ref: NTIA-2021 )"
"Author (Project Role)","(CPANSec-2024) A developer that publishes something as Open Source software.","https://security.metacpan.org/docs/glossary.html#author-project-role","(Ref: CPANSec-2024 )"
"Attestation","An authenticated statement (metadata) about a software artifact or collection of software artifacts. E.g. a signed SLSA Provenance file.","https://security.metacpan.org/docs/glossary.html#attestation","(Ref: SLSA-2023 )"
"Build","(SLSA-2023) Process that transforms a set of input artifacts into a set of output artifacts. The inputs may be sources, dependencies, or ephemeral build outputs. E.g. .travis.yml (process) run by Travis CI (platform).","https://security.metacpan.org/docs/glossary.html#build","(Ref: SLSA-2023 )"
"CE Marking","(CRA-2024-03) A marking by which a manufacturer indicates that a product with digital elements and the processes put in place by the manufacturer are in conformity with the essential requirements set out in EU Cyber Resilience Act, Annex I and other applicable European Union harmonization legislation providing for its affixing.","https://security.metacpan.org/docs/glossary.html#ce-marking","(Ref: CRA-2024-03 )"
"Chain of custody","(SCVS-2020, CDXAG-2025 ) Auditable documentation of point of origin as well as the method of transfer from point of origin to point of destination and the identity of the transfer agent.","https://security.metacpan.org/docs/glossary.html#chain-of-custody","(Ref: SCVS-2020 , CDXAG-2025 )"
"Component","(CRA-2024-03) Software or hardware intended for integration into an electronic information system . | (NTIA-2021) A unit of software defined by a supplier at the time the component is built, packaged, or delivered. Many components contain sub-components. Examples of components include a software product, a device, a library, or a single file.","https://security.metacpan.org/docs/glossary.html#component","Note (CPANSec) Component and Artifact seem to have overlapping definitions. Recommendation: use the term Artifact specifically when referring to files (as defined), and Component in other situations. || See also: Artifact . || (Ref: CRA-2024-03 , NTIA-2021 , CPANSec-2024 )"
"Component function","(SCVS-2020, CDXAG-2025) The purpose for which a software component exists. Examples of component functions include parsers, database persistence, and authentication providers.","https://security.metacpan.org/docs/glossary.html#component-function","(Ref: SCVS-2020 , CDXAG-2025 )"
"Component, second-party","(CPANSec-2024) Any software component created and maintained through the interaction with a second party, including open source, “source available”, and proprietary software where the source is made available for either inspection, use, modification, building or sharing. Open Source software components that an application has as dependencies should be considered as “second-party” components or dependencies, since the application owner has an ongoing relationship with the FOSS component project, by the fact that the owner has accepted the open source project’s license.","https://security.metacpan.org/docs/glossary.html#second-party","(Ref: CPANSec-2024 )"
"Component, third-party","(SCVS-2020) Any software component not directly created including open source, “source available”, and commercial or proprietary software. | (CPANSec-2024) Any software component not directly created including “source available”, commercial or proprietary software.","https://security.metacpan.org/docs/glossary.html#third-party","See also Component, second-party . || (Ref: SCVS-2020 , CPANSec-2024 )"
"Component type","(SCVS-2020, CDXAG-2025) The general classification of a software components architecture. Examples of component types include libraries, frameworks, applications, containers, and operating systems.","https://security.metacpan.org/docs/glossary.html#component-type","(Ref: SCVS-2020 , CDXAG-2025 )"
"Consumer","","https://security.metacpan.org/docs/glossary.html#consumer","See also End-user"
"CycloneDX","(SCVS-2020) An OWASP managed software bill of materials specification designed to be lightweight and security-focused. CycloneDX is considered to be one of the three SBOM formats, together with SWID and SPDX .","https://security.metacpan.org/docs/glossary.html#cyclonedx","(Ref: SCVS-2020 )"
"Dependency","(CPANSec-2024) A dependency is a software component that is required for another software to work as expected. This means the component which is depended upon (required) has been made available for use by the depending software so it may function as expected, without modification. Dependencies exist after they have been made available to the depending software. If a dependency is unmet (meaning – not made available, deployed, or installed), then it is called a Requirement . A dependency can come in many forms, Static, Dynamic Component, Resource or Service Vendored-in (Bundled, Embedded, Included) Peer or Plugin Direct or Transitive Optional, Virtual, Assumed (Phantom) or Unused (Zombie) In-ecosystem (Native) or Out-of-ecosystem (Non-native) Unresolved, or Resolved during Development, Development, Integration, Configuration, Build, Test, Deploy or at Runtime | (SLSA-2023) An Artifact that is an input to a build process but that is not a source. In the SLSA model, it is always a package. E.g. an Alpine package ( package ) distributed on Alpine Linux ( platform ). | ⚠️ (NTIA-2021) Characterizing the relationship that an upstream component X is included in software Y.","https://security.metacpan.org/docs/glossary.html#dependency","Caution (CPANSec-2024) Dependencies may be declared/stated/referenced or included/embedded or assumed/implied/detected, development phase-specific (e.g. developer, config, build, test, deploy, or runtime-specific), dynamic or static, unresolved or resolved, direct or transitive, or required, recommended or suggested. The NTIA-2021 definition below is therefore not only wrong , but also entirely insufficient — is for any practical purpose useless and should not be used. The SLSA-2023 definition below is preferred, though it doesn’t sufficiently distinguish between stated, included and assumed dependencies. Please consider using the CPANSec-2024 definition || (Ref: SLSA-2023 , NTIA-2021 , CPANSec-2024 )"
"Dependency, Direct","(SCVS-2020, CDXAG-2025) A software component that is referenced by a program itself. | (CPANSec-2024) A software program, library, plugin, service, resource or component that is required for another software program or component to function as expected.","https://security.metacpan.org/docs/glossary.html#dependency-direct","See also Dependency, Transitive Dependency, Indirect || (Ref: SCVS-2020 , CDXAG-2025 , CPANSec-2024 )"
"Dependency, Development","(CPANSec-2024) A software or service dependency used by the component author during the development of the software. Examples: Editors, test suite data anonymisers, code generators, documentation template tools or generators, large language models","https://security.metacpan.org/docs/glossary.html#dependency-development","Note FIXME: The name of this type of dependency isn’t clear enough! || (Ref: CPANSec-2024 ) || See also Dependency, Integration"
"Dependency, Dynamic","","https://security.metacpan.org/docs/glossary.html#dependency-dynamic","Note FIXME: Expand on this topic || See also Dependency, Static"
"Dependency, Indirect","(CPANSec-2024) A dependency that is used during the author, build, test or deployment stages of a program, but is is not needed any more during runtime. Examples: Compilers, test harnesses, build tooling, editors, software packaging tooling, software repositories and publishing platforms.","https://security.metacpan.org/docs/glossary.html#dependency-indirect",""
