"task_id","group_id","group_name","practice_id","practice_text","task_text","ai_priority","ai_additions","informative_references"
"PO.1.1","PO","Prepare the Organization","PO.1","Define Security Requirements for Software Development (PO.1): Ensure that security requirements for software development are known at all times so that they can be taken into account throughout the software development life cycle (SDLC) and duplication of effort can be minimized because the requirements information can be collected once and shared. This includes requirements from internal sources (e.g., the organization's policies, business objectives, and risk management strategy) and external sources (e.g., applicable laws and regulations).","Identify and document all security requirements for the organization's software development infrastructures and processes, and maintain the requirements over time.","High","R1: Include AI model development in the security requirements for software development infrastructure and processes. R2: Identify and select appropriate AI model architectures and training techniques in accordance with recommended practices for cybersecurity, privacy, and reproducibility.",""
"PO.1.2","PO","Prepare the Organization","PO.1","Define Security Requirements for Software Development (PO.1): Ensure that security requirements for software development are known at all times so that they can be taken into account throughout the software development life cycle (SDLC) and duplication of effort can be minimized because the requirements information can be collected once and shared. This includes requirements from internal sources (e.g., the organization's policies, business objectives, and risk management strategy) and external sources (e.g., applicable laws and regulations).","Identify and document all security requirements for organization-developed software to meet, and maintain the requirements over time.","High","AI RMF: Govern 1.1, 1.2, 3.2, 4.1, 5.1, 6.1; Map 1.1 R1: Organizational policies should support all current requirements specific to AI model development security for organizationdeveloped software. These requirements should include the areas of AI model development, AI model operations, and data science. Requirements may come from many sources, including laws, regulations, contracts, and standards. C1: Consider reusing or expanding the organization's existing data classification policy and processes. N1: Possible forms of AI model documentation include data, model, and system cards.",""
"PO.1.3","PO","Prepare the Organization","PO.1","Define Security Requirements for Software Development (PO.1): Ensure that security requirements for software development are known at all times so that they can be taken into account throughout the software development life cycle (SDLC) and duplication of effort can be minimized because the requirements information can be collected once and shared. This includes requirements from internal sources (e.g., the organization's policies, business objectives, and risk management strategy) and external sources (e.g., applicable laws and regulations).","","Medium","R1: Include AI model development security in the requirements being communicated for third-party software components.","AI RMF: Map 4.1, 4.2 OWASP: LLM05-1 AI RMF: Govern 2.1 Informative"
"PO.2.1","PO","Prepare the Organization","PO.2","Implement Roles and Responsibilities (PO.2): Ensure that everyone inside and outside of the organization involved in the SDLC is prepared to perform their SDLC-related roles and responsibilities throughout the SDLC.","Create new roles and alter responsibilities for existing roles as needed to encompass all parts of the SDLC. Periodically review and maintain the defined roles and responsibilities, updating them as needed.","High","R1: Include AI model development security in SDLC-related roles and responsibilities throughout the SDLC. The roles and responsibilities should include, but are not limited to, AI model development, AI model operations, and data science. N1: Roles and responsibilities involving AI system producers, AI model producers, and other third-party providers can be documented in agreements. R1: Role-based training should include understanding cybersecurity vulnerabilities and threats to AI models and their possible mitigations.","AI RMF: Govern 2.2 OWASP: LLM04-7"
"PO.2.2","PO","Prepare the Organization","PO.2","Implement Roles and Responsibilities (PO.2): Ensure that everyone inside and outside of the organization involved in the SDLC is prepared to perform their SDLC-related roles and responsibilities throughout the SDLC.","Provide role-based training for all personnel with responsibilities that contribute to secure development. Periodically review personnel proficiency and role-based training, and update the training as needed.","Medium","R1: Leadership should commit to secure development practices involving AI models.","AI RMF: Govern 2.3"
"PO.2.3","PO","Prepare the Organization","PO.2","Implement Roles and Responsibilities (PO.2): Ensure that everyone inside and outside of the organization involved in the SDLC is prepared to perform their SDLC-related roles and responsibilities throughout the SDLC.","Obtain upper management or authorizing official commitment to secure development, and convey that commitment to all with developmentrelated roles and responsibilities.","","","AI RMF: Measure 2.1 OWASP: LLM08"
"PO.3.1","PO","Prepare the Organization","PO.3","Implement Supporting Toolchains (PO.3): Use automation to reduce human effort and improve the accuracy, reproducibility, usability, and comprehensiveness of security practices throughout the SDLC, as well as provide a way to document and demonstrate the use of these practices. Toolchains and tools may be used at different levels of the organization, such as organization-wide or project-specific, and may address a particular part of the SDLC, like a build pipeline.","Specify which tools or tool types must or should be included in each toolchain to mitigate identified risks, as well as how the toolchain components are to be integrated with each other.","High","R1: Plan to develop and implement automated toolchains that secure AI model development and reduce human effort, especially at the scale often used by AI models. N1: Ideally, automated toolchains will perform the vast majority of the work related to securing AI model development. N2: See PO.4, PO.5, PS, and PW for information on tool types.",""
"PO.3.2","PO","Prepare the Organization","PO.3","Implement Supporting Toolchains (PO.3): Use automation to reduce human effort and improve the accuracy, reproducibility, usability, and comprehensiveness of security practices throughout the SDLC, as well as provide a way to document and demonstrate the use of these practices. Toolchains and tools may be used at different levels of the organization, such as organization-wide or project-specific, and may address a particular part of the SDLC, like a build pipeline.","Follow recommended security practices to deploy, operate, and maintain tools and toolchains.","High","R1: Execute the plan to develop and implement automated toolchains that secure AI model development and reduce human effort, especially at the scale often used by AI models. R2: Verify the security of toolchains at a frequency commensurate with risk. Informative","AI RMF: Measure 2.1 OWASP: LLM05-3, LLM05-9, LLM08, LLM09"
"PO.3.3","PO","Prepare the Organization","PO.3","Implement Supporting Toolchains (PO.3): Use automation to reduce human effort and improve the accuracy, reproducibility, usability, and comprehensiveness of security practices throughout the SDLC, as well as provide a way to document and demonstrate the use of these practices. Toolchains and tools may be used at different levels of the organization, such as organization-wide or project-specific, and may address a particular part of the SDLC, like a build pipeline.","Configure tools to generate artifacts of their support of secure software development practices as defined by the organization. N1: An artifact is ""a piece of evidence"" [16]. Evidence is ""grounds for belief or disbelief; data on which to base proof or to establish truth or falsehood"" [17]. Artifacts provide records of secure software development practices. Examples of artifacts specific to AI model development include attestations of the integrity and provenance of training datasets.","","AI RMF: Measure 2.1",""
"PO.4.1","PO","Prepare the Organization","PO.4","Define and Use Criteria for Software Security Checks (PO.4): Help ensure that the software resulting from the SDLC meets the organization's expectations by defining and using criteria for checking the software's security during development.","Define criteria for software security checks and track throughout the SDLC. Medium","R1: Implement guardrails and other controls throughout the AI development life cycle, extending beyond the traditional SDLC. C1: Consider requiring review and approval from a human-in-the-loop for software security checks beyond risk-based thresholds.","AI RMF: Measure 2.3, 2.7; Manage 1.1 OWASP: LLM01-2",""
