term,definition,source_anchor,notes
Advanced Persistent Threat (APT),A prolonged and targeted cyberattack in which an intruder gains access to a network and remains undetected for an extended period.,https://www.atg.wa.gov/glossary-data-breach-terms#apt,
Adware,Software that automatically displays or downloads advertising material when a user is online.,https://www.atg.wa.gov/glossary-data-breach-terms#adware,
App,See: “ Software (Application Software) ”,https://www.atg.wa.gov/glossary-data-breach-terms#app,
Authentication,"The process for an individual, application , or service to provide the credentials required to access digital systems.",https://www.atg.wa.gov/glossary-data-breach-terms#authentication,
Backdoor,"A method of bypassing normal authentication in a computer system, often used to secure remote access to a computer or obtain access to unencrypted information while attempting to remain undetected.",https://www.atg.wa.gov/glossary-data-breach-terms#backdoor,
Botnet,"A network of private computers infected with malicious software and controlled as a group without the owners' knowledge, for example, to send spam messages.",https://www.atg.wa.gov/glossary-data-breach-terms#botnet,
Brute Force Attack,"A method used to gain access to encrypted data by cycling through every possible combination of letters, numbers, and symbols that could comprise a password until the correct one is found.",https://www.atg.wa.gov/glossary-data-breach-terms#brute_force_attack,
Code Injection,"The insertion of code into an application , changing the way it executes. Cyberattacks often use code injection to compromise the security of websites, applications and user devices. For example, injecting malicious code into an application that allows the attacker access to sensitive information .",https://www.atg.wa.gov/glossary-data-breach-terms#code_injection,
Command and Control (C2 or C&C) Server,"A server used by attackers to maintain communications with compromised systems within a target network , often to issue commands to malicious software and receive exfiltrated data.",https://www.atg.wa.gov/glossary-data-breach-terms#c2,
Cookies (Browser Cookies),"Text files with small pieces of data – like a username and password – that a web server sends to a user's browser while they are visiting a website. Cookies are intended to streamline a user’s web experience by remembering information about their last session – like their login information, items they intended to buy, and language preferences. Websites benefit as well by collecting information about user behavior, allowing for tracking of user trends and targeted advertising.",https://www.atg.wa.gov/glossary-data-breach-terms#cookies,
Credentials,"A set of unique identifiers – such as a username and password, facial recognition, or security question – that enables a user to verify their identity in order to log in to a device, application , or online account.",https://www.atg.wa.gov/glossary-data-breach-terms#credentials,
Credential Harvesting,"The act of collecting credentials from unsuspecting users, often through phishing or fake login pages.",https://www.atg.wa.gov/glossary-data-breach-terms#credential_harvesting,
Credential Stuffing,"A type of cyberattack where stolen account credentials , typically consisting of lists of usernames and/or email addresses and their corresponding passwords, are used to gain unauthorized access to user accounts through large-scale, automated login requests.",https://www.atg.wa.gov/glossary-data-breach-terms#credential_stuffing,
Cross-Site Scripting (XSS),"A security vulnerability where an attacker attaches malicious code onto a legitimate website that will execute when the victim loads the website. For example, loading a comprised webpage that executes a hidden script to copy and transmit the user’s cookies to a cybercriminal. Cybercriminals can then later use this data to impersonate the user on that website.",https://www.atg.wa.gov/glossary-data-breach-terms#xss,
Cyberattack,"An unauthorized attempt to access secured data, such as information stored on a server, using cyber technology. Common methods of cyberattacks include skimmers , spyware , phishing emails , and ransomware .",https://www.atg.wa.gov/glossary-data-breach-terms#cyberattack,
Cyber Hygiene,The practices and steps that users of computers and other devices take to maintain system health and improve online security.,https://www.atg.wa.gov/glossary-data-breach-terms#cyber_hygiene,
Cyber Insurance,"A type of insurance designed to help organizations recover from cyberattacks , including ransomware attacks . This can include coverage for ransom payments, data recovery, and business interruption.",https://www.atg.wa.gov/glossary-data-breach-terms#cyber_insurance,
Cybersquatting,"The practice of registering, trafficking in, or using an internet domain name, with a bad faith intent to profit from the goodwill of a trademark belonging to someone else. (Also known as domain squatting.)",https://www.atg.wa.gov/glossary-data-breach-terms#cybersquatting,
Data Breach,"An incident where confidential, sensitive, or protected data is accessed, disclosed, or used by an unauthorized person or entity.",https://www.atg.wa.gov/glossary-data-breach-terms#data_breach,
Data Broker,"A company or individual that aggregates information about people, and then licenses that information to other businesses and organizations for a profit.",https://www.atg.wa.gov/glossary-data-breach-terms#data_broker,
Data Exfiltration,The unauthorized transfer of data from a computer. This data theft is usually done over the internet or via email.,https://www.atg.wa.gov/glossary-data-breach-terms#data_exfiltration,
Data Leak,An event where sensitive data is accidentally or unintentionally exposed.,https://www.atg.wa.gov/glossary-data-breach-terms#data_leak,
Data Masking,"A technique used to protect sensitive data by making it difficult for unauthorized users to access or understand it. It involves changing the original values of data with realistic, fake versions that are still usable by authorized personnel.",https://www.atg.wa.gov/glossary-data-breach-terms#data_masking,
Decryption Key,A piece of information or tool used to convert encrypted data back into its original form. Ransomware attackers often demand payment in exchange for a decryption key.,https://www.atg.wa.gov/glossary-data-breach-terms#decryption_key,
Denial of Service (DoS) Attack,"An attack meant to shut down a machine or network by overwhelming the target with traffic, making it inaccessible to its intended users.",https://www.atg.wa.gov/glossary-data-breach-terms#dos,
Distributed Denial of Service (DDoS) Attack,A type of Denial of Service attack where multiple compromised systems are used to target a single system causing a denial of service.,https://www.atg.wa.gov/glossary-data-breach-terms#ddos,
Double Extortion,"A ransomware tactic where attackers not only encrypt the victim's data but also exfiltrate it, threatening to release the data publicly if the ransom is not paid.",https://www.atg.wa.gov/glossary-data-breach-terms#double_extortion,
Drive-by Download,"Unintentional download of malicious code to a computer or mobile device, often without any action from the user to prompt it. Common examples include visiting infected websites, clicking on deceptive links (See: “Scareware” ), or installing an otherwise legitimate piece of software that includes unwanted secondary applications that have been infected (also known as “bundleware”).",https://www.atg.wa.gov/glossary-data-breach-terms#drive-by_download,
Eavesdropping Attack,"Unauthorized interception of private communication, such as a phone call, instant message, videoconference, or email.",https://www.atg.wa.gov/glossary-data-breach-terms#eavesdropping_attack,
