"id","name","description","attack_reference","created_date","modified_date"
"AML.TA0000","AI Model Access","The adversary is attempting to gain some level of access to an AI model.

AI Model Access enables techniques that use various types of access to the AI model that can be used by the adversary to gain information, develop attacks, and as a means to input data to the model.
The level of access can range from the full knowledge of the internals of the model to access to the physical environment where data is collected for use in the AI model.
The adversary may use varying levels of model access during the course of their attack, from staging the attack to impacting the target system.

Access to an AI model may require access to the system housing the model, the model may be publicly accessible via an API, or it may be accessed indirectly via interaction with a product or service that utilizes AI as part of its processes.","","2021-05-13","2025-10-13"
"AML.TA0001","AI Attack Staging","The adversary is leveraging their knowledge of and access to the target system to tailor the attack.

AI Attack Staging consists of techniques adversaries use to prepare their attack on the target AI model.
Techniques can include training proxy models, poisoning the target model, and crafting adversarial data to feed the target model.
Some of these techniques can be performed in an offline manner and are thus difficult to mitigate.
These techniques are often used to achieve the adversary's end goal.","","2021-05-13","2025-04-09"
"AML.TA0002","Reconnaissance","The adversary is trying to gather information about the AI system they can use to plan future operations.

Reconnaissance consists of techniques that involve adversaries actively or passively gathering information that can be used to support targeting.
Such information may include details of the victim organizations' AI capabilities and research efforts.
This information can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as using gathered information to obtain relevant AI artifacts, targeting AI capabilities used by the victim, tailoring attacks to the particular models used by the victim, or to drive and lead further Reconnaissance efforts.","{'id': 'TA0043', 'url': 'https://attack.mitre.org/tactics/TA0043/'}","2022-01-24","2025-04-09"
"AML.TA0003","Resource Development","The adversary is trying to establish resources they can use to support operations.

Resource Development consists of techniques that involve adversaries creating,
purchasing, or compromising/stealing resources that can be used to support targeting.
Such resources include AI artifacts, infrastructure, accounts, or capabilities.
These resources can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as [AI Attack Staging](/tactics/AML.TA0001).","{'id': 'TA0042', 'url': 'https://attack.mitre.org/tactics/TA0042/'}","2022-01-24","2025-04-09"
"AML.TA0004","Initial Access","The adversary is trying to gain access to the AI system.

The target system could be a network, mobile device, or an edge device such as a sensor platform.
The AI capabilities used by the system could be local with onboard or cloud-enabled AI capabilities.

Initial Access consists of techniques that use various entry vectors to gain their initial foothold within the system.","{'id': 'TA0001', 'url': 'https://attack.mitre.org/tactics/TA0001/'}","2022-01-24","2025-04-09"
"AML.TA0005","Execution","The adversary is trying to run malicious code embedded in AI artifacts or software.

Execution consists of techniques that result in adversary-controlled code running on a local or remote system.
Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data.
For example, an adversary might use a remote access tool to run a PowerShell script that does [Remote System Discovery](https://attack.mitre.org/techniques/T1018/).","{'id': 'TA0002', 'url': 'https://attack.mitre.org/tactics/TA0002/'}","2022-01-24","2025-04-09"
"AML.TA0006","Persistence","The adversary is trying to maintain their foothold via AI artifacts or software.

Persistence consists of techniques that adversaries use to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access.
Techniques used for persistence often involve leaving behind modified ML artifacts such as poisoned training data or manipulated AI models.","{'id': 'TA0003', 'url': 'https://attack.mitre.org/tactics/TA0003/'}","2022-01-24","2025-04-09"
"AML.TA0007","Defense Evasion","The adversary is trying to avoid being detected by AI-enabled security software.

Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise.
Techniques used for defense evasion include evading AI-enabled security software such as malware detectors.","{'id': 'TA0005', 'url': 'https://attack.mitre.org/tactics/TA0005/'}","2022-01-24","2025-04-09"
"AML.TA0008","Discovery","The adversary is trying to figure out your AI environment.

Discovery consists of techniques an adversary may use to gain knowledge about the system and internal network.
These techniques help adversaries observe the environment and orient themselves before deciding how to act.
They also allow adversaries to explore what they can control and what's around their entry point in order to discover how it could benefit their current objective.
Native operating system tools are often used toward this post-compromise information-gathering objective.","{'id': 'TA0007', 'url': 'https://attack.mitre.org/tactics/TA0007/'}","2022-01-24","2025-04-09"
"AML.TA0009","Collection","The adversary is trying to gather AI artifacts and other related information relevant to their goal.

Collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversary's objectives.
Frequently, the next goal after collecting data is to steal (exfiltrate) the AI artifacts, or use the collected information to stage future operations.
Common target sources include software repositories, container registries, model repositories, and object stores.","{'id': 'TA0009', 'url': 'https://attack.mitre.org/tactics/TA0009/'}","2022-01-24","2025-04-09"
"AML.TA0010","Exfiltration","The adversary is trying to steal AI artifacts or other information about the AI system.

Exfiltration consists of techniques that adversaries may use to steal data from your network.
Data may be stolen for its valuable intellectual property, or for use in staging future operations.

Techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission.","{'id': 'TA0010', 'url': 'https://attack.mitre.org/tactics/TA0010/'}","2022-01-24","2025-04-09"
"AML.TA0011","Impact","The adversary is trying to manipulate, interrupt, erode confidence in, or destroy your AI systems and data.

Impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.
Techniques used for impact can include destroying or tampering with data.
In some cases, business processes can look fine, but may have been altered to benefit the adversaries' goals.
These techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach.","{'id': 'TA0040', 'url': 'https://attack.mitre.org/tactics/TA0040/'}","2022-01-24","2025-04-09"
"AML.TA0012","Privilege Escalation","The adversary is trying to gain higher-level permissions.

Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives. Common approaches are to take advantage of system weaknesses, misconfigurations, and vulnerabilities. Examples of elevated access include:
- SYSTEM/root level
- local administrator
- user account with admin-like access
- user accounts with access to specific system or perform specific function

These techniques often overlap with Persistence techniques, as OS features that let an adversary persist can execute in an elevated context.
","{'id': 'TA0004', 'url': 'https://attack.mitre.org/tactics/TA0004/'}","2023-10-25","2023-10-25"
"AML.TA0013","Credential Access","The adversary is trying to steal account names and passwords.

Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimate credentials can give adversaries access to systems, make them harder to detect, and provide the opportunity to create more accounts to help achieve their goals.
","{'id': 'TA0006', 'url': 'https://attack.mitre.org/tactics/TA0006/'}","2023-10-25","2023-10-25"
"AML.TA0014","Command and Control","The adversary is trying to communicate with compromised AI systems to control them.

Command and Control consists of techniques that adversaries may use to communicate with systems under their control within a victim network. Adversaries commonly attempt to mimic normal, expected traffic to avoid detection. There are many ways an adversary can establish command and control with various levels of stealth depending on the victim's network structure and defenses.","{'id': 'TA0011', 'url': 'https://attack.mitre.org/tactics/TA0011/'}","2024-04-11","2024-04-11"
"AML.TA0015","Lateral Movement","The adversary is trying to move through your AI environment.

Lateral Movement consists of techniques that adversaries may use to gain access to and control other systems or components in the environment. Adversaries may pivot towards AI Ops infrastructure such as model registries, experiment trackers, vector databases, notebooks, or training pipelines. As the adversary moves through the environment, they may discover means of accessing additional AI-related tools, services, or applications. AI agents may also be a valuable target as they commonly have more permissions than standard user accounts on the system.","{'id': 'TA0008', 'url': 'https://attack.mitre.org/tactics/TA0008/'}","2025-10-27","2025-11-05"
