Group,Group Title,Subgroup,Subgroup Title,ID,Title,Class,Modalverb,Handlungsworte,Statement,Guidance,Praezisierung,Ergebnis,Security Level,Effort Level,Tags,Target Objects,Documentation,Dependency
GCS,"Governance, Compliance & Scope",GCS.1,Stakeholder & Impact Scoping,GCS.1.1,Risikomanagementprozess verankern,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Risikomanagementprozess bestehend aus der Identifikation, Analyse, Bewertung nach Schwere, Eintrittswahrscheinlichkeit, Priorität und Unsicherheit, Minderung/Mitigation durch organisatorische Maßnahmen, Behandlung von Restrisiken, Überprüfung der Wirksamkeit der Mitigation/Minderung, Überprüfung der KI-Risiken sowie Dokumentation und adressatengerechte Offenlegung der Restrisiken an relevante Stakeholder verankern.","Anbieter: Ziel ist es, ein belastbares Risikomanagement über den gesamten Lebenszyklus sicherzustellen. Risiko-Eigentümer können Reviews mindestens jährlich und anlassbezogen durchführen. Ergänzend dazu ist es zweckmäßig, zusätzliche Bewertungsanforderungen zu dokumentieren und in die Risikobewertung zu integrieren; Änderungen wie neue Features, Modellanpassungen oder erneutes Training können einbezogen werden.

Betreiber: Ziel ist es, dass Risiken im Einsatzkontext fortlaufend adressiert werden. Dazu können Risiko-Eigentümer regelmäßige und anlassbezogene Reviews durchführen; Änderungen im Nutzungskontext wie Erweiterung des Zwecks oder veränderte Nutzergruppen können einbezogen werden. Ergänzend dazu können Anbieterinformationen zu Systemgrenzen, Performancefähigkeit und erneutem Training genutzt und zusätzliche regulatorische oder vertragliche Bewertungsanforderungen dokumentiert und integriert werden. Nachvollziehbare Nachweise der Bewertungen einschließlich Entscheidungen und Maßnahmen sind empfehlenswert.","bestehend aus der Identifikation, Analyse, Bewertung nach Schwere, Eintrittswahrscheinlichkeit, Priorität und Unsicherheit, Minderung/Mitigation durch organisatorische Maßnahmen, Behandlung von Restrisiken, Überprüfung der Wirksamkeit der Mitigation/Minderung, Überprüfung der KI-Risiken sowie Dokumentation und adressatengerechte Offenlegung der Restrisiken an relevante Stakeholder",Risikomanagementprozess,normal-SdT,3,Grundmodul; AIGOV; Anbieter; Betreiber,Richtlinien,KI-Risikoanalyse,
GCS,"Governance, Compliance & Scope",GCS.1,Stakeholder & Impact Scoping,GCS.1.2,Risikomanagementprozess für Rückverfolgbarkeitsrisiken,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Risikomanagementprozess für Risiken im Kontext einer mangelnden Rückverfolgbarkeit des KI-Systems verankern.","Anbieter: Ziel ist es, dass Risiken aus mangelnder Rückverfolgbarkeit fundiert verstanden und priorisiert werden, damit Wirksamkeit, Produktqualität und Verantwortlichkeit gesichert werden können. Dazu können Risiken und ihre Ursachen identifiziert und Risikoverantwortungen zugewiesen werden; relevante Risikoquellen können z. B. mangelndes Vertrauen von Nutzenden, unklare Rechenschaft, das Verschleiern von Verzerrungen oder Sicherheitsschwachstellen, die Nichteinhaltung regulatorischer Vorgaben sowie Interoperabilitätsprobleme umfassen. Der Verwendungszweck kann bei der Bewertung berücksichtigt werden. Ergänzend dazu können Ergebnisse und Annahmen nachvollziehbar dokumentiert werden.

Betreiber: Ziel ist es, dass die vom Anbieter bereitgestellte Dokumentation auf Vollständigkeit und Anwendbarkeit geprüft und eine eigene Risikoanalyse bezüglich der Rückverfolgbarkeit operativer Prozesse durchgeführt werden kann. Dazu kann die Identifikation von Lücken in der Anbieterdokumentation gehören sowie die Bewertung von Risiken, die durch unzureichende Protokollierung eigener Aktivitäten entstehen. Relevante Risikoquellen können z. B. eine erschwerte Beweisführung bei Audits, die Unfähigkeit zur Rekonstruktion von Systementscheidungen gegenüber Betroffenen, ineffiziente Fehlerbehebung oder mangelnde Nachvollziehbarkeit bei Konfigurationsänderungen umfassen. Ergänzend dazu können die Ergebnisse in die Etablierung eigener, kontextspezifischer Dokumentations- und Protokollierungspflichten für den Betrieb einfließen.",für Risiken im Kontext einer mangelnden Rückverfolgbarkeit des KI-Systems,Risikomanagementprozess,normal-SdT,2,Grundmodul; Accountability; Transparency; Anbieter; Betreiber,Richtlinien,KI-Risikoanalyse,019eb768-15e8-7690-87db-39daf2343a12
GCS,"Governance, Compliance & Scope",GCS.1,Stakeholder & Impact Scoping,GCS.1.3,Risikomanagementprozess für Erklärbarkeitsrisiken,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Risikomanagementprozess für Risiken im Kontext mangelnder Erklärbarkeit des KI-Systems verankern.","Anbieter: Ziel ist es, dass Risiken aus mangelnder Erklärbarkeit gezielt verstanden, bewertet und steuerbar gemacht werden, sodass Entwicklung, Qualitätssicherung und nachgelagerte Nutzung auf einer belastbaren Risikogrundlage erfolgen können. Dazu können relevante Risiken und ihre Ursachen identifiziert und Risikoverantwortungen zugewiesen werden; der konkrete Verwendungszweck kann berücksichtigt werden. Risikoquellen können z. B. mangelndes Vertrauen von Nutzenden, fehlendes Verständnis der Ausgaben oder fehlerhafte Entscheidungen aufgrund unzureichenden Verständnisses umfassen. Ergänzend dazu können Ergebnisse und Annahmen nachvollziehbar dokumentiert werden.

Betreiber: Ziel ist es, dass Risiken aus mangelnder Erklärbarkeit im konkreten Einsatzumfeld bewertet und gesteuert werden können, um Fehlentscheidungen und Vertrauensverlust zu vermeiden. Dazu kann die Übernahme und kontextspezifische Ergänzung der Anbieter-Risikoanalyse gehören; einsatzspezifische Risiken können identifiziert werden, z. B. unzureichendes Verständnis der Ausgaben bei den eigenen Nutzergruppen, fehlerhafte Entscheidungen aufgrund falsch interpretierter Ergebnisse oder mangelndes Vertrauen betroffener Personen. Ergänzend dazu können die Ergebnisse nachvollziehbar dokumentiert und in das betriebliche Risikomanagement überführt werden.",für Risiken im Kontext mangelnder Erklärbarkeit des KI-Systems,Risikomanagementprozess,normal-SdT,2,Grundmodul; Transparency; Anbieter; Betreiber,Richtlinien,KI-Risikoanalyse,019eb768-15e8-7690-87db-39daf2343a12
GCS,"Governance, Compliance & Scope",GCS.1,Stakeholder & Impact Scoping,GCS.1.4,Risikomanagementprozess für Human Agency & -Oversight-Risiken,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Risikomanagementprozess für Risiken im Zusammenhang mit Human Agency & Oversight verankern.","Anbieter: Ziel ist es, dass Risiken aus einer Einschränkung der Human Agency und einer unzureichenden Human Oversight systematisch erkannt, bewertet und dokumentiert werden, damit Produktqualität, Sicherheit und eine verantwortungsvolle Nutzung strukturiert abgesichert werden können. Dazu können Risiken und Ursachen identifiziert sowie Risikoverantwortungen zugewiesen werden; Risikoquellen können am Verwendungszweck ausgerichtet werden, u.a. beispielsweise Automation Bias und übermäßige Abhängigkeit, mangelnde Nachvollziehbarkeit von Entscheidungen, unklare Rechenschaft und Urheberschaft für Ausgaben, Vortäuschung menschlicher Züge, erhöhte Fehleranfälligkeit ohne menschliche Erkennung sowie fehlerhafte bzw. unsachgemäße Nutzung durch unzureichend qualifiziertes Personal. Ergänzend dazu können die Ergebnisse nachvollziehbar dokumentiert und fortgeschrieben werden.

Betreiber: Ziel ist es, dass Risiken aus der Einschränkung der Human Agency und der fehlenden Human Oversight im eigenen Einsatzkontext realistisch eingeschätzt, beherrscht und zielgerichtet gesteuert werden können sowie Verantwortlichkeiten klar verankert werden. Dazu kann die Anbieter-Risikoanalyse als Ausgangspunkt übernommen und für den konkreten Betrieb bewertet und ergänzt werden; einsatzspezifische Risiken können identifiziert werden, u.a. beispielsweise Automation Bias und übermäßige Abhängigkeit in den jeweiligen Nutzergruppen, unklare Rechenschaft in der eigenen Organisation, Vortäuschung menschlicher Züge oder unklare Urheberschaft, mangelnde Nachvollziehbarkeit für betroffene Personen, fehlende Erkennung von Fehlern im Betrieb sowie unsachgemäße Nutzung durch das konkrete Personal einschließlich Qualifikationsdefiziten. Ergänzend dazu können Ergebnisse dokumentiert, Verantwortlichkeiten zugewiesen und Maßnahmen zur Stärkung der menschlichen Handlungsfähigkeit (Human Agency) und Aufsicht (Human Oversight) abgeleitet werden.",für Risiken im Zusammenhang mit Human Agency & Oversight,Risikomanagementprozess,normal-SdT,2,Grundmodul; HAO; Anbieter; Betreiber,Richtlinien,KI-Risikoanalyse,019eb768-15e8-7690-87db-39daf2343a12
GCS,"Governance, Compliance & Scope",GCS.1,Stakeholder & Impact Scoping,GCS.1.5,Risikomanagementprozess für Performancerisiken,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Risikomanagementprozess für Risiken durch unzureichende Performance des KI-Systems verankern.","Anbieter: Ziel ist es, dass Risiken unzureichender Performance im Hinblick auf den vorgesehenen Verwendungszweck systematisch verstanden und adressierbar gemacht werden. Dazu können Risikoquellen berücksichtigt werden, z. B. fehlerhaftes Modelltraining, falsche Modellwahl sowie ungeeignete Optimierungs- und Validierungsstrategien; auch eine schlechte Auswahl von Metriken und Tests kann einbezogen werden. Grenzen im Training können adressiert werden, z. B. unzureichende Datenqualität oder -menge, unzureichende Validierungs- oder Testdaten und Overfitting. Darüber hinaus können Limitierungen durch Hardware bei Training und Inferenz sowie Risiken aus Änderungen der Systemzusammensetzung, insbesondere durch Neutraining oder Online-Learning, bewertet werden. Ergänzend dazu können Ergebnisse nachvollziehbar dokumentiert werden.

Betreiber: Ziel ist es, dass Risiken unzureichender Performance im konkreten Einsatzkontext realistisch eingeschätzt und gezielte Schutzmaßnahmen abgeleitet werden können. Dazu kann die Übernahme und kontextbezogene Ergänzung der Anbieteranalyse gehören; einsatzspezifische Risiken können identifiziert werden, z. B. abweichende Datenverteilungen in der Produktion, Hardware-Limitierungen der eigenen Infrastruktur, veränderte Nutzungsmuster oder Risiken durch Online-Learning im Einsatzumfeld. Abweichungen zu Anbieterannahmen können dokumentiert werden. Ergänzend dazu können Ergebnisse in das betriebliche Risiko- und Qualitätsmanagement überführt werden.",für Risiken durch unzureichende Performance des KI-Systems,Risikomanagementprozess,normal-SdT,2,Grundmodul; Performance; Anbieter; Betreiber,Richtlinien,KI-Risikoanalyse,019eb768-15e8-7690-87db-39daf2343a12
GCS,"Governance, Compliance & Scope",GCS.1,Stakeholder & Impact Scoping,GCS.1.6,Risikomanagementprozess für Robustnessrisiken,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Risikomanagementprozess für Risiken durch unzureichende Robustness des KI-Systems verankern.","Anbieter: Ziel ist es, dass Risiken aus Fehlfunktionen oder Ausfällen frühzeitig verstanden und priorisiert werden, um gezielte Schutz- und Qualitätsmaßnahmen ableiten zu können. Dazu können Risikoquellen berücksichtigt werden, z. B. unzureichende Robustness, Kritikalität von Verwendungszweck und Anwendungsbereich, funktionale Gründe für (Teil-)Ausfälle, missbräuchliche Nutzung außerhalb des Verwendungszwecks sowie Input-/Output-Schnittstellen. Die möglichen Folgen für Grundrechte sowie Eigentum und Sachen können dargestellt werden. Ergänzend dazu können Ergebnisse nachvollziehbar dokumentiert und fortgeschrieben werden.

Betreiber: Ziel ist es, dass Risiken aus Fehlfunktionen oder Ausfällen im konkreten Einsatzumfeld bewertet, ergänzt und wirksam in Betrieb und Vorsorge überführt werden können. Dazu kann die Überprüfung der Anbieteranalyse auf Kontextpassung gehören; einsatzspezifische Risiken können identifiziert werden, z. B. Kritikalität im konkreten Anwendungsbereich, potenzielle Schäden an Grundrechten sowie Eigentum und Sachen, Wahrscheinlichkeit fehlerhafter oder missbräuchlicher Nutzung durch das konkrete Personal sowie Risiken aus angebundenen Systemkomponenten. Ergänzend dazu können Abweichungen zu Anbieterannahmen dokumentiert und Ergebnisse in Risiko- und Notfallmanagement überführt werden.",für Risiken durch unzureichende Robustness des KI-Systems,Risikomanagementprozess,normal-SdT,2,Grundmodul; Robustness; Anbieter; Betreiber,Richtlinien,KI-Risikoanalyse,019eb768-15e8-7690-87db-39daf2343a12
GCS,"Governance, Compliance & Scope",GCS.1,Stakeholder & Impact Scoping,GCS.1.7,Risikomanagementprozess für Biasrisiken,requirement,SOLLTE,verankern,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Risikomanagementprozess für Biasrisiken im Zusammenhang mit dem beabsichtigten Zweck des KI-Systems verankern.","Anbieter: Ziel ist es, dass Biasrisiken systematisch erkannt, bewertet und priorisiert werden, sodass wirksame Minderungsmaßnahmen frühzeitig geplant und nachgelagerte Akteure fundiert informiert werden können. Dazu können wesentliche Risikoquellen unter Beachtung des Verwendungszwecks berücksichtigt werden, z. B. historische Verzerrungen, Stichproben- und Modellverzerrungen, Attributionsfehler oder impliziter Bias; dies umfasst auch Nutzerinteraktionen, Bestätigungsfehler, Missinterpretationen von Ergebnissen, unzureichende Berücksichtigung relevanter Nutzergruppen und Benachteiligungen geschützter Gruppen. Risiken können strukturiert abgestuft, priorisiert und Risikoverantwortungen zugewiesen werden. Ergänzend dazu können Ergebnisse nachvollziehbar dokumentiert und für nachgelagerte Akteure bereitgestellt werden. Weiterführende Informationen zu Bias in dem Kontext des Kataloges können Veröffentlichungen des BSI, bspw. Bias in der künstlichen Intelligenz, entnommen werden.

Betreiber: Ziel ist es, dass Biasrisiken im konkreten Einsatzkontext verlässlich adressiert und im Rahmen einer Grundrechte-Folgenabschätzung (FRIA) dokumentiert werden können. Dazu kann die kontextbezogene Ergänzung der vom Anbieter dokumentierten Risikoanalyse gehören; einsatzspezifische geschützte Gruppen und zusätzliche Biasrisiken können identifiziert werden. Kontextspezifische Quellen können berücksichtigt werden, z. B. veränderte Nutzergruppen, kulturelle oder regionale Besonderheiten sowie einsatzspezifische Auswirkungen auf betroffene Personen. Eigenmächtige Erweiterungen des Verwendungszwecks können vermieden und bei Bedarf eine Abstimmung mit dem Anbieter herbeigeführt werden. Ergänzend dazu können die Ergebnisse nachvollziehbar dokumentiert, in das betriebliche Risikomanagement überführt und – wo anwendbar – als Teil der FRIA bereitgehalten werden. Weiterführende Informationen zu Bias in dem Kontext des Kataloges können Veröffentlichungen des BSI, bspw. Bias in der künstlichen Intelligenz, entnommen werden.",für Biasrisiken im Zusammenhang mit dem beabsichtigten Zweck des KI-Systems,Risikomanagementprozess,normal-SdT,2,Grundmodul; Bias; Anbieter; Betreiber,Richtlinien,KI-Risikoanalyse,019eb768-15e8-7690-87db-39daf2343a12
GCS,"Governance, Compliance & Scope",GCS.1,Stakeholder & Impact Scoping,GCS.1.8,Nachweis der Vertrauenswürdigkeit der zugrundeliegenden Infrastruktur- und KI-System-Komponenten dokumentieren,requirement,SOLLTE,dokumentieren,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Nachweis der Vertrauenswürdigkeit der zugrundeliegenden Infrastruktur- und KI-System-Komponenten urch Bereitstellung eines anerkannten Compliance-Nachweises (C5-Testat), der mindestens einen Geltungsbereich, der die für das KI-System relevante Infrastruktur und Komponenten abdeckt, die Berücksichtigung der relevanten Risikodimensionen, einen Abdeckungszeitraum, der den vollständigen Bewertungszeitraum umfasst (alternativ ein Bridge Letter für die Lücke), die Durchführung durch qualifiziertes und unabhängiges Personal, eine klare Beschreibung der durchgeführten Testverfahren mit dem Nachweis, dass keine kritischen sicherheitsrelevanten Probleme oder Anomalien festgestellt wurden, die Bereitstellung vor dem maßgeblichen Stichtag sowie ein Änderungsmanagement, das Auswirkungen von Änderungen an Infrastruktur- bzw. KI-System-Komponenten bewertet und festgestellte Probleme zeitnah durch angemessene Minderungsmaßnahmen nachverfolgt, erfüllt dokumentieren.","Anbieter: Ziel ist es, dass die Vertrauenswürdigkeit der zugrundeliegenden Infrastruktur und Komponenten des KI-Systems durch einen anerkannten Compliance-Nachweis belegt wird, sodass die infrastrukturelle Eignung als Grundlage für den sicheren Betrieb des KI-Systems gegeben ist. Dazu kann ein anerkanntes Testat bzw. ein anerkannter Prüfbericht (C5) bereitgestellt werden, dessen Geltungsbereich die für das KI-System relevante Infrastruktur, Plattform- und Systemkomponenten abdeckt und die relevanten Risikodimensionen berücksichtigt. Der Abdeckungszeitraum kann den vollständigen Bewertungszeitraum umfassen; andernfalls ist ein Bridge Letter für die Lücke zweckmäßig. Die Prüfung kann durch qualifiziertes und unabhängiges Personal erfolgen; die durchgeführten Testverfahren können klar dokumentiert werden und belegen, dass keine kritischen sicherheitsrelevanten Probleme oder Anomalien festgestellt wurden. Ergänzend dazu kann der Nachweis rechtzeitig vor dem maßgeblichen Stichtag bereitgestellt werden; Auswirkungen von Änderungen an Infrastruktur- oder KI-System-Komponenten können bewertet und festgestellte Probleme zeitnah durch angemessene Minderungsmaßnahmen nachverfolgt werden.","urch Bereitstellung eines anerkannten Compliance-Nachweises (C5-Testat), der mindestens einen Geltungsbereich, der die für das KI-System relevante Infrastruktur und Komponenten abdeckt, die Berücksichtigung der relevanten Risikodimensionen, einen Abdeckungszeitraum, der den vollständigen Bewertungszeitraum umfasst (alternativ ein Bridge Letter für die Lücke), die Durchführung durch qualifiziertes und unabhängiges Personal, eine klare Beschreibung der durchgeführten Testverfahren mit dem Nachweis, dass keine kritischen sicherheitsrelevanten Probleme oder Anomalien festgestellt wurden, die Bereitstellung vor dem maßgeblichen Stichtag sowie ein Änderungsmanagement, das Auswirkungen von Änderungen an Infrastruktur- bzw. KI-System-Komponenten bewertet und festgestellte Probleme zeitnah durch angemessene Minderungsmaßnahmen nachverfolgt, erfüllt",Nachweis der Vertrauenswürdigkeit der zugrundeliegenden Infrastruktur- und KI-System-Komponenten,normal-SdT,3,Cloudmodul; Anbieter,Richtlinien,Cloud Policy,
GCS,"Governance, Compliance & Scope",GCS.2,"Governance, Rollen & Policies festlegen",GCS.2.1,Risikomanagementrichtlinien dokumentieren,requirement,SOLLTE,dokumentieren,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Richtlinie und Anweisungen für Risikomanagementverfahren bestehend aus Geltungsbereich und Geschäftsbezug, Rollen und Verantwortlichkeiten einschließlich Risiko-Eigentümerschaft, Risikokategorien und Szenarien, Bewertungsmethodik mit Risikomatrix, Erkennungsmaßnahmen und deren Erfolgsraten, Kriterien für die Akzeptanz von Restrisiken sowie Vorgaben zu Kommunikation und regelmäßiger Überprüfung der Richtlinie dokumentieren.","Anbieter: Ziel ist es, eine konsistente normative Grundlage für Risikoentscheidungen zu schaffen und nachgelagerte Akteure zu befähigen. Dazu können der Geltungsbereich mit risikobezogener Einordnung zum Geschäfts- und Aufgabenbezug sowie Kriterien für die Zuweisung eines qualifizierten Risiko-Eigentümers festgelegt werden; die Richtlinie kann Risikoszenarien mit Bedrohungen und Ursachen als methodischen Rahmen vorgeben. Bewertungsmethoden für Eintrittswahrscheinlichkeit und Auswirkung einschließlich Risikomatrix sowie Vorgaben zu Erkennungsmaßnahmen mit Erfolgsraten sind zweckmäßig. Ergänzend dazu können Kriterien für die Autorisierung und Akzeptanz von Restrisiken, Schlussfolgerungen zu Minderungsmechanismen und deren Einfluss auf Risikoniveaus sowie Vorgaben zur Kommunikation adressiert werden; eine mindestens jährliche Überprüfung der Richtlinie ist empfehlenswert.

Betreiber: Ziel ist es, dass eine organisationsspezifische Richtlinie den Rahmen für das betriebliche Risikomanagement im Einsatzkontext verbindlich vorgibt. Dazu können die vom Anbieter bereitgestellten Risikoinformationen als Grundlage herangezogen und um einsatzspezifische Geltungsbereiche, Szenarien und Bedrohungen ergänzt werden; Kriterien für die Benennung eines qualifizierten Risiko-Eigentümers können festgelegt werden. Bewertungsmethoden und Risikomatrix können auf den Betriebskontext angepasst, Vorgaben für Erkennungsmaßnahmen und Akzeptanzkriterien für Restrisiken definiert werden. Ergänzend dazu können Kommunikationswege, Berichtspflichten an das Management sowie eine regelmäßige Überprüfung der Richtlinie bei veränderten Einsatzbedingungen vorgesehen werden.","für Risikomanagementverfahren bestehend aus Geltungsbereich und Geschäftsbezug, Rollen und Verantwortlichkeiten einschließlich Risiko-Eigentümerschaft, Risikokategorien und Szenarien, Bewertungsmethodik mit Risikomatrix, Erkennungsmaßnahmen und deren Erfolgsraten, Kriterien für die Akzeptanz von Restrisiken sowie Vorgaben zu Kommunikation und regelmäßiger Überprüfung der Richtlinie",Richtlinie und Anweisungen,normal-SdT,1,Grundmodul; AIGOV; Anbieter; Betreiber,Richtlinien,Richtlinie zur Risikoanalyse,
GCS,"Governance, Compliance & Scope",GCS.2,"Governance, Rollen & Policies festlegen",GCS.2.2,Entwicklungsrichtlinien dokumentieren,requirement,SOLLTE,dokumentieren,"Governance, Compliance & Scope fuer Richtlinien SOLLTE Richtlinie und Anweisungen für den Entwicklungsprozess des KI-Systems bestehend aus mindestens Anforderungen an Trainingsmaterial (Datensätze, für das Training benötigte Leitfäden), Systemrobustness, Entwurf, Entwicklung, Auslieferung, Verifikation (z. B. Anwendungstests, Code-Reviews), Validierung, relevanten Teilsystemen sowie Prüf- und Freigabeverfahren durch das Management dokumentieren.","Anbieter: Ziel ist es, dass die Vorgaben für die Entwicklung des Systems transparent festgehalten sind und so zum einen im Nachgang nachvollziehbar sind, als auch zukünftig konsistent als Grundlage für weitere Entwicklungen genutzt werden können. Dazu kann der Dokumentationsumfang Anforderungen an Trainingsmaterial, z.B. Datensätze und Leitfäden, Aspekte der Systemrobustness sowie Phasen wie Entwurf, Entwicklung und Auslieferung enthalten. Darunter fallen auch Anweisungen zu Prüfaktivitäten wie Verifikation, z.B. Anwendungstests und Code-Reviews, und Validierung sowie die Berücksichtigung relevanter Teilsysteme. Ergänzend können Review- und Freigabeverfahren durch das Management definiert werden, etwa als Sign-off vor wesentlichen Entwicklungsschritten oder vor der Auslieferung. Klare Zuständigkeiten, Versionierung und Änderungsverfolgung unterstützen den Sinn und Zweck der Dokumentation.","für den Entwicklungsprozess des KI-Systems bestehend aus mindestens Anforderungen an Trainingsmaterial (Datensätze, für das Training benötigte Leitfäden), Systemrobustness, Entwurf, Entwicklung, Auslieferung, Verifikation (z. B. Anwendungstests, Code-Reviews), Validierung, relevanten Teilsystemen sowie Prüf- und Freigabeverfahren durch das Management",Richtlinie und Anweisungen,normal-SdT,2,Grundmodul; AIGOV; Anbieter,Richtlinien,Modellkarte,
