"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AC-2","Account Management","false","","LI-SaaS","LI-SaaS","a. Define and document the types of accounts allowed and specifically prohibited for use within the system;

    b. [Excluded from FedRAMP Tailored for LI-SaaS]

    c. [Excluded from FedRAMP Tailored for LI-SaaS]

    d. [Excluded from FedRAMP Tailored for LI-SaaS]

        1. [Excluded from FedRAMP Tailored for LI-SaaS]

        2. [Excluded from FedRAMP Tailored for LI-SaaS]

        3. [Excluded from FedRAMP Tailored for LI-SaaS]

    e. [Excluded from FedRAMP Tailored for LI-SaaS]

f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];

    g. Monitor the use of accounts;

h. Notify account managers and [Assignment: organization-defined personnel or roles] within:

1. [Assignment: organization-defined time period] when accounts are no longer required;

**AC-2 (h) (1) Additional FedRAMP Requirements and Guidance: **[twenty-four (24) hours]

2. [Assignment: organization-defined time period] when users are terminated or transferred; and

**AC-2 (h) (2) Additional FedRAMP Requirements and Guidance: **[eight (8) hours]

3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;

**AC-2 (h) (3) Additional FedRAMP Requirements and Guidance: **[eight (8) hours]

    i. [Excluded from FedRAMP Tailored for LI-SaaS]

        1. [Excluded from FedRAMP Tailored for LI-SaaS]

        2. [Excluded from FedRAMP Tailored for LI-SaaS]

        3. [Excluded from FedRAMP Tailored for LI-SaaS]

    j. [Excluded from FedRAMP Tailored for LI-SaaS]

    k. [Excluded from FedRAMP Tailored for LI-SaaS]

    l. [Excluded from FedRAMP Tailored for LI-SaaS]","twenty-four (24) hours
eight (8) hours
eight (8) hours"
"AC-3","Access Enforcement","false","","LI-SaaS","LI-SaaS","Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.",""
"AC-7","Unsuccessful Logon Attempts","false","","LI-SaaS","LI-SaaS","a. Enforce a limit of [Assignment: organization-defined number] consecutive invalid log-on attempts by a user during a [Assignment: organization-defined time period]; and

b. Automatically [Assignment: lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded.

**AC-7 (a and b) Requirement: In alignment with NIST SP 800-63B**",""
"AC-17","Remote Access","false","","LI-SaaS","LI-SaaS","a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and

b. Authorize each type of remote access to the system prior to allowing such connections.",""
"AC-22","Publicly Accessible Content","false","","LI-SaaS","LI-SaaS","a. Designate individuals authorized to make information publicly accessible;

b. Train authorized individuals to ensure that publicly accessible information does not contain nonpublic information;

c. Review the proposed content of information prior to posting onto the publicly accessible system to ensure that nonpublic information is not included; and

d. Review the content on the publicly accessible system for nonpublic information [Assignment: organization-defined frequency] and remove such information, if discovered.

<a id=""_heading=h.3rdcrjn""></a>**AC-22 (d) Additional FedRAMP Requirements and Guidance: **[at least quarterly]","at least quarterly"
"AU-3","Content of Audit Records","false","","LI-SaaS","LI-SaaS","Ensure that audit records contain information that establishes the following:

    a. What type of event occurred;

    b. When the event occurred;

    c. Where the event occurred;

    d. Source of the event;

    e. Outcome of the event; and

f. Identity of any individuals, subjects, or objects/entities associated with the event.",""
"AU-5","Response to Audit Logging Process Failures","false","","LI-SaaS","LI-SaaS","a. Alert [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined personnel or roles] in the event of an audit logging process failure; and [Assignment: organization-defined time period]

b. Take the following additional actions: [Assignment: organization-defined additional actions].

**AU-5 (b) Additional FedRAMP Requirements and Guidance: **[overwrite oldest record]","overwrite oldest record"
"AU-6","Audit Record Review, Analysis, and Reporting","false","","LI-SaaS","LI-SaaS","a. Review and analyze system audit records [Assignment: organization-defined frequency] for indications of [Assignment: organization-defined frequency] and the potential impact of the inappropriate or unusual activity; [Assignment: organization-defined inappropriate or unusual activity]

**AU-6 (a)-1 Additional FedRAMP Requirements and Guidance: **[at least weekly]

__AU-6 (a)-1 Additional FedRAMP Requirements and Guidance: __Coordination between service provider and consumer shall be documented and accepted by the JAB/AO. In multi-tenant environments, capability and means for providing review, analysis, and reporting to consumer for data pertaining to consumer shall be documented.

b. Report findings to [Assignment: organization-defined personnel or roles]; and

c. Adjust the level of audit record review, analysis, and reporting within the system when there is a change in risk based on law enforcement information, intelligence information, or other credible sources of information.","at least weekly"
"CA-2","Control Assessments","false","","LI-SaaS","LI-SaaS","a. Select the appropriate assessor or assessment team for the type of assessment to be conducted;

b. Develop a control assessment plan that describes the scope of the assessment including:

1. Controls and control enhancements under assessment;

2. Assessment procedures to be used to determine control effectiveness; and

3. Assessment environment, assessment team, and assessment roles and responsibilities;

c. Ensure the control assessment plan is reviewed and approved by the authorizing official or designated representative prior to conducting the assessment;

d. Assess the controls in the system and its environment of operation [Assignment: organization-defined frequency] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security and privacy

**CA-2 (d) Additional FedRAMP Requirements and Guidance: **[at least annually]

e. Produce a control assessment report that document the results of the assessment; and

f. Provide the results of the control assessment to [Assignment: organization-defined individuals or roles].

**CA-2 (f) Additional FedRAMP Requirements and Guidance: **[individuals or roles to include FedRAMP PMO]

__CA-2 Additional FedRAMP Requirements and Guidance: __Reference FedRAMP Annual Assessment Guidance.","at least annually
individuals or roles to include FedRAMP PMO"
"CA-3","Information Exchange (Conditional)","false","","LI-SaaS","LI-SaaS","a. Approve and manage the exchange of information between the system and other systems using [Assignment: interconnection security agreements; information exchange security agreements; memoranda of understanding or agreement; service level agreements; user agreements; nondisclosure agreements];

b. Document, as part of each exchange agreement, the interface characteristics, security and privacy requirements, controls, and responsibilities for each system, and the impact level of the information communicated; and

c. Review and update the agreements [Assignment: organization-defined frequency].

**CA-3 (c) Additional FedRAMP Requirements and Guidance: **[at least annually and on input from JAB/AO]","at least annually and on input from JAB/AO"
