control_id,control_title,safeguard_id,safeguard_title,asset_type,security_function,ig1,ig2,ig3,description
1,Inventory and Control of Enterprise Assets,1.1,Establish and Maintain Detailed Enterprise Asset Inventory,Devices,Identify,x,x,x,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently."
1,Inventory and Control of Enterprise Assets,1.2,Address Unauthorized Assets,Devices,Respond,x,x,x,"Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset."
1,Inventory and Control of Enterprise Assets,1.3,Utilize an Active Discovery Tool,Devices,Detect,,x,x,"Utilize an active discovery tool to identify assets connected to the enterprise’s network. Configure the active discovery tool to execute daily, or more frequently."
1,Inventory and Control of Enterprise Assets,1.4,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,Devices,Identify,,x,x,"Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise’s asset inventory. Review and use logs to update the enterprise’s asset inventory weekly, or more frequently."
1,Inventory and Control of Enterprise Assets,1.5,Use a Passive Asset Discovery Tool,Devices,Detect,,,x,"Use a passive discovery tool to identify assets connected to the enterprise’s network. Review and use scans to update the enterprise’s asset inventory at least weekly, or more frequently."
2,Inventory and Control of Software Assets,2.1,Establish and Maintain a Software Inventory,Applications,Identify,x,x,x,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, and decommission date. Review and update the software inventory bi-annually, or more frequently."
2,Inventory and Control of Software Assets,2.2,Ensure Authorized Software is Currently Supported,Applications,Identify,x,x,x,"Ensure that only currently supported software is designated as authorized in the software inventory for enterprise assets. If software is unsupported, yet necessary for the fulfillment of the enterprise’s mission, document an exception detailing mitigating controls and residual risk acceptance. For any unsupported software without an exception documentation, designate as unauthorized. Review the software list to verify software support at least monthly, or more frequently."
2,Inventory and Control of Software Assets,2.3,Address Unauthorized Software,Applications,Respond,x,x,x,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently."
2,Inventory and Control of Software Assets,2.4,Utilize Automated Software Inventory Tools,Applications,Detect,,x,x,"Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software."
2,Inventory and Control of Software Assets,2.5,Allowlist Authorized Software,Applications,Protect,,x,x,"Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently."
2,Inventory and Control of Software Assets,2.6,Allowlist Authorized Libraries,Applications,Protect,,x,x,"Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx, .so, etc., files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently."
2,Inventory and Control of Software Assets,2.7,Allowlist Authorized Scripts,Applications,Protect,,,x,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, .py, etc., files, are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently."
3,Data Protection,3.1,Establish and Maintain a Data Management Process,Data,Identify,x,x,x,"Establish and maintain a data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
3,Data Protection,3.2,Establish and Maintain a Data Inventory,Data,Identify,x,x,x,"Establish and maintain a data inventory, based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data."
3,Data Protection,3.3,Configure Data Access Control Lists,Data,Protect,x,x,x,"Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications."
3,Data Protection,3.4,Enforce Data Retention,Data,Protect,x,x,x,Retain data according to the enterprise’s data management process. Data retention must include both minimum and maximum timelines.
3,Data Protection,3.5,Securely Dispose of Data,Data,Protect,x,x,x,Securely dispose of data as outlined in the enterprise’s data management process. Ensure the disposal process and method are commensurate with the data sensitivity.
3,Data Protection,3.6,Encrypt Data on End-User Devices,Devices,Protect,x,x,x,"Encrypt data on end-user devices containing sensitive data. Example implementations can include: Windows BitLocker®, Apple FileVault®, Linux® dm-crypt."
3,Data Protection,3.7,Establish and Maintain a Data Classification Scheme,Data,Identify,,x,x,"Establish and maintain an overall data classification scheme for the enterprise. Enterprises may use labels, such as “Sensitive,” “Confidential,” and “Public,” and classify their data according to those labels. Review and update the classification scheme annually, or when significant enterprise changes occur that could impact this Safeguard."
3,Data Protection,3.8,Document Data Flows,Data,Identify,,x,x,"Document data flows. Data flow documentation includes service provider data flows and should be based on the enterprise’s data management process. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
3,Data Protection,3.9,Encrypt Data on Removable Media,Data,Protect,,x,x,Encrypt data on removable media.
3,Data Protection,3.10,Encrypt Sensitive Data in Transit,Data,Protect,,x,x,Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).
3,Data Protection,3.11,Encrypt Sensitive Data at Rest,Data,Protect,,x,x,"Encrypt sensitive data at rest on servers, applications, and databases containing sensitive data. Storage-layer encryption, also known as server-side encryption, meets the minimum requirement of this Safeguard. Additional encryption methods may include application-layer encryption, also known as client-side encryption, where access to the data storage device(s) does not permit access to the plain-text data."
3,Data Protection,3.12,Segment Data Processing and Storage Based on Sensitivity,Network,Protect,,x,x,Segment data processing and storage based on the sensitivity of the data. Do not process sensitive data on enterprise assets intended for lower sensitivity data.
3,Data Protection,3.13,Deploy a Data Loss Prevention Solution,Data,Protect,,,x,"Implement an automated tool, such as a host-based Data Loss Prevention (DLP) tool to identify all sensitive data stored, processed, or transmitted through enterprise assets, including those located onsite or at a remote service provider, and update the enterprise's sensitive data inventory."
3,Data Protection,3.14,Log Sensitive Data Access,Data,Detect,,,x,"Log sensitive data access, including modification and disposal."
4,Secure Configuration of Enterprise Assets and Software,4.1,Establish and Maintain a Secure Configuration Process,Applications,Protect,x,x,x,"Establish and maintain a secure configuration process for enterprise assets (end-user devices, including portable and mobile, non-computing/IoT devices, and servers) and software (operating systems and applications). Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
4,Secure Configuration of Enterprise Assets and Software,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,Network,Protect,x,x,x,"Establish and maintain a secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
4,Secure Configuration of Enterprise Assets and Software,4.3,Configure Automatic Session Locking on Enterprise Assets,Users,Protect,x,x,x,"Configure automatic session locking on enterprise assets after a defined period of inactivity. For general purpose operating systems, the period must not exceed 15 minutes. For mobile end-user devices, the period must not exceed 2 minutes."
4,Secure Configuration of Enterprise Assets and Software,4.4,Implement and Manage a Firewall on Servers,Devices,Protect,x,x,x,"Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent."
4,Secure Configuration of Enterprise Assets and Software,4.5,Implement and Manage a Firewall on End-User Devices,Devices,Protect,x,x,x,"Implement and manage a host-based firewall or port-filtering tool on end-user devices, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed."
4,Secure Configuration of Enterprise Assets and Software,4.6,Securely Manage Enterprise Assets and Software,Network,Protect,x,x,x,"Securely manage enterprise assets and software. Example implementations include managing configuration through version-controlled-infrastructure-as-code and accessing administrative interfaces over secure network protocols, such as Secure Shell (SSH) and Hypertext Transfer Protocol Secure (HTTPS). Do not use insecure management protocols, such as Telnet (Teletype Network) and HTTP, unless operationally essential."
4,Secure Configuration of Enterprise Assets and Software,4.7,Manage Default Accounts on Enterprise Assets and Software,Users,Protect,x,x,x,"Manage default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts. Example implementations can include: disabling default accounts or making them unusable."
4,Secure Configuration of Enterprise Assets and Software,4.8,Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,Devices,Protect,,x,x,"Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function."
4,Secure Configuration of Enterprise Assets and Software,4.9,Configure Trusted DNS Servers on Enterprise Assets,Devices,Protect,,x,x,Configure trusted DNS servers on enterprise assets. Example implementations include: configuring assets to use enterprise-controlled DNS servers and/or reputable externally accessible DNS servers.
4,Secure Configuration of Enterprise Assets and Software,4.10,Enforce Automatic Device Lockout on Portable End-User Devices,Devices,Respond,,x,x,"Enforce automatic device lockout following a predetermined threshold of local failed authentication attempts on portable end-user devices, where supported. For laptops, do not allow more than 20 failed authentication attempts; for tablets and smartphones, no more than 10 failed authentication attempts. Example implementations include Microsoft® InTune Device Lock and Apple® Configuration Profile maxFailedAttempts."
4,Secure Configuration of Enterprise Assets and Software,4.11,Enforce Remote Wipe Capability on Portable End-User Devices,Devices,Protect,,x,x,"Remotely wipe enterprise data from enterprise-owned portable end-user devices when deemed appropriate such as lost or stolen devices, or when an individual no longer supports the enterprise."
4,Secure Configuration of Enterprise Assets and Software,4.12,Separate Enterprise Workspaces on Mobile End-User Devices,Devices,Protect,,,x,"Ensure separate enterprise workspaces are used on mobile end-user devices, where supported. Example implementations include using an Apple® Configuration Profile or Android™ Work Profile to separate enterprise applications and data from personal applications and data."
5,Account Management,5.1,Establish and Maintain an Inventory of Accounts,Users,Identify,x,x,x,"Establish and maintain an inventory of all accounts managed in the enterprise. The inventory must include both user and administrator accounts. The inventory, at a minimum, should contain the person’s name, username, start/stop dates, and department. Validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently."
5,Account Management,5.2,Use Unique Passwords,Users,Protect,x,x,x,"Use unique passwords for all enterprise assets. Best practice implementation includes, at a minimum, an 8-character password for accounts using MFA and a 14-character password for accounts not using MFA."
5,Account Management,5.3,Disable Dormant Accounts,Users,Respond,x,x,x,"Delete or disable any dormant accounts after a period of 45 days of inactivity, where supported."
5,Account Management,5.4,Restrict Administrator Privileges to Dedicated Administrator Accounts,Users,Protect,x,x,x,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing, email, and productivity suite use, from the user’s primary, non-privileged account."
5,Account Management,5.5,Establish and Maintain an Inventory of Service Accounts,Users,Identify,,x,x,"Establish and maintain an inventory of service accounts. The inventory, at a minimum, must contain department owner, review date, and purpose. Perform service account reviews to validate that all active accounts are authorized, on a recurring schedule at a minimum quarterly, or more frequently."
5,Account Management,5.6,Centralize Account Management,Users,Protect,,x,x,Centralize account management through a directory or identity service.
6,Access Control Management,6.1,Establish an Access Granting Process,Users,Protect,x,x,x,"Establish and follow a process, preferably automated, for granting access to enterprise assets upon new hire, rights grant, or role change of a user."
6,Access Control Management,6.2,Establish an Access Revoking Process,Users,Protect,x,x,x,"Establish and follow a process, preferably automated, for revoking access to enterprise assets, through disabling accounts immediately upon termination, rights revocation, or role change of a user. Disabling accounts, instead of deleting accounts, may be necessary to preserve audit trails."
6,Access Control Management,6.3,Require MFA for Externally-Exposed Applications,Users,Protect,x,x,x,"Require all externally-exposed enterprise or third-party applications to enforce MFA, where supported. Enforcing MFA through a directory service or SSO provider is a satisfactory implementation of this Safeguard."
6,Access Control Management,6.4,Require MFA for Remote Network Access,Users,Protect,x,x,x,Require MFA for remote network access.
6,Access Control Management,6.5,Require MFA for Administrative Access,Users,Protect,x,x,x,"Require MFA for all administrative access accounts, where supported, on all enterprise assets, whether managed on-site or through a third-party provider."
6,Access Control Management,6.6,Establish and Maintain an Inventory of Authentication and Authorization Systems,Users,Identify,,x,x,"Establish and maintain an inventory of the enterprise’s authentication and authorization systems, including those hosted on-site or at a remote service provider. Review and update the inventory, at a minimum, annually, or more frequently."
6,Access Control Management,6.7,Centralize Access Control,Users,Protect,,x,x,"Centralize access control for all enterprise assets through a directory service or SSO provider, where supported."
6,Access Control Management,6.8,Define and Maintain Role-Based Access Control,Data,Protect,,,x,"Define and maintain role-based access control, through determining and documenting the access rights necessary for each role within the enterprise to successfully carry out its assigned duties. Perform access control reviews of enterprise assets to validate that all privileges are authorized, on a recurring schedule at a minimum annually, or more frequently."
7,Continuous Vulnerability Management,7.1,Establish and Maintain a Vulnerability Management Process,Applications,Protect,x,x,x,"Establish and maintain a documented vulnerability management process for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
7,Continuous Vulnerability Management,7.2,Establish and Maintain a Remediation Process,Applications,Respond,x,x,x,"Establish and maintain a risk-based remediation strategy documented in a remediation process, with monthly, or more frequent, reviews."
7,Continuous Vulnerability Management,7.3,Perform Automated Operating System Patch Management,Applications,Protect,x,x,x,"Perform operating system updates on enterprise assets through automated patch management on a monthly, or more frequent, basis."
7,Continuous Vulnerability Management,7.4,Perform Automated Application Patch Management,Applications,Protect,x,x,x,"Perform application updates on enterprise assets through automated patch management on a monthly, or more frequent, basis."
7,Continuous Vulnerability Management,7.5,Perform Automated Vulnerability Scans of Internal Enterprise Assets,Applications,Identify,,x,x,"Perform automated vulnerability scans of internal enterprise assets on a quarterly, or more frequent, basis. Conduct both authenticated and unauthenticated scans, using a SCAP-compliant vulnerability scanning tool."
7,Continuous Vulnerability Management,7.6,Perform Automated Vulnerability Scans of Externally-Exposed Enterprise Assets,Applications,Identify,,x,x,"Perform automated vulnerability scans of externally-exposed enterprise assets using a SCAP-compliant vulnerability scanning tool. Perform scans on a monthly, or more frequent, basis."
