"term","definition","source_anchor","notes"
"0day","Che cos’è?
Lo 0-day (o zero-day) è una qualsiasi vulnerabilità di sicurezza informatica non pubblicamente nota e definisce anche il programma – detto “exploit” – che sfrutta questa vulnerabilità per eseguire azioni non normalmente permesse nel sistema in questione. Vengono chiamati 0-day proprio perché lo sviluppatore ha “zero giorni” per riparare la falla nel programma prima che qualcuno la possa sfruttare. Nel momento in cui il bug viene risolto, lo 0-day perde la sua importanza perché non può più essere usato contro quel sistema.
Normalmente si parla di 0-day riferendosi ad essi come attività espressamente dolose compiute da cracker che si adoperano per trovarle proprio con l’intenzione di guadagnarsi un accesso abusivo ad un sistema informatico vulnerabile.

Perché è rilevante?
Lo zero-day è molto rilevante perché è una vulnerabilità ancora sconosciuta. Di conseguenza può essere molto pericolosa e sfruttata dai cyber criminali per portare avanti le loro azioni indisturbati.

Come mi difendo?
Dal momento che gli attacchi 0-day sono generalmente sconosciuti al pubblico, è spesso difficile difendersi da essi. Infatti gli attacchi 0-day sono spesso efficaci anche contro i sistemi “sicuri” e possono rimanere ignoti anche dopo che vengono lanciati. Perciò l’unico modo per difendersi è usare il buonsenso e abitudini sicure durante l’uso del computer.

Cos’è tecnicamente?
Una vulnerabilità 0-day consiste in diversi metodi di attacco. Alcune volte, quando gli utenti visitano siti web non affidabili, codice malevolo sul sito può sfruttare le vulnerabilità dei browser Web. I browser Web sono un obiettivo particolare per i criminali a causa della loro enorme diffusione e utilizzo. I cyber criminali possono anche mandare email con allegati malevoli attraverso SMTP, i quali sfruttano vulnerabilità nell’applicazione che apre l’allegato. Gli exploit che sfruttano tipi di file comuni sono numerosi e frequenti.

Come si rimedia?
E’ necessario attendere che il fornitore del software rilasci una patch che sia in grado di risolvere le vulnerabilità presenti sul dispositivo. Ovviamente l’utente dovrà ricordarsi di applicare tutti gli aggiornamenti di sicurezza sia sul sistema operativo che sul software installato.","https://cert-agid.gov.it/glossario/0day/",""
"Botnet","Che cos’è?
Con il termine Botnet “rete di robot” si indica un insieme di computer o dispositivi che, precedentemente compromessi da parte di un malware, permette a un soggetto terzo di impartire istruzioni da remoto. Una botnet può essere controllata da un malware specializzato, ad esempio un trojan horse quindi controllata da un botmaster che di fatto impartisce comandi ai singoli bot o zombie arrivando a manipolare un gran numero di computer o perfino milioni di dispositivi inclusi quelli IoT. Tra le recenti botnet una delle più estese e note è Mirai

Perché è rilevante?
Una botnet è generalmente usata per sferrare attacchi informatici su larga scala, può essere comandata a distanza per scopi illegali ed infatti rappresenta una delle principali fonti di reddito illecito su Internet. Le botnet vengono generalmente utilizzate per inviare spam o virus, rubare i dati personali o per lanciare attacchi DDoS. Dal momento che le botnet possono raccogliere in alcuni casi milioni di zombie è facilmente comprensibile come tali attacchi possano essere efficaci e mettere fuori uso per diverso tempo anche siti primari o nodi tecnologici nevralgici

Come mi difendo?
Per rimuovere un PC da una rete di bot, è di solito necessario rimuovere il software malevolo che controlla il bot. Trattandosi di malware il modo migliore è quello di eseguire una scansione antivirus sul sistema colpito, in modo da individuare e rimuovere il malware della botnet.

Cos’è tecnicamente?
Una botnet si alimenta ed incrementa la sua dimensione distribuendo malware ed infettando altri computer. I gestori delle botnet infatti mirano ad infettare ed “arruolare” il maggior numero possibile di computer così da aumentare il numero di risorse disponibili per sferrare attacchi coordinati. Bisogna considerare che alcune botnet possono comprendere anche milioni di bot e in questo scenario ogni computer che si libera dal contagio riduce il potenziale della botnet e limita un’eventuale propagazione dell’infezione in rete. Le pratiche sul corretto utilizzo degli strumenti informatici e la consapevolezza dell’utente sono quindi un valido contributo per il contenimento delle botnet.

Come si rimedia?
Per impedire che il tuo computer diventi un sistema della botnet, occorre fare sempre attenzione ai download di file sospetti. E’ bene evitare di fare clic su collegamenti o allegati inviati da indirizzi mail sconosciuti. Mantenere sempre aggiornati i software presenti e le patch di sicurezza del sistema operativo oltre che utilizzare un antivirus che proteggerà il computer dalle infezione causate da malware e altri attacchi.","https://cert-agid.gov.it/glossario/botnet/",""
"Data breach","Che cos’è
Con il termine data breach si intende un incidente di sicurezza in cui dati sensibili, riservati, protetti vengono consultati, copiati, trasmessi, rubati o utilizzati da soggetti non autorizzati. Solitamente il data breach si realizza attraverso una divulgazione di dati riservati o confidenziali all’interno di un ambiente privo di misure di sicurezza (come ad esempio il web) in maniera involontaria o volontaria. Tale divulgazione può avvenire in seguito a:
- perdita accidentale : data breach causato ad esempio da smarrimento di una chiavetta USB con contenuti riservati;
- furto :  data breach causato ad esempio da furto di un notebook con all’interno dati confidenziali/riservati;
- infedeltà aziendale : data breach causato ad esempio da un dipendente/persona interna che avendo autorizzazione ad accedere ai dati ne produce una copia da distribuire in ambiente pubblico;
- accesso abusivo : data breach causato ad esempio da un accesso non autorizzato ai sistemi informatici con successiva divulgazione delle informazioni acquisite
Secondo il GDPR , la notifica di eventuali violazioni di dati dovrà avvenire possibilmente senza ingiustificato ritardo e, ove possibile, entro 72 ore , dal momento in cui si è venuto a conoscenza della violazione, a meno che sia improbabile che la violazione dei dati personali presenti un rischio per i diritti e le libertà delle persone fisiche. L’eventuale ritardo dovrà essere motivato.","https://cert-agid.gov.it/glossario/data-breach/",""
"DDOS-DOS","Che cos’è?
Il termine Denial of Service nel campo della sicurezza informatica indica un malfunzionamento dovuto ad un attacco informatico che causa la saturazione deliberata delle risorse di un sistema informatico, ad esempio un sito web su un web server, fino a renderlo non più in grado di erogare il servizio.
Un attacco DOS può essere anche di tipo distribuito ( DDoS – Distributed Denial of Service ). Il DDOS mantiene gli stessi scopi del DOS, ma in questo caso il traffico che colpisce la vittima proviene da molteplici fonti distribuite anche geograficamente. L’attacco DDOS viene portato da più botnet coordinate su più livelli (ad esempio un numero elevatissimo di tentativi di connessioni FTP insieme a tentativi di accesso http). Di conseguenza un attacco distribuito avrà bisogno di un lasso di tempo minore per avere successo.

Perché è rilevante?
L’attacco DoS può comportare il rallentamento o la mancata erogazione di servizi (anche essenziali) forniti via rete, con conseguenti danni a livello di immagine, economico e sociale.

Come mi difendo?
- Implementando filtri su pacchetti di dati alterati (cioè spoofed ) all’ingresso dei propri router e firewall. In questo modo, anche se non verrà immediatamente bloccato l’attacco, si potrà individuare il traffico malevolo e applicare in tempi relativamente brevi una contromisura.
- Utilizzando sistemi di riconoscimento delle intrusioni (IDS).
- Utilizzando sistemi di prevenzione delle intrusioni (IPS).
- Utilizzando la tecnica del sinkholing che prevede di “far defluire” tutto il traffico proveniente da uno o più indirizzi IP “malevoli” verso un server “civetta” creati appositamente per ridurre il traffico in eccesso.
- Sovrastimando le risorse necessarie, in modo da fronteggiare attacchi che puntano a saturare la banda o la capacità di calcolo di un sistema informatico.
- Adeguando la configurazione del server e dei servizi, ad esempio indicando quante e quali risorse può utilizzare un servizio e come questo può rispondere alle richieste esterne. In caso di attacco, le conseguenze non si ripercuoteranno su tutto il sistema ma solo sul software oggetto dell’attacco.

Cos’è tecnicamente?
Gli attacchi vengono tipicamente eseguiti inviando molti pacchetti di richieste, di solito ad un server web, FTP o server di posta elettronica saturandone le risorse. Il sistema tende a essere non più disponibile agli utenti e a non erogare il servizio.
L’attacco avviene in genere utilizzato molti computer compromessi, detti zombie, sui quali precedentemente viene iniettato un codice malevolo per attacchi DoS e che si attiva mediante un comando inviato dall’attaccante. In caso di diffusione su molti pc, si viene a creare una rete detta botnet, che produce inconsapevolmente e nello stesso istante un enorme flusso di dati che  travolgerà come una valanga il sito bersaglio.

Come si rimedia?
Trattandosi di connessioni apparentemente legittime, è impossibile bloccarle senza interrompere anche il flusso inoffensivo. Però, limitando drasticamente il numero di sessioni aperte simultaneamente, l’impatto dell’attacco si riduce considerevolmente senza limitare il flusso dei pacchetti regolari.","https://cert-agid.gov.it/glossario/ddos-dos/",""
"Deep-Dark web","Surface web , Deep web e Dark web possono essere definite come tre modalità d’accesso diverse a contenuti online che possono essere sicuri o pericolosi, legali o illegali, morali o immorali.
Al primo livello  troviamo il “ surface web ” o web in “ chiaro “.  A questa parte del WWW mondiale appartengono tutti i siti e in generale gli indirizzi indicizzati dalla maggior parte dei motori di ricerca.  Le pagine web che compongono il “surface web” che tutti  conosciamo occupano circa 4-5% del totale delle pagine web mondiali .
Sotto la superfice del “surface web” troviamo il “deep web” conosciuto anche come “Inivisible Web”, ossia quella parte di WWW non indicizzata dai motori di ricerca, ma accessibile tramite i normali browser a patto di conoscerne l’indirizzo.  A questo livello è possibile ad esempio trovare papers accademici e scientifici, documenti legali, cartelle mediche, risorse contenute in database governativi o nei repository di aziende private. Secondo alcune stime il “ deep web” è circa 5/600 volte più grande del “surface web” .
Al livello più basso troviamo il dark web , quella parte del WWW che utilizza le cosiddette reti darknet , ossia reti che si appoggiano all’Internet pubblico, ma  che sono accessibili solo tramite particolari software (es. TOR ). Il termine “dark” descrive sia le caratteristiche di “non-visibilità” delle informazioni sia il fatto che questo livello della Rete è spesso utilizzato per attività criminali, pornografia, traffici illeciti e transazioni illegali.","https://cert-agid.gov.it/glossario/deep-dark-web/",""
"Defacing","Che cos’è?
Con il termine Defacing (in italiano con defacciare) si intende la modifica illecita della home page di un sito web (la sua “faccia”) o la sostituzione di una o più pagine interne. Questo tipo di attacco, viene eseguito all’insaputa di chi gestisce il sito ed è illegale in tutti i paesi del mondo.

Perché è rilevante?
Un sito che è stato oggetto di un deface vede sostituita la propria pagina principale e/o altre pagine interne con una schermata che indica l’azione compiuta da uno o più cracker. Di conseguenza questo attacco, oltre a comportare potenzialmente l’interruzione di uno o più servizi, può creare danni all’immagine di una società o ente pubblico.

Come mi difendo?
Mantenendo aggiornato tutto il software presente sul server web. In particolare applicare regolarmente le patch di sicurezza sul sistema operativo e http server.

Cos’è tecnicamente?
Per ottenere i permessi di accesso in scrittura al sito gli attaccanti sfruttano solitamente le vulnerabilità presenti nel software di gestione del sito oppure nei sistemi operativi sottostanti. Più raramente vengono utilizzate tecniche di ingegneria sociale.

Come si rimedia?
Si eliminano i contenuti indebitamente inseriti, quindi si applicano le patch di sicurezza e gli aggiornamenti sui sistemi. Particolare attenzione andrà posta all’aggiornamento del CMS ( Contenent management system ) e di tutti i suoi plugin.","https://cert-agid.gov.it/glossario/defacing/",""
"Exploit","Che cos’è?
Un exploit (tradotto dall’inglese “sfruttare”) è un termine usato per identificare una tipologia di script, virus, worm o binario in grado di sfruttare una specifica vulnerabilità presente in un software o sistema informatico. Di solito un exploit permette l’esecuzione di codice malevolo con lo scopo di far ottenere all’attaccante l’acquisizione dei privilegi amministrativi. Nella dinamica di un attacco di ingegneria sociale, il termine può riferirsi anche l’inganno o al contesto utilizzato per raggirare la vittima.

Perché è rilevante?
Gli exploit sfruttano le falle di sicurezza nei software e, nelle condizioni di utilizzo più ricorrenti, un utente non ha modo di sapere se è stato infettato fino a quando è ormai troppo tardi.
Spesso ad un exploit viene associata la diffusione di malware quindi, sfruttata in prima battuta una vulnerabilità, il codice viene iniettato in modo silente nei sistemi operativi. In particolare le vulnerabilità di tipo 0-day ben si prestano per l’utilizzo di exploit in quanto, essendo note solo ad una minoranza, possono causare numerosi danni prima di essere scoperte e risolte.

Come mi difendo?
Esistono diverse tecnologia e mezzi di rilevamento capaci di riconoscere ed interrompere l’azione di un exploit ma quelli non specifici e di maggior consumo sono in grado di identificare solo la componente malevola quindi hanno margine di intervento nella fase ultima della catena di attacco. Il modo migliore per ridurre i rischi associati alle funzionalità di exploit è quello di installare tutte le patch software, le release di sicurezza quindi in generale mantenere aggiornato il software installato. Navigare solamente in siti noti, fidati o dotati di certificato SSL (Security Socket Layer) riduce le possibilità di visitare pagine web preposte allo sfruttamento di vulnerabilità del software lato client. Per evitare l’azione di exploit provenienti dalla posta elettronica è consigliato di non aprire allegati provenienti da indirizzi mail sospetti e non scaricare file se consegnati da mittenti sconosciute.

Cos’è tecnicamente?
Gli exploit possono essere distribuiti attraverso una rete di computer connessi ad Internet, nella pratica comune l’exploit viene inserito come codice in un server con lo scopo di distribuire questo carico malevolo nel modo più rapido possibile. Nello scenario di attacco, per facilitare questa operazione, viene creata una rete di distributori dell’exploit che consentono i download drive-by tramite una pagina Web che dall’aspetto può risultare apparentemente innocua. Gli explioit si suddividono in:
- Exploit remoto , utilizza una rete di comunicazione per contattare il sistema vittima. In tal caso l’attacco prevede l’utilizzo di un altro computer interno alla stessa rete locale oppure mediante un accesso Internet. Exploit locale è circoscritto ad un sistema vittima specifica ed è necessario avere prima l’accesso al sistema vulnerabile. Questi exploit possono essere utilizzati anche da remoto se l’attaccante ha precedentemente ottenuto l’accesso alla risorsa locale utilizzando un exploit remoto.
- Exploit lato client , permettono di sfruttare le vulnerabilità nelle applicazioni installate nelle workstation come nel caso di applicazioni da ufficio, lettori PDF, i browser e lettori multimediali. Questo attacco è solitamente asincrono in quanto l’exploit non viene eseguito nel momento in cui entra in contatto con il sistema bersaglio ma l’interazione da parte dell’utente è fondamentale per la corretta esecuzione.
Gli exploit possono anche essere classificati in base al tipo di tecnica utilizzata per sfruttare la vulnerabilità ad esempio: buffer overflow, Heap Overflow, format string attacks, race condition, double free(), Integer overflow, SQL injection, cross-site scripting, cross-site request forgery, Remote File Inclusion e Local File Inclusion.

Come si rimedia?
La maggior parte degli exploit è frutto di un errore dello sviluppatore, la rimozione delle falle di sicurezza è di sua competenza quindi anche il rilascio e distribuzione della relativa correzione. Gli exploit sfruttano le falle di sicurezza software e quasi mai un utente non ha modo di sapere se è stato vittima di un exploit. Per tale ragione è importante prevenire eventuali attacchi mantenendo aggiornati i software. Un modo per assicurarsi di non perdere eventuali aggiornamenti consiste nell’utilizzare un programma di gestione delle applicazioni che semplifichi la procedura di aggiornamento dei software o che, in alternativa, possa aggiornarli in modalità automatica minimizzando i tempi di esposizione della falla.","https://cert-agid.gov.it/glossario/exploit/",""
"MITM","Che cos’è?
Man in The Middle (MiTM) è una tipologia di attacco informatico in cui l’attaccante si introduce nella comunicazione tra la vittima e il server con il quale quest’ultima sta cercando di dialogare. Lo scopo è quello di carpire o alterare le informazioni trasmesse.

Perché è rilevante?
Un attacco di tipo MiTM può comportare serie problematiche di sicurezza relativamente all’esfiltrazione di informazioni sensibili come le pagine web navigate, le credenziali di accesso ai sistemi, numeri di conto correnti e carte di credito, fino a compromettere la sicurezza delle transazioni.

Come mi difendo?
- Utilizzando software che consente di cifrare le comunicazioni tra i due interlocutori (client e server ad esempio).
- Evitando di connettersi a tutte le linee WI-Fi aperte, in ogni caso è sempre utile navigare le pagine in HTTPS ad esempio utilizzando una apposita estensione come HTTPS Everywhere disponibile per i browser più noti.

Cos’è tecnicamente?
Sfruttando una falla insita nel sistema o direttamente nel router, un attaccante potrà installare appositi software in grado di intercettare o modificare le comunicazioni compromettendo di fatto la connessione tra client e server. Esistono diverse varianti di questa  tipologia di attacco tra cui Man-in-the-IoT , Man-in-the-Mobile e la più nota Man-in-the browser , una tecnica ampiamente utilizzata dai malware bancari.

Come si rimedia?
Un attacco bene architettato è difficile da individuare, soprattutto perchè i target più appetibili sono quasi sempre router o server. Si consiglia pertanto di accertarsi che le pagine visitate utilizzino il protocollo https, di non proseguire con la navigazione quando le pagine web visualizzano il messaggio di problemi legati al certificato di sicurezza e naturalmente mantenere aggiornato antivirus e sistema operativo per evitare che potenziali attaccanti possano sfruttare falle già note.","https://cert-agid.gov.it/glossario/mitm/",""
"OSINT-CLOSINT","Che cos’è?
Con il termine OSINT , acronimo di Open Source Intelligence ,  si fa riferimento al processo di raccolta d’informazioni attraverso la consultazione di fonti di pubblico dominio definite anche “ fonti aperte “.
Fare OSINT significa descrivere l’informazione disponibile e aperta al pubblico, attraverso un processo di ricerca, selezione, vaglio e reportizzazione verso uno specifico destinatario al fine di soddisfare una necessità informativa.
La fase più importante del processo di OSINT è quella di “ vagliare ” le fonti rilevanti ed affidabili partendo da diverse tipologie di fonti di pubblico dominio come:
- Mezzi di comunicazione, come giornali o riviste;
- Motori di ricerca, dai più comuni ai meno famosi;
- Social network;
- Forum, Blog.
L’OSINT quindi si distingue dalla banale ricerca d’informazioni perché applica un processo di gestione delle informazioni con lo scopo di creare una specifica conoscenza in un determinato ambito/contesto.
Con il termine CLOSINT si fa invece riferimento alla Close Source Intelligence ,  cioè al processo di raccolta d’informazioni attraverso consultazione di “ fonti chiuse “, non accessibili al pubblico.","https://cert-agid.gov.it/glossario/osint-closint/",""
"Phishing","Che cos’è?
Il phishing è una frode informatica, realizzata attraverso l’invio di e-mail contraffatte, finalizzata all’acquisizione, per scopi illegali, di dati riservati oppure a far compiere alla vittima determinate operazioni/azioni. I malintenzionati che si avvalgono delle tecniche di phishing non utilizzano virus, spyware, malware o altre tipologie di software malevolo, ma si limitano, piuttosto, ad usare tecniche di social engineering, attraverso le quali vengono studiate ed analizzate le abitudini delle persone, cioè delle potenziali vittime, al fine di carpirne potenziali informazioni utili. Il phishing è quindi un tipico attacco di social engineering che sfrutta l’interazione umana e in cui è richiesta la partecipazione attiva della vittima.

Cos’è tecnicamente?
Chi vuole sferrare un attacco di phishing generalmente ricorre ad una metodologia standard che di solito si articola in diverse fasi.
La prima di queste, consiste nell’inviare alle potenziali vittime dei messaggi di posta elettronica contenenti delle informazioni il più possibile veritiere, familiari e/o allettanti. Il messaggio fraudolento, per essere il più credibile possible,  simula delle situazioni che in realtà possono verificarsi. A titolo di esempio un tipico messaggio di phishing potrebbe riguardare:
- la scadenza di una determinata password di un servizio on-line;
- l’accettazione dei cambiamenti delle condizioni contrattuali;
- il potenziale rinnovo della carta prepagata o della carta di credito;
- dei potenziali problemi inerenti accrediti, addebiti o trasferimenti di denaro su determinati conti online;
- la mancata, incompleta o errata presenza di informazioni, che magari riguardano determinati servizi bancari on-line;
- la presenza di offerte di lavoro particolarmente allettanti, che magari invitano ad inserire le coordinate bancarie per far sì di esser tra i primi a beneficiarne;
Una volta quindi catturata l’attenzione dell’ignaro utente, il messaggio fraudolento, contenente un apposito allegato o un semplice collegamento ipertestuale, permetterà di effettuare l’accesso al sito Internet in questione.  Il sito “ fake ” assomiglierà il più possibile a quello “ ufficiale” , con la speranza che il malcapitato utente inserisca username, password e/o altre potenziali informazioni utili.
Se a questo punto l’utente di turno “ abbocca all’amo ”, il phisher, potrà disporre e utilizzare a suo piacimento i dati ottenuti con tutte le spiacevoli conseguenze del caso.

Perché è rilevante?
Anche se sono passati più di 20 anni dalla prima campagna di phishing della storia, le mail fraudolente continuano a mietere vittime tra gli utenti più sprovveduti. Possiamo affermare quindi che il phishing è una minaccia attuale.

Come mi difendo?
La regola principale per difendersi è solo una: nessuno può tutelare le nostre informazioni meglio di noi stessi . Per questo è necessario gestire i propri dati con cura e diffonderli il meno possibile.
Di seguito si riportano alcuni semplici consigili per difendersi dal phishing:
- non condividere mai i propri dati sensibili con una terza parte. Le compagnie ufficiali non chiedono mai informazioni del genere via email.
- non aprire allegati del messaggio  se non si  è sicuri dell’identità del mittente.
- non cliccare su alcun link presente nel corpo del messaggio se non si  è sicuri dell’identità del mittente.
- se si ricevono mail che sembrano provenire dalla tua banca che ti chiedono di inserire  dati personali (login e password o numero di carta di credito) verifica sempre la veridicità della mail chiamando telefonicamente la banca.
- controllare che la connessione sia HTTPS e verificare che all’apertura della pagina, il dominio  sia effettivamente quello “ ufficiale “.
- installare nel computer un antivirus che protegga anche dal phishing e mantenerlo costantemente aggiornato.
- fidati dei filtri Antispam del tuo provider di posta. I messaggi che si trovano nella cartella di Spam sono al 90% mail spazzatura o tentativi di phishing.
- utilizzare password robuste e cambiarle con frequenza.
- NON utilizzare mai la stessa password per i vari servizi on-line.

Come si rimedia?
Ci siamo “ cascati “: abbiamo inserito i nostri dati su un sito “ fake “.  Come prima cosa va contattato l’amministratore/gestore del portale “ ufficiale ” del servizio on-line per avvertirlo di quanto accaduto, successivamente va effettuato un cambio password sul portale “ ufficiale ” ricordando di non utilizzare mai la stessa password per i vari servizi on-line.","https://cert-agid.gov.it/glossario/phishing/",""
