"criterion_id","category","section","criterion_text","points_of_focus","extraction_source"
"CC1.1","Common Criteria","CONTROL ENVIRONMENT","COSO Principle 1: The entity demonstrates a commitment to integrity and ethical values.","The following points of focus highlight important characteristics relating to this criterion:","marker"
"CC1.2","Common Criteria","","COSO Principle 2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:
• Establishes Oversight Responsibilities — The board of directors identifies and ac cepts its oversight responsibilities in relation to established requirements and expec tations.","marker"
"CC1.3","Common Criteria","CONTROL ENVIRONMENT","COSO Principle 3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.","","manual_patch"
"CC1.4","Common Criteria","","COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain com petent individuals in alignment with objectives.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:
• Establishes Policies and Practices — Policies and practices reflect expectations of competence necessary to support the achievement of objectives.","marker"
"CC1.5","Common Criteria","","COSO Principle 5: The entity holds individuals accountable for their internal control responsi bilities in the pursuit of objectives.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:","marker"
"CC2.1","Common Criteria","INFORMATION AND COMMUNICATION","COSO Principle 13: The entity obtains or generates and uses relevant, quality information to support the functioning of internal control.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:","marker"
"CC2.2","Common Criteria","","COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:
• Communicates Internal Control Information — A process is in place to communi cate required information to enable all personnel to understand and carry out their internal control responsibilities.
• Communicates With the Board of Directors — Communication exists between man agement and the board of directors so that both have information needed to fulfill their roles with respect to the entity's objectives.
• Provides Separate Communication Lines — Separate communication channels, such as whistle-blower hotlines, are in place and serve as fail-safe mechanisms to enable anonymous or confidential communication when normal channels are inoperative or ineffective.
• Selects Relevant Method of Communication — The method of communication con siders the timing, audience, and nature of the information.
Additional points of focus when using the trust services criteria:
• Communicates Responsibilities — Entity personnel with responsibility for design ing, developing, implementing, operating, maintaining, or monitoring system con trols receive communications about their responsibilities, including changes in their responsibilities, and have the information necessary to carry out those responsibili ties.
• Communicates Information on Reporting Failures, Incidents, Concerns, and Other Matters — Entity personnel are provided with information on how to report systems failures, incidents, concerns, and other complaints.","marker"
"CC2.3","Common Criteria","COMMUNICATION AND INFORMATION","COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control.","","manual_patch"
"CC3.1","Common Criteria","","RISK ASSESSMENT COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identifica tion and assessment of risks relating to objectives.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:","marker"
"CC3.2","Common Criteria","","COSO Principle 7: The entity identifies risks to the achievement of its objectives across the en tity and analyzes risks as a basis for determining how the risks should be managed.","The following points of focus highlight important characteristics relating to this criterion:
Points of focus specified in the COSO framework:
• Includes Entity, Subsidiary, Division, Operating Unit, and Functional Levels — The entity identifies and assesses risk at the entity, subsidiary, division, operating unit, and functional levels relevant to the achievement of objectives.
• Analyzes Internal and External Factors — Risk identification considers both internal and external factors and their impact on the achievement of objectives.
• Involves Appropriate Levels of Management — The entity puts into place effective risk assessment mechanisms that involve appropriate levels of management.
• Estimates Significance of Risks Identified — Identified risks are analyzed through a process that includes estimating the potential significance of the risk.
• Determines How to Respond to Risks — Risk assessment includes considering how the risk should be managed and whether to accept, avoid, reduce, or share the risk.
Additional points of focus when using the trust services criteria:
Identifies Threats to Objectives —The entity identifies threats to the achievement of • its objectives from intentional (including malicious) and unintentional acts and en vironmental events.","marker"
