term,definition,source_anchor,notes
Add-ons,"Resources that extend the functionality of Kubernetes.

Installing addons explains more about using add-ons with your cluster, and lists some popular add-ons.",https://kubernetes.io/docs/reference/glossary/#term-addons,tags: tool
Admission Controller,"A piece of code that intercepts requests to the Kubernetes API server prior to persistence of the object.

Admission controllers are configurable for the Kubernetes API server and may be ""validating"", ""mutating"", or both. Any admission controller may reject the request. Mutating controllers may modify the objects they admit; validating controllers may not. Admission controllers in the Kubernetes documentation",https://kubernetes.io/docs/reference/glossary/#term-admission-controller,"tags: extension, security"
Affinity,"In Kubernetes, affinity is a set of rules that give hints to the scheduler about where to place pods.

There are two kinds of affinity: node affinity pod-to-pod affinity The rules are defined using the Kubernetes labels , and selectors specified in pods , and they can be either required or preferred, depending on how strictly you want the scheduler to enforce them.",https://kubernetes.io/docs/reference/glossary/#term-affinity,tags: fundamental
Aggregation Layer,"The aggregation layer lets you install additional Kubernetes-style APIs in your cluster.

When you've configured the Kubernetes API Server to support additional APIs , you can add APIService objects to ""claim"" a URL path in the Kubernetes API.",https://kubernetes.io/docs/reference/glossary/#term-aggregation-layer,"tags: architecture, extension, operation"
Annotation,"A key-value pair that is used to attach arbitrary non-identifying metadata to objects.

The metadata in an annotation can be small or large, structured or unstructured, and can include characters not permitted by labels . Clients such as tools and libraries can retrieve this metadata.",https://kubernetes.io/docs/reference/glossary/#term-annotation,tags: fundamental
API Group,"A set of related paths in Kubernetes API.

You can enable or disable each API group by changing the configuration of your API server. You can also disable or enable paths to specific resources . An API group makes it easier to extend the Kubernetes API. The API group is specified in a REST path and in the apiVersion field of a serialized object . Read API Group for more information.",https://kubernetes.io/docs/reference/glossary/#term-api-group,"tags: architecture, fundamental"
API resource,"An entity in the Kubernetes type system, corresponding to an endpoint on the Kubernetes API . A resource typically represents an object . Some resources represent an operation on other objects, such as a permission check.

Each resource represents an HTTP endpoint (URI) on the Kubernetes API server, defining the schema for the objects or operations on that resource.",https://kubernetes.io/docs/reference/glossary/#term-api-resource,tags: architecture
API server,"The API server is a component of the Kubernetes control plane that exposes the Kubernetes API. The API server is the front end for the Kubernetes control plane.

The main implementation of a Kubernetes API server is kube-apiserver . kube-apiserver is designed to scale horizontally—that is, it scales by deploying more instances. You can run several instances of kube-apiserver and balance traffic between those instances.",https://kubernetes.io/docs/reference/glossary/#term-kube-apiserver,"tags: architecture, fundamental"
API-initiated eviction,"API-initiated eviction is the process by which you use the Eviction API to create an Eviction object that triggers graceful pod termination.

You can request eviction either by directly calling the Eviction API using a client of the kube-apiserver, like the kubectl drain command. When an Eviction object is created, the API server terminates the Pod. API-initiated evictions respect your configured PodDisruptionBudgets and terminationGracePeriodSeconds . API-initiated eviction is not the same as node-pressure eviction . See API-initiated eviction for more information.",https://kubernetes.io/docs/reference/glossary/#term-api-eviction,tags: operation
App Container,"Application containers (or app containers) are the containers in a pod that are started after any init containers have completed.

An init container lets you separate initialization details that are important for the overall workload , and that don't need to keep running once the application container has started. If a pod doesn't have any init containers configured, all the containers in that pod are app containers.",https://kubernetes.io/docs/reference/glossary/#term-app-container,tags: workload
Application Architect,"A person responsible for the high-level design of an application.

An architect ensures that an app's implementation allows it to interact with its surrounding components in a scalable, maintainable way. Surrounding components include databases, logging infrastructure, and other microservices.",https://kubernetes.io/docs/reference/glossary/#term-application-architect,tags: user-type
Application Developer,"A person who writes an application that runs in a Kubernetes cluster.

An application developer focuses on one part of an application. The scale of their focus may vary significantly in size.",https://kubernetes.io/docs/reference/glossary/#term-application-developer,tags: user-type
Applications,The layer where various containerized applications run.,https://kubernetes.io/docs/reference/glossary/#term-applications,tags: fundamental
Approver,"A person who can review and approve Kubernetes code contributions.

While code review is focused on code quality and correctness, approval is focused on the holistic acceptance of a contribution. Holistic acceptance includes backwards/forwards compatibility, adhering to API and flag conventions, subtle performance and correctness issues, interactions with other parts of the system, and others. Approver status is scoped to a part of the codebase. Approvers were previously referred to as maintainers.",https://kubernetes.io/docs/reference/glossary/#term-approver,tags: community
cAdvisor,"cAdvisor (Container Advisor) provides container users an understanding of the resource usage and performance characteristics of their running containers .

It is a running daemon that collects, aggregates, processes, and exports information about running containers. Specifically, for each container it keeps resource isolation parameters, historical resource usage, histograms of complete historical resource usage and network statistics. This data is exported by container and machine-wide.",https://kubernetes.io/docs/reference/glossary/#term-cadvisor,tags: tool
Certificate,"A cryptographically secure file used to validate access to the Kubernetes cluster.

Certificates enable applications within a Kubernetes cluster to access the Kubernetes API securely. Certificates validate that clients are allowed to access the API.",https://kubernetes.io/docs/reference/glossary/#term-certificate,tags: security
cgroup (control group),"A group of Linux processes with optional resource isolation, accounting and limits.

cgroup is a Linux kernel feature that limits, accounts for, and isolates the resource usage (CPU, memory, disk I/O, network) for a collection of processes.",https://kubernetes.io/docs/reference/glossary/#term-cgroup,tags: fundamental
CIDR,"CIDR (Classless Inter-Domain Routing) is a notation for describing blocks of IP addresses and is used heavily in various networking configurations.

In the context of Kubernetes, each Node is assigned a range of IP addresses through the start address and a subnet mask using CIDR. This allows Nodes to assign each Pod a unique IP address. Although originally a concept for IPv4, CIDR has also been expanded to include IPv6.",https://kubernetes.io/docs/reference/glossary/#term-cidr,tags: networking
CLA (Contributor License Agreement),"Terms under which a contributor grants a license to an open source project for their contributions.

CLAs help resolve legal disputes involving contributed material and intellectual property (IP).",https://kubernetes.io/docs/reference/glossary/#term-cla,tags: community
Cloud Controller Manager,"A Kubernetes control plane component that embeds cloud-specific control logic. The cloud controller manager lets you link your cluster into your cloud provider's API, and separates out the components that interact with that cloud platform from components that only interact with your cluster.

By decoupling the interoperability logic between Kubernetes and the underlying cloud infrastructure, the cloud-controller-manager component enables cloud providers to release features at a different pace compared to the main Kubernetes project.",https://kubernetes.io/docs/reference/glossary/#term-cloud-controller-manager,"tags: architecture, operation"
Cloud Native Computing Foundation (CNCF),"The Cloud Native Computing Foundation (CNCF) builds sustainable ecosystems and fosters a community around projects that orchestrate containers as part of a microservices architecture. Kubernetes is a CNCF project.

The CNCF is a sub-foundation of the Linux Foundation . Its mission is to make cloud native computing ubiquitous.",https://kubernetes.io/docs/reference/glossary/#term-cncf,tags: community
