term,definition,source_anchor,notes
Accès local (accès de proximité),"Attaques avec accès physique au réseau, ou à un équipement.",https://cyber.gouv.fr/glossaire#acc-s-local-acc-s-de-proximit,EN : Local access
Actes de cybermalveillance,"Toute infraction commise par voie numérique. Il peut s’agir de phishing ou hameçonnage, de piratage d’un compte ou d’un équipement, d’usurpation d’identité, d’attaque par rançongiciel, etc.",https://cyber.gouv.fr/glossaire#actes-de-cybermalveillance,EN : Cybermalicious activities/actions
Adware,"Code ayant pour finalité d'afficher des bandeaux publicitaires par le biais du navigateur Internet de l'utilisateur.

Remarque : Ce code est très souvent perçu comme une méthode envahissante. Il engendre dans de nombreux cas d’autres effets sur le système, comme l’apparition de fenêtres surgissantes (popups), la dégradation de la bande passante ou de la performance de la machine de l’utilisateur",https://cyber.gouv.fr/glossaire#adware,FR : Logiciel publicitaire
Aide au dépannage,Protocole d'assistance à destination d'un logiciel ou d'un matériel pour lui permettre de résoudre un problème ou une défaillance technique .,https://cyber.gouv.fr/glossaire#aide-au-d-pannage,EN : Troubleshooting
Alerte,"L’activité d’alerte consiste à avertir une entité en cas de détection d’un potentiel incident de sécurité la concernant, allant d’un risque plus ou moins accru à un incident avéré. L’alerte est émise par un acteur de l’écosystème, vers une ou plusieurs victimes potentielles.",https://cyber.gouv.fr/glossaire#alerte,EN : Alert
Alerte malveillante (Fausse alerte déclenchant une réponse des forces de police),"Appel téléphonique anonyme adressé aux services d'urgence ou de secours afin de déclencher leur intervention en leur faisant croire à l'existence d'une infraction ou d'un dommage subi par des personnes ou des biens.

(Ouvre une nouvelle fenêtre) https://www.legifrance.gouv.fr/jorf/article_jo/JORFARTI000045380904 - Légifrance 19 mars 2022",https://cyber.gouv.fr/glossaire#alerte-malveillante-fausse-alerte-d-clenchant-une-r-ponse-des-fo,EN : Swatting
Analyse du risque numérique,"L‘analyse de risque vise à apprécier les risques numériques qui pèsent sur une organisation - qu’elle soit publique ou privée - et à identifier les mesures de sécurité à mettre en œuvre pour les maîtriser. L’ANSSI, avec le soutien du Club EBIOS, publie une méthode dédiée à cet exercice : EBIOS Risk Manager.",https://cyber.gouv.fr/glossaire#analyse-du-risque-num-rique,EN : Digital risk analysis
Analyseur syntaxique /parseur,Outil d'analyse syntaxique qui permet d'analyser un texte structuré.,https://cyber.gouv.fr/glossaire#analyseur-syntaxique-parseur,EN : Parser
Assistance,"L’assistance concerne l’ensemble des services proposés aux victimes et potentielles victimes. On peut distinguer l’assistance concernant la source de l’incident, et l’assistance concernant les impacts de l’incident.",https://cyber.gouv.fr/glossaire#assistance,
Assistance capacitaire,"Développement capacitaire, renforcement capacitaire.",https://cyber.gouv.fr/glossaire#assistance-capacitaire,EN : Capacity building
Attaque par canal auxiliaire,"Obtenir des informations sur un système ou un programme en observant par exemple les signaux émis par ce système (consommation électrique, émissions électromagnétiques…).",https://cyber.gouv.fr/glossaire#attaque-par-canal-auxiliaire,EN : Side-channel-attack
Attaque par saisie d’authentifiants volés,Type d'attaque par force brute exploitant des authentifiants précédemment exposés.,https://cyber.gouv.fr/glossaire#attaque-par-saisie-d-authentifiants-vol-s,EN : Credential stuffing
Attaque par saturation téléphonique (AST),"Attaque par interruption de service qui consiste à émettre un nombre important d'appels téléphoniques vers un ou plusieurs numéros pour empêcher que d'autres appels passés vers ces numéros n'aboutissent.

(Ouvre une nouvelle fenêtre) https://www.legifrance.gouv.fr/jorf/article_jo/JORFARTI000045380904 . Légifrance 19 mars 2022",https://cyber.gouv.fr/glossaire#attaque-par-saturation-t-l-phonique-ast,EN : Telephony Denial of Service (TDoS)
Audit,"Processus systématique, indépendant et documenté en vue d'obtenir des preuves et de les évaluer de manière objective pour déterminer dans quelle mesure les exigences d’un référentiel sont satisfaites.",https://cyber.gouv.fr/glossaire#audit,EN : Audit
Authenticité,L’information est attribuée à son auteur légitime.,https://cyber.gouv.fr/glossaire#authenticit,EN : Authenticity
Authentification,"L’authentification a pour but de vérifier l’identité dont une entité (personne ou machine) se réclame. L’authentification est toujours précédée ou combinée avec une identification qui permet à cette entité de se faire reconnaître du système par un élément dont on l’a doté : un identifiant. En résumé, s’identifier c’est communiquer un identifiant présumé, s’authentifier c’est apporter la preuve que l’entité s’est vue attribuer cet identifiant.",https://cyber.gouv.fr/glossaire#authentification,EN : Authentication
Authentification forte,"Les protocoles d’authentification que l’on peut considérer comme forts reposent souvent sur des protocoles dits défi-réponse. Le message envoyé par le prouveur pour s’authentifier dépend à la fois d’une clé secrète, mais aussi d’un défi variable envoyé par le vérifieur. Lorsqu’un prouveur souhaite prouver son identité à un vérifieur, ce dernier lui envoie alors un défi (une valeur aléatoire par exemple) et le prouveur doit lui transmettre une réponse calculée à partir de ce défi spécifique (une signature de ce défi par exemple). Afin d’être considérée comme forte, une authentification doit reposer sur un protocole cryptographique permettant de résister à certaines attaques.

(Ouvre une nouvelle fenêtre) Recommandations relatives à l'authentification multifacteur et aux mots de passe . ANSSI. 08 octobre 2021",https://cyber.gouv.fr/glossaire#authentification-forte,EN : Strong authentication
