term,definition,source_anchor,notes
3-2-1 Backup Rule,"A fundamental backup methodology that requires at least three total copies of data: 3 includes: one live production copy and two backup copies, 2 of which are local but on different mediums/devices representing two different media/method s , and 1 represents a single off-site copy supporting disaster recovery (DR).",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/123/#1049180,context: Technology Management
3GPP LTE,"Long Term Evolution is the name given to a project within the Third Generation Partnership Project to improve the UMTS mobile phone standard to cope with future technology evolutions. Goals include improving spectral efficiency, lowering costs, improving services, making use of new spectrum and refarmed spectrum opportunities, and improving integration with other open standards. The LTE project is not a standard. The 3rd Generation Partnership Project unites seven telecommunications standard development organizations, known as Organizational Partners, providing their members with a stable environment to produce the Reports and Specifications that define the 3GPP system.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/123/#1049195,context: Software
Academic Instruction and Research Systems,"Academic instruction and research systems, as noted in the ISO 27002 Security Standard, are defined as those systems used by institutions of higher education for the purpose of providing instruction to students or faculty for the purpose of conducting research. Per ISO 27002, section 1.6c, academic instruction or research systems are explicitly exempt from complying with the ISO 27002 standards.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049179,"context: Hardware, Information Systems Security, Software"
Acceptance Criteria,"Those criteria, including performance requirements and essential conditions, which must be met before project deliverables are accepted.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049192,"context: Project Management, Technology Management"
Accessible Rich Internet Applications (ARIA),"A technical specification published by the World Wide Web Consortium (W3C) that specifies how to increase the accessibility of web pages dynamic content, and user interface components developed with Ajax, HTML, JavaScript, and related technologies. Accessible Rich Internet Applications (WAI-ARIA) 1.2 .",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049222,"context: Software, Technology Management"
ACMS,A transaction processing monitor from Compaq that runs on the open VMS operating system. May be either the Compaq ACMS for OpenVMS Alpha or the Compaq ACMS for OpenVMS VAX.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049243,context: Software
Acquisition Process,"The process of acquiring personnel/goods/services for new or existing work within the general definitions of contracts requiring an offer and acceptance, consideration, lawful subject matter, and competent parties.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049270,context: General
Action Item Status,"A list of problem issues, including a description, point of contact, and dates of action and resolution.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049295,context: Project Management
Action Plan,A plan that describes what needs to be done and when it needs to be completed. Project plans are action plans.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049319,"context: General, Project Management"
Active Directory Service Interfaces (ADSI),"ADSI abstract the capabilities of different directory services from different network vendors to present a single set of directory service interfaces for managing network resources. It is a set of COM interfaces used to access the features of directory services from different network providers. ADSI is used in a distributed computing environment to present a single set of directory service interfaces for managing network resources. Administrators and developers can use ADSI services to enumerate and manage the resources in a directory service, no matter which network environment contains the resource. ADSI enables common administrative tasks, such as adding new users, managing printers, and locating resources in a distributed computing environment.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049341,"context: Security, Software, Technology Management"
Active Projects,A project portfolio category for Commonwealth-level IT projects that have been granted Project Initiation approval by the appropriate approval authority.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049362,context: Project Management
Active Storage,Refers to data that is stored in a manner that facilitates frequent use and ease of access.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049384,context: Technology Management
ActiveX,"1. Microsoft's answer to Java. ActiveX is a stripped-down implementation of OLE designed to run over slow Internet links. 2. ActiveX is a deprecated software framework created by Microsoft that adapts its earlier Component Object Model (COM) and Object Linking and Embedding (OLE) technologies for content downloaded from a network, particularly from the World Wide Web. Microsoft introduced ActiveX in 1996. In principle, ActiveX is not dependent on Microsoft Windows operating systems, but in practice, most ActiveX controls only run on Windows. Most also require the client to be running on an x86-based computer because ActiveX controls contain compiled code. ActiveX is still supported in the ""Internet Explorer mode"" of Microsoft Edge (which has a different, incompatible extension system, as it is based on Google's Chromium project). 3. ActiveX is a model for writing programs so that other programs and the operating system can call them. ActiveX technology is used with Microsoft Internet Explorer to make interactive Web pages that look and behave like computer programs, rather than static pages. With ActiveX, users can ask or answer questions, use push buttons, and interact in other ways with the Web page. ActiveX controls are often written using Visual Basic. Active X is notable for a complete lack of security controls; computer security experts discourage its use over the Internet. 1. Integration-Domain-Report.pdf (virginia.gov) 2. ActiveX - Wikipedia 3. Glossary (bitdefender.com)",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049404,context: Software
Activity,"1. An activity is generally the smallest portion of a project used in planning, tracking, and control. In some projects, activities may be referred to as tasks, stories, work packages, or use cases, or using other descriptors. 2. Set of cohesive tasks of a process. 1. Activity Definition (PMBOK® Guide 6.2) - The Project Management Tool Kit, 3rd Edition [Book] (oreilly.com) 2. NIST SP 800-160v1r1 from ISO/IEC/IEEE 15288:2015",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049423,"context: General, Project Management"
Activity Duration,The time in calendar units between the start and finish of a scheduled activity.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049443,context: Project Management
Activity Duration Estimating,Represents the act of quantifying the amount of time that it is anticipated the activity will take to complete.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049462,context: Project Management
Activity Resource Estimating,"The main purpose of the activity resource estimating process is to determine the resource requirements for each activity, and therefore this is the major output item from this process. You identify the types of resources required to perform each activity and estimate the required quantity of each identified resource. If a work package in the WBS has multiple activities, the resource estimates for those activities can be aggregated to estimate the resource requirements for the work package. The requirement documents may also include information such as the basis for each estimate, the assumptions made for the estimate, and the availability of the resources.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049483,context: Project Management
Actual Cost (AC),"The actual cost of a project represents the true total and final costs accrued during the process of completing all work during the pre-determined period of time allocated for all schedule activities as well as for all work breakdown structured components. Actual costs are primarily made up of a number of specific items including, but not limited to, cost in direct labor hours, direct costs alone, and also all costs including indirect costs. Actual costs, when possible, should be thoroughly itemized in detail throughout the project as opposed to merely compiled at the end as it is easier to accurately itemize costs when it is done as the expenditures occur. The term actual cost can also be referred to as actual costs of work performed (AWCP). For more information on the term actual cost, see the definitions for earned value management as well as the definition for earned value technique . Also referred to as the .",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049500,context: Project Management
Actual Cost of Work Performed (ACWP),This is the total cost actually incurred until a specific point on the timeline in performing the work for a project.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049516,context: Project Management
Administrative Closure,"This is the final completion and closure of the project. Part of the Integration Management knowledge area, the Close Project or Phase process is done when all the work has been verified, delivered, and accepted by the customer. All open issues have been raised and finalized (come to a conclusion and closure).",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049534,context: Project Management
Advanced Mobile Phone Service (AMPS),"Defined in EIA/TIA-553 standards. In 2006, AMPS is still the most extensive wireless coverage available for nationwide service in the US. However, in 2002, the FCC made the drastic decision to no longer require A and B carriers to support AMPS cellular service as of March 1, 2008. Since the AMPS standard is analog technology, it suffers from an inherently inefficient use of the frequency spectrum. All AMPS carriers have converted most of their consumer base to a digital standard such as CDMA or GSM and continue to do so at a rapid pace. Digital technologies such as CDMA support multiple voice calls on the same channel, superior call quality, enhanced features such as two-way text messaging, voicemail indicator, internet, and GPS services; whereas, AMPS can only support one call per channel and a basic one-way short message service. AMPS cellular service operates in the 800 MHZ FM band. In 1989, the Federal Communications Commission granted carriers an expansion from the current 666 channels to the now 832 (416 per carrier). The additional frequency was available in the upper 800 MHz band which also was home to UHF channels 70-83. This meant that these UHF channels could no longer be used for UHF TV transmission as these frequencies were to be used for AMPS transmission.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049552,context: General
Agency,"1. ""Executive branch agency"" or ""agency"" means any agency, institution, board, bureau, commission, council, public institution of higher education, or instrumentality of state government in the executive department listed in the appropriation act. However, ""executive branch agency"" or ""agency"" does not include the University of Virginia Medical Center, a public institution of higher education to the extent exempt from this chapter pursuant to the Restructured Higher Education Financial and Administrative Operations Act (§ 23.1-1000 et seq.) or other law, or the Virginia Port Authority. 2. Any agency, institution, board, bureau, commission, council, or instrumentality of the Commonwealth of Virginia listed in the appropriation act. For purposes of Enterprise Architecture standards, ""agency"" includes the administrative functions (does not include instructional or research functions) of institutions of higher education, unless exempted by language contained in a specific requirement/standard. 3. ""Agency"" means an administrative unit of state government, including any department, institution, commission, board, council, authority, or other body, however designated. 1. Code of Virginia Code - Article 1. General Provisions 2. 3. § 2.2-128. Definitions (virginia.gov)",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049571,"context: Enterprise Architecture, General"
Agency Banner,"For purposes of the Commonwealth of Virginia Web template, an ""Agency Banner "" is the graphic used between the ""Commonwealth Banner"" and the main content (on the home page template), or the """" and the lower breadcrumb bar (on the sub-page template). The image is 100 pixels high and should gracefully handle resolutions at least as wide as 1024 pixels.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049588,context: Technology Management
Agency Head,The chief executive officer of a department established in the government of the Commonwealth of Virginia.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049604,context: General
Agency Information Technology Resource (AITR),"The Code of Virginia requires the head of each executive branch agency to designate an existing employee to be the agency's information technology resource who shall be responsible for compliance with the policies, standards, and guidelines established by the Chief Information Officer of the Commonwealth. The AITR shall:",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049620,"context: ITRM perspective, Technology Management"
Agency Management,A term that refers to those people who are responsible for the business operations of an agency.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049634,context: General
Agency-level Project,"Projects with an Estimated Cost at Completion of less than $250,000 are considered to be agency-level projects, completely under the control of the agency's management. https://www.vita.virginia.gov/media/vitavirginiagov/it-governance/psgs/pdf/COV-Project-Management-Standard-CPM-112.pdf (p47 of 55)",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049652,context: Project Management
Agile Development,"An iterative approach to project management and software development that uses incremental delivery, team collaboration, continual planning, and continual learning to deliver solutions. Based on the 2001 Manifesto for Agile Software Development, it promotes lean processes that focus on the construction of smaller sets of features and capabilities of a system that are reviewed with stakeholders at regular intervals. This shorter cycle of development and review facilitates a rapid response to change as priorities shift or new needs are identified. Agile teams typically operate in sprints, short 2-3 week intervals in which a discrete set of features, called stories, are developed. An agile team meets daily for a short 15-minute checkpoint, called a stand up, to assess progress against stories, the completed results of which are demonstrated to project stakeholders at an end-of-sprint review.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049666,"context: Project Management, Software, Technology Management"
Alert,Notification that an event has occurred or may occur.,https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049678,context: General
