term,definition,source_anchor,notes
Access,"The ability and means to communicate with or otherwise interact with a system, to use system resources to handle information, to gain knowledge of the information the system contains, or to control system components and functions.",https://niccs.cisa.gov/resources/glossary#letter-a,
Access and Identity Management,The methods and processes used to manage subjects and their authentication and authorizations to access specific objects.,https://niccs.cisa.gov/resources/glossary#letter-a,
Access Control,The process of granting or denying specific requests for or attempts to: 1) obtain and use information and related information processing services; and 2) enter specific physical facilities.,https://niccs.cisa.gov/resources/glossary#letter-a,
Access Control Mechanism,Security measures designed to detect and deny unauthorized access and permit authorized access to an information system or a physical facility.,https://niccs.cisa.gov/resources/glossary#letter-a,
Active Attack,"An actual assault perpetrated by an intentional threat source that attempts to alter a system, its resources, its data, or its operations.",https://niccs.cisa.gov/resources/glossary#letter-a,
Active Content,Software that is able to automatically carry out or trigger actions without the explicit intervention of a user.,https://niccs.cisa.gov/resources/glossary#letter-a,
Advanced Persistent Threat,"An adversary that possesses sophisticated levels of expertise and significant resources which allow it to create opportunities to achieve its objectives by using multiple attack vectors (e.g., cyber, physical, and deception).",https://niccs.cisa.gov/resources/glossary#letter-a,
Advanced Technological Education (ATE),"The National Science Foundation’s (NSF) Advanced Technological Education (ATE) program funds partnerships between two-year colleges, industry, and secondary schools to train technicians for high-tech fields. ATE supports curriculum development, faculty professional development, and career pathways in STEM, aiming to improve technician education and meet workforce needs in advanced technology areas",https://niccs.cisa.gov/resources/glossary#letter-a,Acronym Expansion: Advanced Technological Education
Adversary,"An individual, group, organization, or government that conducts or has the intent to conduct detrimental activities.",https://niccs.cisa.gov/resources/glossary#letter-a,
Air Gap,To physically separate or isolate a system from other systems or networks (verb).  The physical separation or isolation of a system from other systems or networks (noun).,https://niccs.cisa.gov/resources/glossary#letter-a,
Alert,A notification that a specific attack has been detected or directed at an organization’s information systems.,https://niccs.cisa.gov/resources/glossary#letter-a,
All Source Intelligence,"In the NICE Framework, cybersecurity work where a person: Analyzes threat information from multiple sources, disciplines, and agencies across the Intelligence Community. Synthesizes and places intelligence information in context; draws insights about the possible implications.",https://niccs.cisa.gov/resources/glossary#letter-a,
Allowlist,"An allowlist (formerly whitelist) is a cybersecurity strategy that explicitly permits specific, trusted entities—such as applications, IP addresses, or websites—to access a system or network, while denying all others. It enhances security by enforcing a ""deny-by-default"" policy, preventing unauthorized software or traffic from running",https://niccs.cisa.gov/resources/glossary#letter-a,Related Term(s): Blocklist
Americas Conference on Information Systems (AMCIS),The Americas' Conference on Information Systems (AMCIS) is one of the leading annual conferences for presenting the broadest variety of research by IS/IT scholars in North America and beyond.,https://niccs.cisa.gov/resources/glossary#letter-a,
Anonymizers,"Anonymizers are tools, such as VPNs, proxies, or the Tor network, that mask a user's IP address and scramble internet traffic to hide digital identity and enable private browsing.",https://niccs.cisa.gov/resources/glossary#letter-a,
Anti - Cross-Site Request Forgery (anti-CSRF),Anti-CSRF (Cross-Site Request Forgery) measures prevent unauthorized commands from being submitted by authenticated users.,https://niccs.cisa.gov/resources/glossary#letter-a,
Anti-forensic,"Anti-forensics refers to techniques designed to deliberately hinder, confuse, or destroy digital evidence, making forensic investigation difficult or impossible.",https://niccs.cisa.gov/resources/glossary#letter-a,
Anti-spyware Software,"Anti-spyware software is a specialized security tool designed to detect, block, and remove malicious software that secretly monitors user activity, steals data, or hijacks devices.",https://niccs.cisa.gov/resources/glossary#letter-a,Related Term(s): spyware
Antispoofing,"Antispoofing refers to techniques, technologies, and policies designed to detect and prevent attackers from masquerading as trusted entities to steal data, bypass security, or gain unauthorized access.
In a spoofing attack, the source address of an incoming packet is changed to make it appear as if it is coming from a known, trusted source. Spoofed packets are commonly used to carry out denial-of-service (DoS) attacks, exploit network and system vulnerabilities, and gain unauthorized access to corporate networks and data.",https://niccs.cisa.gov/resources/glossary#letter-a,
Antivirus Software,"Antivirus software is a security program designed to detect, prevent, and remove malicious software (malware)—including viruses, ransomware, spyware, and Trojans—from computers, laptops, and mobile devices.",https://niccs.cisa.gov/resources/glossary#letter-a,
Application Security (AppSec),"Application Security (AppSec) encompasses measures, tools, and practices aimed at protecting software applications from threats throughout their lifecycle.",https://niccs.cisa.gov/resources/glossary#letter-a,
Artificial Intelligence as a Service (AIaaS),"Artificial Intelligence as a Service (AIaaS) is the third-party offering of AI tools via cloud computing, allowing businesses to implement AI capabilities—such as machine learning, natural language processing (NLP), and computer vision—without massive upfront infrastructure investment.",https://niccs.cisa.gov/resources/glossary#letter-a,
Asset,"A person, structure, facility, information, and records, information technology systems and resources, material, process, relationships, or reputation that has value. Anything useful that contributes to the success of something, such as an organizational mission; assets are things of value or properties to which value can be assigned.",https://niccs.cisa.gov/resources/glossary#letter-a,
Asymmetric Cryptography,"Asymmetric encryption (public-key cryptography) uses a pair of keys—a public key for encryption and a private key for decryption—to secure data exchange, enabling confidential communication without pre-sharing keys",https://niccs.cisa.gov/resources/glossary#letter-a,
Attack,"An attempt to gain unauthorized access to system services, resources, or information, or an attempt to compromise system integrity. The intentional act of attempting to bypass one or more security services or controls of an information system.",https://niccs.cisa.gov/resources/glossary#letter-a,
Attack Method,"Attack methods are specific techniques adversaries use to achieve tactical goals, such as gaining initial access, stealing credentials, or moving through a network.",https://niccs.cisa.gov/resources/glossary#letter-a,
Attack Mode,"Attack Mode refers to the specific techniques, strategies, and methodologies adversaries use to exploit vulnerabilities and achieve malicious objectives, ranging from phishing and malware to sophisticated, multi-stage attacks like ransomware or data theft.",https://niccs.cisa.gov/resources/glossary#letter-a,Synonym(s): attack method
Attack Path,"An attack path is a sequence of interconnected steps that attackers use to navigate an organization's IT environment to reach critical assets, moving from initial entry to a final objective. It chains together vulnerabilities, misconfigurations, and user permissions to pivot through systems. Attack path analysis allows security teams to map, visualize, and prioritize fixing these routes before exploitation",https://niccs.cisa.gov/resources/glossary#letter-a,
Attack Pattern,"Attack patterns are standardized descriptions of common methods used by adversaries to exploit software, hardware, or network vulnerabilities, often categorized by TTPs (Tactics, Techniques, and Procedures) to aid defense.  For software, descriptions of common methods for exploiting software systems.",https://niccs.cisa.gov/resources/glossary#letter-a,"Related Term(s): attack signature | From: Oak Ridge National Laboratory Visualization Techniques for Computer Network Defense, MITRE's CAPEC web site"
Attack Signature,"Attack Signature is a unique, predefined pattern or byte sequence used by cybersecurity tools (IDS/IPS, antivirus, WAF) to identify known malicious activity, such as malware strains, SQL injections, or vulnerability exploits. It acts like a digital fingerprint, comparing network traffic or file data against a database of known threats to enable automated detection and blocking.",https://niccs.cisa.gov/resources/glossary#letter-a,
Attack Surface,"Attack Surface is the total sum of all vulnerabilities, entry points, and pathways—digital, physical, and human—that an unauthorized user can exploit to enter, steal data from, or disrupt an organization's systems. It includes everything from websites, servers, and APIs to employee devices, shadow IT, and social engineering risks.",https://niccs.cisa.gov/resources/glossary#letter-a,
Attacker,"An individual, group, organization, or government that executes an attack. A party acting with malicious intent to compromise an information system.",https://niccs.cisa.gov/resources/glossary#letter-a,"From: Barnum & Sethi (2006), NIST SP 800-63 Rev 1"
Authenticate,"Authenticate is the critical process of verifying the identity of a user, device, or system before granting access to resources. It acts as the first line of defense against unauthorized access by requiring proof—such as passwords, biometric scans, or tokens—ensuring that only legitimate users enter",https://niccs.cisa.gov/resources/glossary#letter-a,Related Term(s): authentication
Authentication,"Authentication in cybersecurity is the critical process of verifying the identity of a user, device, or system before granting access to resources. It acts as the first line of defense against unauthorized access by requiring proof—such as passwords, biometric scans, or tokens—ensuring that only legitimate users enter",https://niccs.cisa.gov/resources/glossary#letter-a,Extended Definition: Also the process of verifying the source and integrity of data.
Authenticity,"A property achieved through cryptographic methods of being genuine and being able to be verified and trusted, resulting in confidence in the validity of a transmission, information or a message, or sender of information or a message.",https://niccs.cisa.gov/resources/glossary#letter-a,
Authorization,"A process of determining, by evaluating applicable access control information, whether a subject is allowed to have the specified types of access to a particular resource. The process or act of granting access privileges or the access privileges as granted.",https://niccs.cisa.gov/resources/glossary#letter-a,
Availability,"The property of being accessible and usable upon demand. In cybersecurity, applies to assets such as information or information systems.",https://niccs.cisa.gov/resources/glossary#letter-a,
Backdoor,"Backdoor refers to any method by which authorized and unauthorized users are able to get around normal security measures and gain high level user access (aka root access) on a computer system, network, or software application",https://niccs.cisa.gov/resources/glossary#letter-b,
Backdoored,"Backdoored describes a system, device, or software compromised by a hidden mechanism that bypasses normal security, granting unauthorized access. These vulnerabilities can be implanted in software, hardware, or AI models to enable remote control, surveillance, or data theft. It also refers to dishonest methods, or game strategies.",https://niccs.cisa.gov/resources/glossary#letter-b,
Backup as a Service (BaaS),"Backup as a Service (BaaS) is a managed cloud service where a third-party provider handles an organization’s data backup, storage, and recovery, replacing on-premises tape/disk backups.",https://niccs.cisa.gov/resources/glossary#letter-b,
BCrypt,"Bcrypt is a widely used, computationally intensive password-hashing function based on the Blowfish cipher, designed to securely store passwords by being deliberately slow to thwart brute-force attacks.",https://niccs.cisa.gov/resources/glossary#letter-b,
Behavior Monitoring,"Behavioral monitoring is the systematic tracking, recording, and analysis of actions—ranging from user activity in cybersecurity to student behavior in classrooms or habits in personal development—to establish a baseline, detect deviations, and measure progress. It enables proactive threat detection in IT systems, informs targeted interventions for behavioral improvements, and strengthens security against fraud through activity analysis.",https://niccs.cisa.gov/resources/glossary#letter-b,
Behaviour,the extent to which an individual practices several types of cybersecurity measures to avoid or attenuate the types of cyber threats that they are vulnerable to,https://niccs.cisa.gov/resources/glossary#letter-b,
Biocertification,Biocertification refers to the use of biometric data for authentication and access control to improve cybersecurity,https://niccs.cisa.gov/resources/glossary#letter-b,
Biohacking,"Biohacking is the practice of using science, technology, and self-experimentation to optimize physical and mental performance, health, and longevity. Often called ""do-it-yourself biology,"" it involves making incremental lifestyle changes (diet, exercise) or using advanced techniques (implants, gene editing) to take control of one's own biology",https://niccs.cisa.gov/resources/glossary#letter-b,
Biometric,"Biometrics are automated methods for recognizing individuals based on unique biological (fingerprints, iris, facial features) or behavioral (typing rhythm, gait) traits, primarily used for security, identification, and authentication. This method verifies a user's identity by using their biological characteristics instead of passwords, which can be forgotten or stolen. While highly convenient and difficult to forge, biometrics are most effective when used in combination with other security measures, as they carry their own set of privacy risks and can be vulnerable to advanced attacks like deepfakes.",https://niccs.cisa.gov/resources/glossary#letter-b,
Biosurveillance,"Biosurveillance cybersecurity involves securing the digital infrastructure—data, sensors, and AI analytics—used to detect, track, and mitigate biological threats like disease outbreaks, pandemics, or bioterrorism. It integrates real-time environmental, health, and genomic data to provide early warning, while protecting against cyber threats targeting this sensitive information",https://niccs.cisa.gov/resources/glossary#letter-b,
Blackbox,"Black Box refers to penetration testing methodology where testers have no prior system knowledge, simulating real-world attacks",https://niccs.cisa.gov/resources/glossary#letter-b,
Blockchain,"Blockchain technology enhances cybersecurity by replacing centralized systems with a decentralized, immutable, and cryptographically secure ledger. It reduces single points of failure, secures IoT networks, and provides transparent data integrity. Key benefits include improved authentication, tamper-proof storage, and reduced fraud, though it faces risks from 51% attacks and node-level hacking.",https://niccs.cisa.gov/resources/glossary#letter-b,
