"subcategory_id","function","category_id","category_text","description"
"GOVERN 1.1","Govern","GOVERN 1","Policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks are in place, transparent, and implemented effectively","Legal and regulatory requirements involving AI are understood, managed, and documented."
"GOVERN 1.2","Govern","GOVERN 1","Policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks are in place, transparent, and implemented effectively","The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices."
"GOVERN 1.3","Govern","GOVERN 1","Policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks are in place, transparent, and implemented effectively","Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization's risk tolerance."
"GOVERN 1.4","Govern","GOVERN 1","Policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks are in place, transparent, and implemented effectively","The risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities."
"GOVERN 1.5","Govern","GOVERN 1","Policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks are in place, transparent, and implemented effectively","Ongoing monitoring and periodic review of the risk management process and its outcomes are planned and organizational roles and responsibilities clearly defined, including determining the frequency of periodic review."
"GOVERN 1.6","Govern","GOVERN 1","Policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks are in place, transparent, and implemented effectively","Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities."
"GOVERN 1.7","Govern","GOVERN 1","Policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks are in place, transparent, and implemented effectively","Processes and procedures are in place for decommissioning and phasing out AI systems safely and in a manner that does not increase risks or decrease the organization's trustworthiness."
"GOVERN 2.1","Govern","GOVERN 2","Accountability structures are in place so that the appropriate teams and individuals are empowered, responsible, and trained for mapping, measuring, and managing AI risks","Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization."
"GOVERN 2.2","Govern","GOVERN 2","Accountability structures are in place so that the appropriate teams and individuals are empowered, responsible, and trained for mapping, measuring, and managing AI risks","The organization's personnel and partners receive AI risk management training to enable them to perform their duties and responsibilities consistent with related policies, procedures, and agreements."
"GOVERN 2.3","Govern","GOVERN 2","Accountability structures are in place so that the appropriate teams and individuals are empowered, responsible, and trained for mapping, measuring, and managing AI risks","Executive leadership of the organization takes responsibility for decisions about risks associated with AI system development and deployment."
"GOVERN 3.1","Govern","GOVERN 3","Workforce diversity, equity, inclusion, and accessibility processes are prioritized in the mapping, measuring, and managing of AI risks throughout the lifecycle","Decision-making related to mapping, measuring, and managing AI risks throughout the lifecycle is informed by a diverse team (e.g., diversity of demographics, disciplines, experience, expertise, and backgrounds)."
"GOVERN 3.2","Govern","GOVERN 3","Workforce diversity, equity, inclusion, and accessibility processes are prioritized in the mapping, measuring, and managing of AI risks throughout the lifecycle","Policies and procedures are in place to define and differentiate roles and responsibilities for human-AI configurations and oversight of AI systems."
"GOVERN 4.1","Govern","GOVERN 4","Organizational teams are committed to a culture","Organizational policies and practices are in place to foster a critical thinking and safety-first mindset in the design, development, deployment, and uses of AI systems to minimize potential negative impacts."
"GOVERN 4.2","Govern","GOVERN 4","Organizational teams are committed to a culture","Organizational teams document the risks and potential impacts of the AI technology they design, develop, deploy, evaluate, and use, and they communicate about the impacts more broadly."
"GOVERN 4.3","Govern","GOVERN 4","Organizational teams are committed to a culture","Organizational practices are in place to enable AI testing, identification of incidents, and information sharing."
"GOVERN 5.1","Govern","GOVERN 5","Processes are in place for robust engagement with relevant AI actors","Organizational policies and practices are in place to collect, consider, prioritize, and integrate feedback from those external to the team that developed or deployed the AI system regarding the potential individual and societal impacts related to AI risks."
"GOVERN 5.2","Govern","GOVERN 5","Processes are in place for robust engagement with relevant AI actors","Mechanisms are established to enable the team that developed or deployed AI systems to regularly incorporate adjudicated feedback from relevant AI actors into system design and implementation."
"GOVERN 6.1","Govern","GOVERN 6","Policies and procedures are in place to address AI risks and benefits arising from third-party software and data and other supply chain issues","Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party's intellectual property or other rights."
"GOVERN 6.2","Govern","GOVERN 6","Policies and procedures are in place to address AI risks and benefits arising from third-party software and data and other supply chain issues",""
"MAP 1.1","Map","MAP 1","Context is established and understood","Intended purposes, potentially beneficial uses, contextspecific laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented. Considerations include: the specific set or types of users along with their expectations; potential positive and negative impacts of system uses to individuals, communities, organizations, society, and the planet; assumptions and related limitations about AI system purposes, uses, and risks across the development or product AI lifecycle; and related TEVV and system metrics."
"MAP 1.2","Map","MAP 1","Context is established and understood","Interdisciplinary AI actors, competencies, skills, and capacities for establishing context reflect demographic diversity and broad domain and user experience expertise, and their participation is documented. Opportunities for interdisciplinary collaboration are prioritized."
"MAP 1.3","Map","MAP 1","Context is established and understood","The organization's mission and relevant goals for AI technology are understood and documented."
"MAP 1.4","Map","MAP 1","Context is established and understood","The business value or context of business use has been clearly defined or - in the case of assessing existing AI systems - re-evaluated."
"MAP 1.5","Map","MAP 1","Context is established and understood","Organizational risk tolerances are determined and documented."
